Age_label,food,mean,se
20-34,added_sugar,14.86620498321204,Inf
35-44,added_sugar,15.609326674149829,Inf
45-54,added_sugar,15.756902280047616,Inf
55-64,added_sugar,15.404981966246655,Inf
65-74,added_sugar,13.848177489972716,Inf
75+,added_sugar,15.350605954104616,Inf
20-34,added_sugar_1,15.118715770914996,Inf
35-44,added_sugar_1,15.888901719033825,Inf
45-54,added_sugar_1,16.138036461403647,Inf
55-64,added_sugar_1,15.738542566180444,Inf
65-74,added_sugar_1,14.307145209930486,Inf
75+,added_sugar_1,15.60035874905958,Inf
20-34,added_sugar_2,NA,NA
35-44,added_sugar_2,NA,NA
45-54,added_sugar_2,NA,NA
55-64,added_sugar_2,NA,NA
65-74,added_sugar_2,NA,NA
75+,added_sugar_2,NA,NA
20-34,afs_tot,115.01964281513409,Inf
35-44,afs_tot,118.66360107987684,Inf
45-54,afs_tot,118.9859459468496,Inf
55-64,afs_tot,118.60717548203648,Inf
65-74,afs_tot,112.99314082493657,Inf
75+,afs_tot,119.06008664610907,Inf
20-34,afs_tot_1,115.73545061201771,Inf
35-44,afs_tot_1,120.355349454078,Inf
45-54,afs_tot_1,120.37733074470076,Inf
55-64,afs_tot_1,120.03838384833517,Inf
65-74,afs_tot_1,114.72473132857257,Inf
75+,afs_tot_1,120.36045764570953,Inf
20-34,afs_tot_2,NA,NA
35-44,afs_tot_2,NA,NA
45-54,afs_tot_2,NA,NA
55-64,afs_tot_2,NA,NA
65-74,afs_tot_2,NA,NA
75+,afs_tot_2,NA,NA
20-34,dairy_cow,1.419269824902071,Inf
35-44,dairy_cow,1.3639362646040571,Inf
45-54,dairy_cow,1.3821234257317492,Inf
55-64,dairy_cow,1.3174460498715328,Inf
65-74,dairy_cow,1.3433155253919664,Inf
75+,dairy_cow,1.424516304938219,Inf
20-34,dairy_cow_1,NA,NA
35-44,dairy_cow_1,1.328135444923897,Inf
45-54,dairy_cow_1,1.3742113407524796,Inf
55-64,dairy_cow_1,1.3014151999599122,Inf
65-74,dairy_cow_1,1.337030998398002,Inf
75+,dairy_cow_1,1.4082750038462724,Inf
20-34,dairy_cow_2,NA,NA
35-44,dairy_cow_2,NA,NA
45-54,dairy_cow_2,NA,NA
55-64,dairy_cow_2,NA,NA
65-74,dairy_cow_2,NA,NA
75+,dairy_cow_2,NA,NA
20-34,dairy_soy,0.008485063870587537,Inf
35-44,dairy_soy,0.006979460136272734,Inf
45-54,dairy_soy,0.012485363058789166,Inf
55-64,dairy_soy,0.0057531356937423304,Inf
65-74,dairy_soy,0.01803911373605601,Inf
75+,dairy_soy,0.0036725622163796125,Inf
20-34,dairy_soy_1,NA,NA
35-44,dairy_soy_1,0.0039046151332867026,Inf
45-54,dairy_soy_1,0.014219885017687799,Inf
55-64,dairy_soy_1,0.00635901785510856,Inf
65-74,dairy_soy_1,0.01873240057758018,Inf
75+,dairy_soy_1,9.517866121661433e-4,Inf
20-34,dairy_soy_2,NA,NA
35-44,dairy_soy_2,NA,NA
45-54,dairy_soy_2,NA,NA
55-64,dairy_soy_2,NA,NA
65-74,dairy_soy_2,NA,NA
75+,dairy_soy_2,NA,NA
20-34,dairy_tot,1.4272765537449794,Inf
35-44,dairy_tot,1.37088018336477,Inf
45-54,dairy_tot,1.396524184569482,Inf
55-64,dairy_tot,1.3234746247755282,Inf
65-74,dairy_tot,1.3592754926210147,Inf
75+,dairy_tot,1.4281868462709393,Inf
20-34,dairy_tot_1,1.4392518627755366,Inf
35-44,dairy_tot_1,1.3327136840975637,Inf
45-54,dairy_tot_1,1.3922050910707362,Inf
55-64,dairy_tot_1,1.3081572294744277,Inf
65-74,dairy_tot_1,1.3530596335747012,Inf
75+,dairy_tot_1,1.4089761684465802,Inf
20-34,dairy_tot_2,NA,NA
35-44,dairy_tot_2,NA,NA
45-54,dairy_tot_2,NA,NA
55-64,dairy_tot_2,NA,NA
65-74,dairy_tot_2,NA,NA
75+,dairy_tot_2,NA,NA
20-34,fiber,16.064309491331212,Inf
35-44,fiber,16.682729096202927,Inf
45-54,fiber,16.64618318459947,Inf
55-64,fiber,16.979598326533395,Inf
65-74,fiber,18.637650108997825,Inf
75+,fiber,18.083876068738196,Inf
20-34,fiber_1,15.904663662086017,Inf
35-44,fiber_1,16.15097700481935,Inf
45-54,fiber_1,16.079681016461265,Inf
55-64,fiber_1,16.736044818625224,Inf
65-74,fiber_1,18.210947351167324,Inf
75+,fiber_1,18.03276424495176,Inf
20-34,fiber_2,NA,NA
35-44,fiber_2,NA,NA
45-54,fiber_2,NA,NA
55-64,fiber_2,NA,NA
65-74,fiber_2,NA,NA
75+,fiber_2,NA,NA
20-34,fruit_exc_juice,0.6106966562044804,Inf
35-44,fruit_exc_juice,0.6875774639347187,Inf
45-54,fruit_exc_juice,0.6678204967296274,Inf
55-64,fruit_exc_juice,0.6962927146049567,Inf
65-74,fruit_exc_juice,0.8627093728067567,Inf
75+,fruit_exc_juice,0.9017600655684728,Inf
20-34,fruit_exc_juice_1,0.6195955787256947,Inf
