note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
dairy_soy_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
dairy_soy_adj,Overall,16147,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.04,0.06,0.00,0.02,36
dairy_soy_adj,1,381,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.11,,,0.04,,,36
dairy_soy_adj,2,282,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.29,,,0.10,,,36
dairy_soy_adj,3,337,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,0.15,,,36
dairy_soy_adj,4,234,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.12,,,0.06,,,36
dairy_soy_adj,5,354,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.22,,,0.08,,,36
dairy_soy_adj,6,240,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.37,,,0.12,,,36
dairy_soy_adj,7,290,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,,,0.04,,,36
dairy_soy_adj,8,235,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.14,,,0.05,,,36
dairy_soy_adj,9,237,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.21,,,0.07,,,36
dairy_soy_adj,10,199,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.24,,,0.12,,,36
dairy_soy_adj,11,252,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.11,,,0.05,,,36
dairy_soy_adj,12,141,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.22,,,0.06,,,36
dairy_soy_adj,13,215,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.15,,,0.07,,,36
dairy_soy_adj,14,155,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.52,,,0.16,,,36
dairy_soy_adj,15,198,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08,,,0.04,,,36
dairy_soy_adj,16,134,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.11,,,0.07,,,36
dairy_soy_adj,17,245,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.26,,,0.08,,,36
dairy_soy_adj,18,201,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.11,,,0.04,,,36
dairy_soy_adj,19,236,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.14,,,0.08,,,36
dairy_soy_adj,20,138,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.27,,,0.10,,,36
dairy_soy_adj,21,234,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.27,,,0.09,,,36
dairy_soy_adj,22,161,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.27,,,0.16,,,36
dairy_soy_adj,23,198,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.35,,,0.11,,,36
