note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
dairy_cow_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
dairy_cow_adj,Overall,16147,1.02,0.02,0.00,0.03,1.05,0.02,1.55,0.03,0.78,0.00,0.61,0.02,0.00,0.03,36
dairy_cow_adj,1,381,1.50,0.05,1.07,0.04,1.44,0.05,1.85,0.06,0.60,,,0.03,,,36
dairy_cow_adj,2,282,1.15,0.05,0.78,0.04,1.08,0.05,1.44,0.06,0.50,,,0.02,,,36
dairy_cow_adj,3,337,1.35,0.06,0.94,0.05,1.28,0.05,1.68,0.07,0.56,,,0.03,,,36
dairy_cow_adj,4,234,1.15,0.09,0.78,0.07,1.09,0.09,1.44,0.11,0.50,,,0.03,,,36
dairy_cow_adj,5,354,1.58,0.06,1.13,0.06,1.52,0.06,1.95,0.07,0.62,,,0.02,,,36
dairy_cow_adj,6,240,1.25,0.07,0.87,0.06,1.19,0.07,1.57,0.09,0.53,,,0.03,,,36
dairy_cow_adj,7,290,1.45,0.07,1.02,0.06,1.38,0.07,1.80,0.08,0.59,,,0.03,,,36
dairy_cow_adj,8,235,1.31,0.05,0.91,0.04,1.24,0.05,1.63,0.06,0.55,,,0.03,,,36
dairy_cow_adj,9,237,1.48,0.06,1.05,0.05,1.41,0.06,1.83,0.07,0.60,,,0.03,,,36
dairy_cow_adj,10,199,1.09,0.06,0.74,0.05,1.03,0.06,1.38,0.07,0.48,,,0.02,,,36
dairy_cow_adj,11,252,1.35,0.05,0.94,0.05,1.28,0.05,1.67,0.06,0.55,,,0.03,,,36
dairy_cow_adj,12,141,1.28,0.08,0.90,0.06,1.22,0.08,1.60,0.10,0.54,,,0.03,,,36
dairy_cow_adj,13,215,1.52,0.14,1.08,0.11,1.45,0.13,1.89,0.16,0.61,,,0.05,,,36
dairy_cow_adj,14,155,1.06,0.07,0.71,0.05,1.00,0.06,1.33,0.09,0.47,,,0.03,,,36
dairy_cow_adj,15,198,1.31,0.08,0.91,0.07,1.23,0.08,1.63,0.09,0.54,,,0.02,,,36
dairy_cow_adj,16,134,1.15,0.08,0.78,0.06,1.08,0.08,1.46,0.10,0.50,,,0.03,,,36
dairy_cow_adj,17,245,1.49,0.09,1.06,0.08,1.42,0.09,1.85,0.11,0.59,,,0.03,,,36
dairy_cow_adj,18,201,1.04,0.07,0.70,0.06,0.98,0.07,1.31,0.09,0.47,,,0.03,,,36
dairy_cow_adj,19,236,1.28,0.06,0.88,0.05,1.21,0.06,1.60,0.07,0.54,,,0.03,,,36
dairy_cow_adj,20,138,1.19,0.12,0.83,0.09,1.12,0.12,1.50,0.14,0.51,,,0.04,,,36
dairy_cow_adj,21,234,1.46,0.07,1.04,0.06,1.39,0.07,1.81,0.09,0.59,,,0.03,,,36
dairy_cow_adj,22,161,1.08,0.09,0.73,0.07,1.01,0.08,1.35,0.11,0.48,,,0.04,,,36
dairy_cow_adj,23,198,1.24,0.10,0.86,0.08,1.17,0.10,1.55,0.12,0.53,,,0.03,,,36
dairy_cow_adj,24,162,1.05,0.09,0.70,0.07,0.98,0.09,1.32,0.11,0.47,,,0.04,,,36
dairy_cow_adj,25,269,1.50,0.08,1.07,0.06,1.43,0.07,1.86,0.09,0.60,,,0.03,,,36
dairy_cow_adj,26,243,0.87,0.05,0.56,0.04,0.81,0.05,1.11,0.07,0.42,,,0.02,,,36
dairy_cow_adj,27,297,1.41,0.08,1.00,0.07,1.35,0.08,1.76,0.10,0.57,,,0.03,,,36
dairy_cow_adj,28,136,1.08,0.08,0.72,0.06,1.01,0.08,1.37,0.11,0.49,,,0.04,,,36
