note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
sat_fat_adj,15,198,24.48,0.57,21.49,0.61,24.30,0.57,27.29,0.59,4.31,,,0.20,,,36
sat_fat_adj,16,134,22.78,0.74,19.79,0.76,22.65,0.74,25.62,0.75,4.21,,,0.19,,,36
sat_fat_adj,17,245,26.64,0.75,23.59,0.73,26.53,0.76,29.62,0.80,4.48,,,0.20,,,36
sat_fat_adj,18,201,23.97,0.73,21.00,0.69,23.84,0.72,26.78,0.80,4.29,,,0.21,,,36
sat_fat_adj,19,236,23.66,0.37,20.65,0.39,23.54,0.38,26.46,0.40,4.28,,,0.21,,,36
sat_fat_adj,20,138,24.48,1.36,21.51,1.33,24.41,1.38,27.48,1.41,4.31,,,0.22,,,36
sat_fat_adj,21,234,26.66,0.71,23.56,0.66,26.47,0.70,29.59,0.78,4.47,,,0.22,,,36
sat_fat_adj,22,161,24.00,0.78,21.10,0.73,23.86,0.78,26.75,0.85,4.27,,,0.21,,,36
sat_fat_adj,23,198,22.75,0.94,19.83,0.93,22.58,0.96,25.51,0.98,4.23,,,0.19,,,36
sat_fat_adj,24,162,22.47,0.91,19.57,0.89,22.26,0.93,25.21,0.98,4.18,,,0.21,,,36
sat_fat_adj,25,269,27.94,0.51,24.79,0.46,27.76,0.52,30.96,0.60,4.54,,,0.23,,,36
sat_fat_adj,26,243,24.11,0.67,21.10,0.63,23.98,0.67,26.98,0.73,4.35,,,0.23,,,36
sat_fat_adj,27,297,25.19,0.69,22.15,0.67,25.04,0.70,28.10,0.75,4.35,,,0.20,,,36
sat_fat_adj,28,136,24.59,1.08,21.56,1.06,24.49,1.11,27.58,1.19,4.41,,,0.26,,,36
sat_fat_adj,29,291,26.07,0.62,23.04,0.60,25.92,0.63,28.99,0.69,4.45,,,0.22,,,36
sat_fat_adj,30,238,24.75,0.51,21.76,0.50,24.61,0.54,27.61,0.54,4.33,,,0.21,,,36
sat_fat_adj,31,263,22.80,0.50,19.88,0.54,22.64,0.52,25.55,0.49,4.26,,,0.21,,,36
sat_fat_adj,32,132,22.21,1.26,19.34,1.22,22.02,1.28,25.01,1.35,4.23,,,0.24,,,36
sat_fat_adj,33,249,28.06,0.58,24.89,0.51,27.94,0.57,31.04,0.70,4.57,,,0.23,,,36
sat_fat_adj,34,134,27.03,0.76,23.87,0.75,26.84,0.78,30.02,0.83,4.53,,,0.21,,,36
sat_fat_adj,35,203,24.00,0.82,21.00,0.81,23.82,0.82,26.82,0.84,4.33,,,0.20,,,36
sat_fat_adj,36,89,24.89,1.39,21.82,1.34,24.78,1.40,27.75,1.47,4.38,,,0.24,,,36
sat_fat_adj,37,286,27.20,0.51,24.01,0.55,27.05,0.52,30.23,0.53,4.52,,,0.21,,,36
sat_fat_adj,38,158,25.10,0.95,22.03,0.92,24.93,0.96,28.00,1.03,4.43,,,0.24,,,36
sat_fat_adj,39,184,22.74,0.91,19.79,0.89,22.63,0.92,25.46,0.96,4.22,,,0.21,,,36
sat_fat_adj,40,84,21.61,0.85,18.60,0.85,21.49,0.84,24.29,0.88,4.17,,,0.22,,,36
sat_fat_adj,41,310,28.86,0.54,25.65,0.50,28.73,0.53,31.93,0.62,4.61,,,0.22,,,36
sat_fat_adj,42,95,24.21,1.01,21.19,0.96,24.12,1.02,27.05,1.07,4.31,,,0.22,,,36
sat_fat_adj,43,85,25.26,1.12,22.15,1.07,25.07,1.11,28.16,1.20,4.38,,,0.23,,,36
sat_fat_adj,44,44,22.38,1.49,19.46,1.46,22.14,1.51,25.14,1.56,4.24,,,0.24,,,36
sat_fat_adj,45,334,28.86,0.56,25.67,0.57,28.76,0.57,31.96,0.62,4.63,,,0.21,,,36
sat_fat_adj,46,82,25.48,1.14,22.37,1.05,25.33,1.15,28.37,1.21,4.37,,,0.23,,,36
sat_fat_adj,47,58,23.53,1.16,20.50,1.10,23.39,1.18,26.42,1.23,4.32,,,0.26,,,36
sat_fat_adj,48,36,23.88,0.84,20.96,0.79,23.74,0.86,26.69,0.93,4.29,,,0.25,,,36
