note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_egg_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
pf_egg_adj,Overall,16147,0.48,0.02,0.00,0.00,0.31,0.02,0.66,0.02,0.60,0.00,0.35,0.03,0.00,0.03,36
pf_egg_adj,1,381,0.71,0.07,0.29,0.03,0.53,0.06,0.92,0.09,0.65,,,0.06,,,36
pf_egg_adj,2,282,0.57,0.08,0.23,0.04,0.41,0.06,0.73,0.11,0.53,,,0.08,,,36
pf_egg_adj,3,337,0.82,0.10,0.34,0.04,0.61,0.07,1.06,0.13,0.75,,,0.10,,,36
pf_egg_adj,4,234,0.64,0.10,0.26,0.04,0.47,0.07,0.82,0.13,0.60,,,0.10,,,36
pf_egg_adj,5,354,0.62,0.06,0.25,0.03,0.45,0.05,0.79,0.08,0.58,,,0.06,,,36
pf_egg_adj,6,240,0.50,0.06,0.20,0.03,0.36,0.05,0.65,0.08,0.48,,,0.06,,,36
pf_egg_adj,7,290,0.79,0.07,0.32,0.04,0.58,0.06,1.01,0.09,0.71,,,0.07,,,36
pf_egg_adj,8,235,0.65,0.09,0.26,0.04,0.47,0.07,0.83,0.11,0.61,,,0.08,,,36
pf_egg_adj,9,237,0.57,0.08,0.23,0.03,0.41,0.06,0.73,0.10,0.54,,,0.09,,,36
pf_egg_adj,10,199,0.52,0.08,0.21,0.03,0.38,0.06,0.66,0.10,0.48,,,0.07,,,36
pf_egg_adj,11,252,0.84,0.11,0.35,0.05,0.63,0.09,1.09,0.14,0.74,,,0.10,,,36
pf_egg_adj,12,141,0.70,0.11,0.29,0.05,0.51,0.09,0.90,0.14,0.64,,,0.09,,,36
pf_egg_adj,13,215,0.51,0.06,0.20,0.03,0.37,0.05,0.66,0.08,0.49,,,0.06,,,36
