note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_poultry_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
pf_poultry_adj,Overall,16147,1.11,0.04,0.00,0.03,1.07,0.05,1.72,0.06,0.93,0.00,0.87,0.03,0.00,0.06,36
pf_poultry_adj,1,381,1.42,0.10,0.88,0.08,1.32,0.10,1.85,0.12,0.71,,,0.05,,,36
pf_poultry_adj,2,282,1.70,0.07,1.07,0.07,1.59,0.07,2.21,0.08,0.85,,,0.04,,,36
pf_poultry_adj,3,337,1.51,0.08,0.95,0.06,1.40,0.08,1.96,0.10,0.76,,,0.05,,,36
pf_poultry_adj,4,234,1.46,0.09,0.91,0.06,1.35,0.09,1.91,0.13,0.75,,,0.06,,,36
pf_poultry_adj,5,354,1.62,0.12,1.02,0.09,1.50,0.13,2.10,0.17,0.81,,,0.06,,,36
pf_poultry_adj,6,240,1.81,0.09,1.14,0.07,1.69,0.09,2.35,0.13,0.90,,,0.06,,,36
pf_poultry_adj,7,290,1.70,0.11,1.06,0.09,1.58,0.10,2.20,0.13,0.84,,,0.06,,,36
pf_poultry_adj,8,235,1.69,0.11,1.05,0.09,1.57,0.11,2.20,0.14,0.85,,,0.06,,,36
pf_poultry_adj,9,237,1.35,0.08,0.84,0.07,1.24,0.08,1.76,0.09,0.68,,,0.04,,,36
pf_poultry_adj,10,199,1.56,0.14,0.98,0.10,1.45,0.13,2.02,0.18,0.78,,,0.07,,,36
pf_poultry_adj,11,252,1.52,0.10,0.96,0.08,1.42,0.10,1.97,0.14,0.75,,,0.06,,,36
pf_poultry_adj,12,141,1.46,0.12,0.91,0.09,1.35,0.12,1.90,0.16,0.73,,,0.06,,,36
pf_poultry_adj,13,215,1.60,0.14,1.00,0.10,1.49,0.14,2.07,0.17,0.80,,,0.07,,,36
pf_poultry_adj,14,155,1.80,0.15,1.13,0.12,1.67,0.15,2.34,0.19,0.89,,,0.07,,,36
pf_poultry_adj,15,198,1.60,0.16,1.01,0.11,1.47,0.16,2.07,0.21,0.79,,,0.08,,,36
pf_poultry_adj,16,134,1.71,0.16,1.07,0.11,1.59,0.16,2.21,0.22,0.85,,,0.08,,,36
pf_poultry_adj,17,245,1.52,0.10,0.95,0.07,1.40,0.10,1.99,0.14,0.76,,,0.06,,,36
pf_poultry_adj,18,201,1.64,0.11,1.03,0.08,1.52,0.10,2.13,0.14,0.81,,,0.07,,,36
pf_poultry_adj,19,236,1.58,0.10,0.99,0.08,1.47,0.10,2.06,0.12,0.79,,,0.06,,,36
pf_poultry_adj,20,138,1.52,0.11,0.95,0.08,1.40,0.11,1.98,0.14,0.75,,,0.06,,,36
pf_poultry_adj,21,234,1.44,0.08,0.90,0.06,1.34,0.08,1.88,0.11,0.73,,,0.06,,,36
pf_poultry_adj,22,161,1.69,0.14,1.08,0.10,1.57,0.13,2.19,0.18,0.83,,,0.08,,,36
pf_poultry_adj,23,198,1.59,0.10,1.00,0.07,1.49,0.10,2.06,0.14,0.79,,,0.07,,,36
pf_poultry_adj,24,162,1.54,0.12,0.97,0.09,1.43,0.12,2.00,0.17,0.76,,,0.07,,,36
pf_poultry_adj,25,269,1.33,0.11,0.82,0.08,1.23,0.11,1.72,0.15,0.67,,,0.06,,,36
pf_poultry_adj,26,243,1.55,0.08,0.96,0.07,1.43,0.08,2.01,0.10,0.78,,,0.05,,,36
pf_poultry_adj,27,297,1.45,0.08,0.91,0.06,1.35,0.08,1.88,0.10,0.73,,,0.05,,,36
