note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
gr_refined_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
gr_refined_adj,Overall,16147,3.92,0.05,0.00,0.27,4.40,0.06,5.89,0.06,2.73,0.01,7.46,0.04,0.00,0.21,36
gr_refined_adj,1,381,5.33,0.14,4.19,0.14,5.24,0.14,6.35,0.15,1.61,,,0.06,,,36
gr_refined_adj,2,282,5.36,0.16,4.20,0.15,5.25,0.16,6.40,0.18,1.61,,,0.07,,,36
gr_refined_adj,3,337,6.14,0.24,4.92,0.23,6.04,0.24,7.25,0.27,1.72,,,0.07,,,36
gr_refined_adj,4,234,5.63,0.26,4.45,0.27,5.53,0.27,6.70,0.27,1.66,,,0.06,,,36
gr_refined_adj,5,354,5.68,0.14,4.50,0.13,5.59,0.14,6.74,0.16,1.66,,,0.07,,,36
gr_refined_adj,6,240,5.54,0.22,4.39,0.20,5.44,0.22,6.60,0.25,1.64,,,0.08,,,36
gr_refined_adj,7,290,6.43,0.24,5.18,0.23,6.33,0.24,7.56,0.26,1.76,,,0.08,,,36
gr_refined_adj,8,235,5.99,0.22,4.79,0.22,5.89,0.22,7.09,0.23,1.71,,,0.07,,,36
gr_refined_adj,9,237,5.13,0.20,3.99,0.19,5.01,0.20,6.16,0.23,1.60,,,0.08,,,36
gr_refined_adj,10,199,5.13,0.21,4.00,0.18,5.03,0.21,6.15,0.25,1.58,,,0.08,,,36
gr_refined_adj,11,252,6.58,0.35,5.33,0.34,6.49,0.35,7.72,0.36,1.76,,,0.07,,,36
gr_refined_adj,12,141,5.79,0.29,4.61,0.27,5.69,0.29,6.85,0.31,1.67,,,0.07,,,36
gr_refined_adj,13,215,4.48,0.18,3.40,0.16,4.35,0.18,5.44,0.21,1.51,,,0.08,,,36
gr_refined_adj,14,155,5.12,0.20,4.00,0.18,5.01,0.20,6.13,0.24,1.58,,,0.07,,,36
gr_refined_adj,15,198,6.26,0.30,5.04,0.28,6.14,0.30,7.35,0.33,1.72,,,0.08,,,36
gr_refined_adj,16,134,5.69,0.35,4.49,0.34,5.59,0.35,6.78,0.38,1.65,,,0.08,,,36
gr_refined_adj,17,245,5.07,0.28,3.96,0.26,4.97,0.29,6.09,0.32,1.57,,,0.08,,,36
gr_refined_adj,18,201,4.78,0.20,3.68,0.18,4.67,0.20,5.75,0.23,1.53,,,0.08,,,36
gr_refined_adj,19,236,6.21,0.27,4.98,0.25,6.12,0.27,7.31,0.30,1.72,,,0.08,,,36
gr_refined_adj,20,138,5.31,0.33,4.18,0.30,5.23,0.33,6.39,0.38,1.60,,,0.09,,,36
gr_refined_adj,21,234,4.91,0.18,3.80,0.18,4.79,0.18,5.90,0.19,1.55,,,0.06,,,36
gr_refined_adj,22,161,5.03,0.24,3.94,0.21,4.92,0.24,6.00,0.27,1.55,,,0.07,,,36
gr_refined_adj,23,198,6.53,0.32,5.29,0.31,6.42,0.33,7.66,0.35,1.76,,,0.07,,,36
gr_refined_adj,24,162,5.22,0.47,4.09,0.43,5.09,0.48,6.23,0.51,1.59,,,0.09,,,36
gr_refined_adj,25,269,4.69,0.19,3.60,0.18,4.56,0.20,5.66,0.21,1.52,,,0.06,,,36
gr_refined_adj,26,243,4.86,0.17,3.75,0.15,4.75,0.17,5.86,0.21,1.55,,,0.08,,,36
gr_refined_adj,27,297,5.89,0.25,4.70,0.24,5.79,0.25,6.98,0.28,1.67,,,0.07,,,36
gr_refined_adj,28,136,5.82,0.31,4.63,0.32,5.74,0.33,6.95,0.36,1.69,,,0.09,,,36
gr_refined_adj,29,291,4.83,0.19,3.74,0.19,4.72,0.19,5.81,0.21,1.54,,,0.07,,,36
gr_refined_adj,30,238,4.81,0.19,3.72,0.17,4.70,0.19,5.79,0.22,1.53,,,0.07,,,36
gr_refined_adj,31,263,6.29,0.27,5.07,0.26,6.18,0.27,7.39,0.29,1.74,,,0.08,,,36
gr_refined_adj,32,132,5.35,0.49,4.21,0.45,5.23,0.50,6.40,0.54,1.63,,,0.10,,,36
gr_refined_adj,33,249,4.79,0.18,3.69,0.17,4.69,0.19,5.76,0.20,1.54,,,0.07,,,36
gr_refined_adj,34,134,4.97,0.28,3.84,0.25,4.84,0.29,5.97,0.32,1.57,,,0.09,,,36
gr_refined_adj,35,203,5.98,0.40,4.78,0.37,5.86,0.40,7.06,0.44,1.70,,,0.08,,,36
gr_refined_adj,36,89,5.34,0.35,4.18,0.33,5.25,0.35,6.37,0.38,1.62,,,0.08,,,36
gr_refined_adj,37,286,4.85,0.15,3.72,0.15,4.73,0.16,5.85,0.17,1.55,,,0.07,,,36
gr_refined_adj,38,158,4.46,0.19,3.38,0.19,4.33,0.20,5.41,0.20,1.50,,,0.07,,,36
gr_refined_adj,39,184,5.98,0.30,4.78,0.29,5.90,0.31,7.05,0.33,1.69,,,0.07,,,36
gr_refined_adj,40,84,5.64,0.38,4.42,0.37,5.55,0.39,6.69,0.42,1.66,,,0.09,,,36
gr_refined_adj,41,310,4.88,0.17,3.77,0.15,4.77,0.17,5.88,0.19,1.55,,,0.07,,,36
gr_refined_adj,42,95,4.83,0.22,3.72,0.19,4.74,0.23,5.81,0.26,1.53,,,0.07,,,36
gr_refined_adj,43,85,7.13,0.61,5.82,0.58,7.01,0.61,8.31,0.65,1.82,,,0.09,,,36
gr_refined_adj,44,44,5.35,0.36,4.20,0.32,5.21,0.37,6.39,0.41,1.63,,,0.10,,,36
gr_refined_adj,45,334,4.71,0.17,3.62,0.17,4.61,0.18,5.70,0.20,1.53,,,0.06,,,36
gr_refined_adj,46,82,4.83,0.44,3.71,0.41,4.71,0.44,5.81,0.49,1.53,,,0.08,,,36
gr_refined_adj,47,58,6.35,0.45,5.10,0.42,6.25,0.46,7.50,0.51,1.75,,,0.10,,,36
gr_refined_adj,48,36,6.04,0.48,4.86,0.46,5.94,0.49,7.13,0.52,1.69,,,0.09,,,36
