cause,Deaths,age,gender,race
RHD,44,3,1,1
AA,44,3,1,2
AFF,13,3,1,2
CM,164,3,1,2
DM,606,3,1,2
ENDO,12,3,1,2
END,504,3,1,2
HSTK,174,3,1,2
IHD,1129,3,1,2
ISTK,100,3,1,2
OSTK,174,3,1,2
TSTK,586,3,1,2
OTH,244,3,1,2
PVD,20,3,1,2
RHD,22,3,1,2
AA,13,3,1,3
AFF,4,3,1,3
CM,45,3,1,3
DM,281,3,1,3
ENDO,6,3,1,3
END,91,3,1,3
HSTK,115,3,1,3
IHD,374,3,1,3
ISTK,38,3,1,3
OSTK,61,3,1,3
TSTK,275,3,1,3
OTH,77,3,1,3
PVD,8,3,1,3
RHD,8,3,1,3
AA,4,3,1,4
AFF,1,3,1,4
CM,16,3,1,4
DM,99,3,1,4
ENDO,2,3,1,4
END,37,3,1,4
HSTK,60,3,1,4
IHD,125,3,1,4
ISTK,20,3,1,4
OSTK,29,3,1,4
TSTK,139,3,1,4
OTH,31,3,1,4
PVD,1,3,1,4
RHD,8,3,1,4
AA,282,3,2,1
AFF,100,3,2,1
CM,749,3,2,1
DM,2078,3,2,1
ENDO,92,3,2,1
END,1729,3,2,1
HSTK,369,3,2,1
IHD,9113,3,2,1
ISTK,292,3,2,1
OSTK,481,3,2,1
TSTK,1487,3,2,1
OTH,603,3,2,1
PVD,56,3,2,1
RHD,49,3,2,1
AA,108,3,2,2
AFF,28,3,2,2
CM,394,3,2,2
DM,837,3,2,2
ENDO,16,3,2,2
END,870,3,2,2
HSTK,166,3,2,2
IHD,2316,3,2,2
ISTK,130,3,2,2
OSTK,259,3,2,2
TSTK,766,3,2,2
OTH,250,3,2,2
PVD,25,3,2,2
RHD,17,3,2,2
AA,60,3,2,3
AFF,12,3,2,3
CM,116,3,2,3
DM,519,3,2,3
ENDO,15,3,2,3
END,303,3,2,3
HSTK,167,3,2,3
IHD,1387,3,2,3
ISTK,77,3,2,3
OSTK,95,3,2,3
TSTK,501,3,2,3
OTH,113,3,2,3
PVD,13,3,2,3
RHD,7,3,2,3
AA,23,3,2,4
AFF,8,3,2,4
CM,63,3,2,4
DM,170,3,2,4
ENDO,5,3,2,4
END,101,3,2,4
HSTK,52,3,2,4
IHD,623,3,2,4
ISTK,25,3,2,4
OSTK,31,3,2,4
TSTK,186,3,2,4
OTH,33,3,2,4
PVD,4,3,2,4
RHD,5,3,2,4
AA,244,4,1,1
AFF,246,4,1,1
CM,640,4,1,1
DM,2868,4,1,1
ENDO,77,4,1,1
END,1573,4,1,1
HSTK,849,4,1,1
IHD,9192,4,1,1
ISTK,678,4,1,1
OSTK,1250,4,1,1
TSTK,3330,4,1,1
OTH,1071,4,1,1
PVD,200,4,1,1
RHD,128,4,1,1
AA,81,4,1,2
AFF,54,4,1,2
CM,288,4,1,2
DM,1189,4,1,2
ENDO,24,4,1,2
END,927,4,1,2
HSTK,279,4,1,2
IHD,2883,4,1,2
ISTK,290,4,1,2
OSTK,546,4,1,2
TSTK,1334,4,1,2
OTH,387,4,1,2
PVD,64,4,1,2
RHD,33,4,1,2
AA,22,4,1,3
AFF,16,4,1,3
CM,71,4,1,3
DM,525,4,1,3
ENDO,10,4,1,3
END,147,4,1,3
HSTK,138,4,1,3
IHD,983,4,1,3
ISTK,108,4,1,3
OSTK,154,4,1,3
TSTK,478,4,1,3
OTH,123,4,1,3
PVD,35,4,1,3
RHD,22,4,1,3
AA,15,4,1,4
AFF,10,4,1,4
CM,36,4,1,4
DM,194,4,1,4
ENDO,2,4,1,4
END,65,4,1,4
HSTK,87,4,1,4
IHD,371,4,1,4
ISTK,49,4,1,4
OSTK,86,4,1,4
TSTK,285,4,1,4
OTH,49,4,1,4
PVD,9,4,1,4
RHD,17,4,1,4
AA,774,4,2,1
AFF,518,4,2,1
CM,1465,4,2,1
DM,5368,4,2,1
ENDO,137,4,2,1
END,3463,4,2,1
HSTK,790,4,2,1
IHD,26532,4,2,1
ISTK,1028,4,2,1
OSTK,1794,4,2,1
TSTK,4372,4,2,1
OTH,1496,4,2,1
PVD,312,4,2,1
RHD,116,4,2,1
AA,172,4,2,2
AFF,100,4,2,2
CM,594,4,2,2
DM,1726,4,2,2
ENDO,26,4,2,2
END,1520,4,2,2
HSTK,254,4,2,2
IHD,5668,4,2,2
ISTK,416,4,2,2
OSTK,812,4,2,2
TSTK,1813,4,2,2
OTH,366,4,2,2
PVD,107,4,2,2
RHD,28,4,2,2
AA,83,4,2,3
AFF,41,4,2,3
CM,173,4,2,3
DM,923,4,2,3
ENDO,19,4,2,3
END,396,4,2,3
HSTK,199,4,2,3
IHD,2853,4,2,3
ISTK,177,4,2,3
OSTK,240,4,2,3
TSTK,784,4,2,3
OTH,168,4,2,3
PVD,38,4,2,3
RHD,13,4,2,3
AA,40,4,2,4
AFF,19,4,2,4
CM,91,4,2,4
DM,362,4,2,4
ENDO,8,4,2,4
END,166,4,2,4
HSTK,83,4,2,4
IHD,1280,4,2,4
ISTK,63,4,2,4
OSTK,114,4,2,4
TSTK,352,4,2,4
OTH,51,4,2,4
PVD,11,4,2,4
RHD,11,4,2,4
AA,603,5,1,1
AFF,1043,5,1,1
CM,982,5,1,1
DM,4785,5,1,1
ENDO,103,5,1,1
END,2097,5,1,1
HSTK,1193,5,1,1
IHD,17419,5,1,1
ISTK,1856,5,1,1
OSTK,3277,5,1,1
TSTK,7409,5,1,1
OTH,2153,5,1,1
PVD,427,5,1,1
RHD,252,5,1,1
AA,108,5,1,2
AFF,130,5,1,2
CM,316,5,1,2
DM,1617,5,1,2
ENDO,17,5,1,2
END,808,5,1,2
HSTK,266,5,1,2
IHD,3879,5,1,2
ISTK,494,5,1,2
OSTK,999,5,1,2
TSTK,2000,5,1,2
OTH,538,5,1,2
PVD,109,5,1,2
RHD,50,5,1,2
AA,32,5,1,3
AFF,60,5,1,3
CM,78,5,1,3
DM,796,5,1,3
ENDO,16,5,1,3
END,211,5,1,3
HSTK,149,5,1,3
IHD,1702,5,1,3
ISTK,220,5,1,3
OSTK,315,5,1,3
TSTK,813,5,1,3
OTH,212,5,1,3
PVD,32,5,1,3
RHD,36,5,1,3
AA,28,5,1,4
AFF,55,5,1,4
CM,44,5,1,4
DM,316,5,1,4
ENDO,5,5,1,4
END,97,5,1,4
HSTK,128,5,1,4
IHD,766,5,1,4
ISTK,90,5,1,4
OSTK,196,5,1,4
TSTK,531,5,1,4
OTH,74,5,1,4
PVD,11,5,1,4
RHD,21,5,1,4
AA,1143,5,2,1
AFF,1346,5,2,1
CM,2002,5,2,1
DM,7948,5,2,1
ENDO,145,5,2,1
END,3578,5,2,1
HSTK,1206,5,2,1
IHD,38858,5,2,1
ISTK,2170,5,2,1
OSTK,4046,5,2,1
TSTK,8749,5,2,1
OTH,2372,5,2,1
PVD,643,5,2,1
RHD,201,5,2,1
AA,125,5,2,2
AFF,179,5,2,2
CM,549,5,2,2
DM,1915,5,2,2
ENDO,30,5,2,2
END,1215,5,2,2
HSTK,260,5,2,2
IHD,6250,5,2,2
ISTK,567,5,2,2
OSTK,1244,5,2,2
TSTK,2321,5,2,2
OTH,364,5,2,2
PVD,147,5,2,2
RHD,26,5,2,2
AA,63,5,2,3
AFF,80,5,2,3
CM,152,5,2,3
DM,1023,5,2,3
ENDO,17,5,2,3
END,328,5,2,3
HSTK,136,5,2,3
IHD,3344,5,2,3
ISTK,278,5,2,3
OSTK,444,5,2,3
TSTK,988,5,2,3
OTH,161,5,2,3
PVD,62,5,2,3
RHD,15,5,2,3
AA,53,5,2,4
AFF,35,5,2,4
CM,88,5,2,4
DM,459,5,2,4
ENDO,6,5,2,4
END,130,5,2,4
HSTK,89,5,2,4
IHD,1694,5,2,4
ISTK,113,5,2,4
OSTK,242,5,2,4
TSTK,548,5,2,4
OTH,76,5,2,4
PVD,16,5,2,4
RHD,14,5,2,4
AA,2333,6,1,1
AFF,12141,6,1,1
CM,3851,6,1,1
DM,11096,6,1,1
ENDO,176,6,1,1
END,13938,6,1,1
HSTK,4117,6,1,1
IHD,86650,6,1,1
ISTK,16566,6,1,1
OSTK,27260,6,1,1
TSTK,52401,6,1,1
OTH,14844,6,1,1
PVD,2411,6,1,1
RHD,1380,6,1,1
AA,215,6,1,2
AFF,658,6,1,2
CM,529,6,1,2
DM,2722,6,1,2
ENDO,23,6,1,2
END,1953,6,1,2
HSTK,523,6,1,2
IHD,9842,6,1,2
ISTK,2180,6,1,2
OSTK,3210,6,1,2
TSTK,6388,6,1,2
OTH,1083,6,1,2
PVD,385,6,1,2
RHD,72,6,1,2
AA,92,6,1,3
AFF,526,6,1,3
CM,296,6,1,3
DM,1622,6,1,3
ENDO,12,6,1,3
END,1100,6,1,3
HSTK,364,6,1,3
IHD,6920,6,1,3
ISTK,1777,6,1,3
OSTK,1756,6,1,3
TSTK,4241,6,1,3
OTH,663,6,1,3
PVD,173,6,1,3
RHD,76,6,1,3
AA,92,6,1,4
AFF,302,6,1,4
CM,137,6,1,4
DM,855,6,1,4
ENDO,6,6,1,4
END,566,6,1,4
HSTK,288,6,1,4
IHD,3495,6,1,4
ISTK,669,6,1,4
OSTK,1160,6,1,4
TSTK,2408,6,1,4
OTH,419,6,1,4
PVD,74,6,1,4
RHD,37,6,1,4
AA,2128,6,2,1
AFF,7200,6,2,1
CM,4298,6,2,1
DM,11960,6,2,1
ENDO,223,6,2,1
END,8016,6,2,1
HSTK,3023,6,2,1
IHD,92274,6,2,1
ISTK,9058,6,2,1
OSTK,15356,6,2,1
TSTK,30531,6,2,1
OTH,9270,6,2,1
PVD,1665,6,2,1
RHD,567,6,2,1
AA,112,6,2,2
AFF,330,6,2,2
CM,482,6,2,2
DM,1872,6,2,2
ENDO,13,6,2,2
END,1217,6,2,2
HSTK,308,6,2,2
IHD,7532,6,2,2
ISTK,1127,6,2,2
OSTK,1864,6,2,2
TSTK,3547,6,2,2
OTH,551,6,2,2
PVD,279,6,2,2
RHD,25,6,2,2
AA,115,6,2,3
AFF,271,6,2,3
CM,289,6,2,3
DM,1428,6,2,3
ENDO,11,6,2,3
END,767,6,2,3
HSTK,242,6,2,3
IHD,6643,6,2,3
ISTK,986,6,2,3
OSTK,1219,6,2,3
TSTK,2668,6,2,3
OTH,395,6,2,3
PVD,129,6,2,3
RHD,32,6,2,3
AA,90,6,2,4
AFF,163,6,2,4
CM,144,6,2,4
DM,695,6,2,4
ENDO,8,6,2,4
END,338,6,2,4
HSTK,195,6,2,4
IHD,3551,6,2,4
ISTK,425,6,2,4
OSTK,817,6,2,4
TSTK,1641,6,2,4
OTH,250,6,2,4
PVD,40,6,2,4
RHD,24,6,2,4
