foodcode,whole_grain_yes
24147210,0
24157210,0
51150000,0
51301010,0
53239000,0
54328100,0
54403020,1
54408010,0
54401080,0
56201210,0
24198700,0
53206000,0
53530000,0
58106520,0
32202055,0
51121040,0
58132310,0
26107150,0
32202070,0
51160110,0
52201000,0
75414500,0
24127150,0
53301000,0
58145114,0
71301020,0
22101310,0
51300110,0
51301020,0
56205420,0
27510690,0
52103000,0
26100230,0
51101000,0
57128000,0
28501010,0
56203030,1
26319140,0
57349000,0
58106530,0
27120130,0
51161270,0
52215100,0
53238000,0
58163410,0
51101010,0
54202010,0
92611100,1
53260030,0
57123000,1
58145110,0
58421060,0
32202050,0
51180010,0
58160110,0
51157000,0
54402600,0
57340700,0
53233010,0
53121260,0
13120710,0
72201232,0
51109010,0
57214100,1
58104250,0
58104740,0
24127100,0
51601020,1
54403070,1
57339000,0
27112010,0
28500040,0
52101000,0
58106720,0
71305010,0
53247000,0
54102010,1
52104010,0
54325000,0
24107050,0
56205000,0
57223000,0
51101050,0
51129020,0
51320500,0
54102020,1
54301000,0
52306010,0
58148110,0
51601010,1
56203010,1
58403040,0
53540200,0
54301100,0
57135000,0
58100630,0
58104710,0
27510330,0
55101000,0
58407030,0
51186010,0
57303100,0
53209000,0
55301050,0
54402200,0
53542200,1
54401050,0
58104100,0
52302010,0
27214100,0
51155010,0
58106730,0
13412000,0
22101320,0
56205010,0
52215200,0
53210000,0
53610170,0
57321700,0
58100320,0
27260010,0
51401010,0
51401020,0
57411000,1
51184000,0
51185000,0
53112100,0
54328200,0
54403000,1
57214000,1
51158100,0
52215300,0
52304010,0
53209020,0
55201000,0
58151100,0
53242000,0
57231000,1
75609020,0
57237100,0
52102040,0
27510560,0
75418010,0
54401020,0
56131000,0
57805000,0
51320010,0
53109200,0
57331000,1
58128120,0
51161020,0
54420010,0
56203070,1
21103130,0
54403050,1
56205040,0
53520140,0
56102020,1
27513010,0
56207300,1
52215260,1
53542100,1
54304100,0
57329000,1
28311010,0
51107010,0
53521130,0
58101300,0
53343000,0
53521110,0
53241500,0
58105110,0
28500100,0
52206010,0
57344000,0
58106220,0
13120730,0
57305100,1
53108200,0
13411000,0
56201010,0
51109100,0
56205110,1
14650100,0
24198740,0
27320330,0
57238000,1
27510310,0
27510500,0
57240100,0
58131323,0
57316410,1
27311410,0
53206020,0
54337000,1
24127110,0
54101010,0
56205430,0
57213000,0
75460700,0
28110640,0
54304000,0
58130011,0
27560300,0
75608100,0
51105040,0
51107040,0
53120160,0
56205170,0
57100100,0
58148130,0
27243400,0
24198840,0
56205400,0
53105260,0
58108000,0
58131520,0
58407010,0
32202010,0
27112000,0
53121200,0
57127000,0
57804000,1
58145115,0
57237300,1
58150110,0
41602050,0
57134000,0
26107140,0
51300120,0
53100100,0
75649150,0
53520110,0
57241000,1
27510300,0
57119000,1
51161250,0
53207000,0
27214110,0
58101520,0
53450000,0
58145130,0
57820100,0
27510510,0
26100150,0
57330000,1
57407100,0
53104500,1
53123500,0
53114100,0
21104110,0
58104140,0
75415020,0
53452420,0
58125110,0
58125120,0
53410800,0
58100110,0
27450450,0
56101000,0
51182010,0
58126150,0
53300100,0
27120120,0
51122000,0
56203020,1
57336000,0
53115200,0
53206030,0
28113140,0
56205120,1
57347000,0
58126130,0
26127140,0
26141140,0
27363000,0
54318500,1
54202050,0
58131523,0
51166000,0
58130310,0
55103000,0
53230000,0
57232100,1
72302000,0
27146250,0
55203000,0
58101320,0
57308400,1
27345010,0
53209500,0
51113100,0
53239050,0
51301700,0
58110110,0
27212100,0
25110450,0
27120060,0
58111110,0
58150510,0
53226550,0
58101400,0
74602010,0
53121100,0
53204010,0
58136120,0
58403010,0
13120550,0
27445150,0
53610100,0
27146350,0
53521210,0
27510210,0
51000200,0
58106210,0
24167110,0
54403110,1
56205550,1
57243000,1
53222020,0
13135000,0
58163130,0
58106320,0
51121010,0
53342000,0
58100530,0
58106230,0
52220110,0
27510360,0
27243600,0
58132313,0
52202060,0
53347000,0
57106050,1
58163380,0
58132110,0
27445110,0
55610200,0
74202051,0
56205030,0
51160000,0
53242250,0
57803000,0
76611020,0
58145170,0
58160210,0
53243000,0
58106760,0
27243000,0
28500070,0
58106330,0
51159000,0
58101940,0
32202040,0
53226500,0
51300180,1
53452100,0
53511000,0
56205410,0
56207080,0
58149160,0
57227000,1
11830970,0
51161280,0
58132710,0
53120200,0
74605010,0
52215350,0
53120260,0
58105100,0
58116120,0
27213000,0
51155000,0
27330170,0
28500000,0
53101250,0
58161300,0
13120770,0
91703200,0
57418000,1
74601000,0
53233050,0
58163360,1
53231400,0
26137140,0
56112030,0
54401010,1
57124000,0
58304010,0
57239000,1
28340670,0
27560350,0
58108010,0
57130000,0
54338000,1
58100340,0
57339500,0
52302500,0
53452450,0
57341200,0
24302010,0
28320120,0
53208200,0
26100240,0
52209010,0
58162310,0
58104530,0
27510280,0
52101100,0
53220030,0
75652040,0
51127010,0
13130630,0
54001000,0
27510230,0
51153000,0
58105050,0
27540190,0
54102100,0
58100120,0
26100140,0
58160150,0
25221450,0
58147310,0
57823000,1
57335550,1
27250070,0
56112000,0
51301050,0
54102110,0
53241600,0
54319000,0
56130010,0
53233000,0
52208760,0
53215500,0
27242400,0
91705020,0
58100370,0
58127330,0
14660200,0
53360000,0
53510000,0
58100180,0
56201220,0
91705030,0
27550100,0
53123070,0
27445180,0
57304100,1
52104200,0
21104130,0
56205440,0
13120500,0
27315410,0
52208750,0
51184030,0
57824000,0
58106750,0
53234000,0
71801020,0
27442110,0
58150330,0
53208000,0
58100100,0
58100310,0
27410220,0
13210410,0
51184020,0
92205000,1
58148180,0
58101530,0
53233040,0
26213140,0
51184010,0
75651010,0
27144000,0
26157140,0
53116020,0
57106100,0
58160300,0
53210900,0
58148120,0
28320110,0
53203100,0
74604500,0
12350100,0
13210110,0
54401100,0
32202045,0
58402030,0
51404500,0
51111010,0
58421020,0
58147330,0
53235500,0
