foodcode,Foodgroup
51000100,gr_refined
51000110,gr_refined
51000180,gr_refined
51000200,gr_refined
51000300,gr_refined
51101000,gr_refined
51101010,gr_refined
51101050,gr_refined
51101060,gr_refined
51102010,gr_whole
51105010,gr_refined
51105040,gr_refined
51106010,gr_refined
51107010,gr_refined
51107040,gr_refined
51108010,gr_refined
51108100,gr_refined
51109010,gr_refined
51109040,gr_refined
51109100,gr_refined
51109150,gr_refined
51111010,gr_refined
51111040,gr_refined
51113010,gr_refined
51113100,gr_refined
51115020,gr_refined
51119010,gr_refined
51119040,gr_refined
51121015,gr_refined
51121025,gr_refined
51121035,gr_refined
51121045,gr_refined
51121055,gr_refined
51121065,gr_refined
51121075,gr_refined
51121110,gr_refined
51122000,gr_refined
51122100,gr_refined
51122110,gr_refined
51127010,gr_refined
51127020,gr_refined
51129010,gr_refined
51129020,gr_refined
51133010,gr_refined
51133020,gr_refined
51134000,gr_refined
51135000,gr_refined
51136000,gr_refined
51140100,gr_refined
51150000,gr_refined
51153000,gr_refined
51154010,gr_refined
51154100,gr_refined
51154550,gr_refined
51154600,gr_refined
51155000,gr_refined
51156500,gr_refined
51157000,gr_refined
51158100,gr_refined
51159000,gr_refined
51160000,gr_refined
51160100,gr_refined
51160110,gr_refined
51161000,gr_refined
51161020,gr_refined
51161050,gr_refined
51161250,gr_refined
51161270,gr_refined
51161280,gr_refined
51165000,gr_refined
51166000,gr_refined
51166100,gr_refined
51166200,gr_refined
51166500,gr_refined
51167000,gr_refined
51180010,gr_refined
51180030,gr_refined
51180080,gr_refined
51182010,gr_refined
51182020,gr_refined
51183990,gr_refined
51184000,gr_refined
51184100,gr_refined
51184200,gr_refined
51184210,gr_refined
51184220,gr_refined
51184230,gr_refined
51184240,gr_refined
51184250,gr_refined
51184260,gr_refined
51185000,gr_refined
51186010,gr_refined
51186100,gr_refined
51186160,gr_refined
51187000,gr_refined
51187020,gr_refined
51188100,gr_refined
51188500,gr_refined
51300050,gr_whole
51300060,gr_whole
51300100,gr_refined
51300110,gr_whole
51300120,gr_whole
51300140,gr_whole
51300150,gr_whole
51300175,gr_refined
51300180,gr_refined
51300185,gr_refined
51300210,gr_whole
51300220,gr_whole
51300300,gr_refined
51300310,gr_refined
51301010,gr_refined
51301020,gr_refined
51301040,gr_refined
51301050,gr_refined
51301120,gr_refined
51301130,gr_refined
51301510,gr_refined
51301540,gr_whole
51301550,gr_whole
51301600,gr_whole
51301620,gr_whole
51301700,gr_refined
51301750,gr_refined
51301800,gr_refined
51301805,gr_refined
51301820,gr_refined
51302500,gr_refined
51303010,gr_refined
51303030,gr_refined
51303050,gr_refined
51303070,gr_refined
51303100,gr_refined
51306000,gr_whole
51320010,gr_refined
51320060,gr_refined
51320070,gr_refined
51320500,gr_refined
51320550,gr_whole
51320560,gr_whole
51320700,gr_whole
51320710,gr_whole
51320720,gr_whole
51401010,gr_refined
51401020,gr_refined
51401030,gr_refined
51404010,gr_refined
51404020,gr_refined
51404500,gr_refined
51404550,gr_refined
51407010,gr_refined
51420000,gr_refined
51421000,gr_refined
51501010,gr_refined
