riskfactor,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR
gr_whole,ISTK,30,-0.31378698295891355,0.09907209364757968,0.7342614562415567,0.07282834196543192,60.7,-0.210721031
gr_whole,ISTK,40,-0.300954659584004,0.0950205388917805,0.7434528498516144,0.07071183237549802,60.7,-0.210721031
gr_whole,ISTK,50,-0.2553091318522041,0.08060885758048084,0.7771928515074182,0.062675512693584845,60.7,-0.210721031
gr_whole,ISTK,60,-0.2115554459230303,0.06679448826239641,0.8111284629248886,0.054181296436417004,60.7,-0.210721031
gr_whole,ISTK,70,-0.1754742100719365,0.05540254477432627,0.8403455201152111,0.04654909535094314,60.7,-0.210721031
gr_whole,ISTK,87.5,-0.10063700572159787,0.027396130730482596,0.9042612149653654,0.024773258459696176,60.7,-0.210721031
