riskfactor,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR
pf_seafood,IHD,30,-0.07414191093095839,0.0397564567954635,0.9292740462659138,0.03701572788796338,60.4,-0.051293294
pf_seafood,IHD,40,-0.07110987637130817,0.03813061589846617,0.9320368678202074,0.03560424162781857,60.4,-0.051293294
pf_seafood,IHD,50,-0.06032470415168545,0.03234737902208801,0.9419513907856297,0.030515763710181516,60.4,-0.051293294
pf_seafood,IHD,60,-0.049986538258147764,0.026803836368142916,0.9515838975788719,0.02553725359744673,60.4,-0.051293294
pf_seafood,IHD,70,-0.041461226756934304,0.02223238448472058,0.959623566081763,0.021355863447534998,60.4,-0.051293294
pf_seafood,IHD,87.5,-0.023984315961743306,0.010998571040373408,0.976301021980409,0.010737916147040689,60.4,-0.051293294
