riskfactor,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR
veg_exc_sta,ISTK,30,-0.2803648719707764,0.08233611516490705,0.7580702087841746,0.0624988156466749,60,-0.186329578
veg_exc_sta,ISTK,40,-0.26889934632605844,0.07896897850019644,0.7666039564930641,0.06061084391673227,60,-0.186329578
veg_exc_sta,ISTK,50,-0.2281156196784802,0.06699182319359617,0.7978184328302125,0.05349229667840546,60,-0.186329578
veg_exc_sta,ISTK,60,-0.18902223078736555,0.055511077594836485,0.8290430383138896,0.04604657520570092,60,-0.186329578
veg_exc_sta,ISTK,70,-0.15678408319262022,0.04604354403970231,0.8557942982610991,0.03941804569572423,60,-0.186329578
veg_exc_sta,ISTK,87.5,-0.09053602878779618,0.022936173687219823,0.9134414231208908,0.020950851133802004,60,-0.186329578
