food,food_type,mixed_dish,wasted_prop_fndds,inedible_prop_fndds
added_sugar,Total,Non-Mixed,0.29919739972548953,0.008976286453257409
dairy_tot,Total,Non-Mixed,0.2249360858622864,0.007101131385562131
fruit_exc_juice,Total,Non-Mixed,0.451379233602452,0.3221829410221551
fruit_juice,Total,Non-Mixed,0.12374632015753623,0.013559010115845517
gr_refined,Total,Non-Mixed,0.25293579100434554,0.0389605525607065
gr_whole,Total,Non-Mixed,0.14829775561071215,0.03197945820190313
leg_tot,Total,Non-Mixed,0.11179115429284713,0.013080550915399872
oil,Total,Non-Mixed,0.16596779151118007,0
pf_egg,Total,Non-Mixed,0.2729528684760146,0.12291277342767642
pf_ns,Total,Non-Mixed,0.14163314014574563,0.012604822974071577
pf_pm,Total,Non-Mixed,0.27525977877725266,8.841809894987225e-4
pf_poultry,Total,Non-Mixed,0.16718616075759868,3.331814279479274e-4
pf_redm,Total,Non-Mixed,0.254053527323632,3.245702548985136e-4
pf_seafood,Total,Non-Mixed,0.36990474965058123,0.002626034565475896
sat_fat,Total,Non-Mixed,0.14132092610443567,0.005390454072820744
ssb,Total,Non-Mixed,0.056973177049555235,8.588971713191046e-4
veg_dg,Total,Non-Mixed,0.279001617817686,0.3244999445810479
veg_oth,Total,Non-Mixed,0.5105755259621068,0.4286427162797879
veg_ro,Total,Non-Mixed,0.3388872142202126,0.1411208817680872
veg_sta,Total,Non-Mixed,0.18871948263600222,0.08565724196344948
