subgroup,food,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,fcid_purchased_mean,fcid_purchased_se,GHGper100gram,CEDper100gram,GHGperDGA,CEDperDGA
1,added_sugar,0.07298481514544136,0.004887565700970178,0.763075975595529,0.05402816963577472,99.83124396415162,6.47475184812242,0.07310818962813832,0.7643658891694686,0.00307054396438181,0.032103367345117685
2,added_sugar,0.09705913961938747,0.006474350579147827,1.024930999954746,0.071018492258896,133.93459576831722,9.306111617164012,0.07246756453223059,0.7652473911428325,0.003043637710353685,0.03214039042799897
3,added_sugar,0.08764879986644426,0.00498861421521845,0.94892534858854,0.05509123864755704,122.27158398435604,6.769978837848486,0.07168370361314566,0.7760800323891688,0.003010715551752118,0.03259536136034509
4,added_sugar,0.07600326439303977,0.00637324493074809,0.7722216226187554,0.06755024735919084,101.72577013508956,7.68651789219286,0.07471387465743352,0.7591209401445299,0.0031379827356122084,0.031883079486070255
5,added_sugar,0.06314298939291696,0.00426258066909572,0.6453128872153471,0.04546309485443658,89.42262730898983,6.002612616818451,0.07061187005245714,0.7216438463449982,0.0029656985422032,0.030309041546489928
6,added_sugar,0.08047840111894877,0.00477460143047715,0.8547464465882563,0.05415229689377014,112.65101289446265,6.520697478939453,0.0714404593896951,0.7587561129068829,0.003000499294367194,0.03186775674208909
7,added_sugar,0.06529985687439449,0.003279467746146428,0.6764873293586623,0.03792229938659819,91.1765650468549,4.480205596559166,0.07161912366498718,0.7419530764413212,0.003008003193929462,0.031162029210535493
8,added_sugar,0.05390799605387111,0.006533018098690086,0.5477040121676137,0.07184423137245965,75.11275891815554,9.095278579873511,0.0717694261671448,0.7291757353293382,0.0030143158990200815,0.030625380883832206
9,added_sugar,0.10652928988720345,0.01322011849392491,1.1112318878378467,0.14533945162209222,147.24573920332023,17.0424223385517,0.0723479609417461,0.7546784673364522,0.0030386143595533366,0.03169649562813099
10,added_sugar,0.09318935947607346,0.006650273819634638,0.983778996552623,0.06075623131522367,127.50956170786564,8.442132787238434,0.07308421284481986,0.7715335096253703,0.0030695369394824344,0.032404407404265555
11,added_sugar,0.09336961725825495,0.008835475820273542,0.9736119851375628,0.09355448262048485,129.8264729132484,11.77604677131852,0.07191878140342427,0.7499333250685642,0.0030205888189438193,0.0314971996528797
12,added_sugar,0.0690573298288554,0.009018212605043445,0.6725226674151672,0.08987722396343731,93.41632643388856,12.229909234560687,0.07392426191981312,0.7199198395915479,0.0031048190006321514,0.030236633262845015
13,added_sugar,0.06279724654907558,0.005128531695554873,0.6346995513960478,0.05370269094490317,88.56686621546363,7.045319522446881,0.07090376935806189,0.7166331818176381,0.0029779583130385995,0.030098593636340803
14,added_sugar,0.08050979478652931,0.004995696171483676,0.842516779936777,0.055416863976632195,112.8070946739905,7.1349023874924375,0.07136944269258992,0.7468650640916052,0.002997516593088777,0.031368332691847425
15,added_sugar,0.060035262789863444,0.0036759580710919075,0.5861767109994466,0.0381999172513523,82.38054263797716,5.220217246358951,0.07287553695013826,0.7115475235158515,0.0030607725519058073,0.029884995987665763
16,added_sugar,0.06494946268520478,0.006223466070977526,0.6342313025681456,0.06483113047421012,89.72015414954201,9.045676955993704,0.07239116261096651,0.706899479364507,0.0030404288296605937,0.029689778133309298
17,added_sugar,0.08648317574020642,0.005177470929404275,0.8732841676036617,0.05825925257518007,119.36807919462113,7.4562914192654945,0.0724508397250841,0.7315893608205207,0.0030429352684535325,0.030726753154461873
18,added_sugar,0.08482446649699839,0.004089791691284085,0.8772970585455111,0.04086885505079334,117.2185706203873,5.757927456168272,0.07236435835043807,0.7484283880125447,0.0030393030507183992,0.03143399229652688
19,added_sugar,0.07821006586634402,0.0064544997938094425,0.7866683217880787,0.06784898724384973,106.10766731716332,9.08775270068866,0.07370821340607613,0.7413868777613133,0.0030957449630551973,0.03113824886597516
20,added_sugar,0.07255453170914469,0.01516884390017282,0.7395348498337672,0.1639657938641121,104.02084323553547,22.112084109367107,0.06974999380158717,0.7109487164598645,0.002929499739666661,0.02985984609131431
21,added_sugar,0.06968114529049696,0.006392674633647688,0.7124866361267508,0.07524013166851391,97.26941684768546,9.355707172598617,0.07163726024965372,0.7324878252765062,0.0030087649304854566,0.030764488661613264
22,added_sugar,0.07760078482270202,0.003161930736139277,0.8069588207034786,0.035721233428093684,108.21440145306002,4.621354151249665,0.0717102195093347,0.7457037232271823,0.0030118292193920576,0.03131955637554166
23,added_sugar,0.05936591309046082,0.004042507985190264,0.5971668330031631,0.044004012662915225,82.90585388369627,5.883402418945253,0.07160641897946285,0.7202951360236796,0.0030074695971374398,0.030252395712994543
24,added_sugar,0.04462310632869047,0.006258742134046995,0.44125827972792514,0.0662179735540209,63.257721238227674,8.450992099179091,0.07054175435855568,0.6975563948409598,0.002962753683059339,0.029297368583320313
25,added_sugar,0.09202576903944677,0.008336459785394178,0.9427633592113978,0.09320712069040217,129.04231926608796,11.896055536204402,0.0713144103134784,0.7305846365543075,0.002995205233166093,0.030684554735280915
26,added_sugar,0.08772244788717035,0.006229237051172085,0.9264054606086295,0.06810683391774654,124.72072023766991,8.604135021981945,0.07033510367804562,0.7427839246303707,0.002954074354477916,0.03119692483447557
27,added_sugar,0.0744549199499912,0.003913748393382015,0.7534708096100424,0.04285797921152641,105.49646419696028,5.647670753682554,0.07057574916537962,0.7142142775546714,0.0029641814649459444,0.0299969996572962
28,added_sugar,0.05693751022564071,0.006245472801343111,0.5393080517676919,0.06645445895271034,81.16161344277135,10.269042929971326,0.07015325079236931,0.6644866075117748,0.002946436533279511,0.027908437515494544
29,added_sugar,0.07398592930753405,0.006000446823457109,0.7409460553462062,0.061915612463791625,104.69709593350369,8.56282954957248,0.0706666490105177,0.707704496232449,0.0029679992584417435,0.02972358884176286
30,added_sugar,0.07282786370170362,0.0036747610356957987,0.7321228660799439,0.04240071438873887,99.95650826768603,4.7491625354698455,0.072859551582843185,0.7324414175406173,0.003060101166479414,0.030762539536705928
31,added_sugar,0.061049350021474796,0.004189704725816636,0.6094148369382876,0.04645783960723259,85.09159160385171,5.84097975307208,0.07174545553888942,0.7161869057232467,0.0030133091326333557,0.030079850040376364
32,added_sugar,0.04241590879255747,0.0056728934996099715,0.42406542073427406,0.061932957876102486,58.59142924889721,7.318426555556887,0.07239268496485057,0.7237669846435018,0.0030404927685237244,0.030398213355027074
33,added_sugar,0.07466488519566415,0.00447180143525356,0.7278039329188334,0.04739282343906643,98.88768763000292,4.8893388983968435,0.07550473368841373,0.7359904456882201,0.003171198814913377,0.030911598718905246
34,added_sugar,0.0832648485341256,0.0055206199866917665,0.8620668508184224,0.058049180217041446,119.37900720189766,7.9285274931824885,0.06974831713360237,0.7221260010652182,0.0029294293196112996,0.030329292044739165
35,added_sugar,0.05680281203460511,0.005600941844966987,0.5668557790235762,0.058358527662067776,80.80823260044608,8.013432105104249,0.07029334785165385,0.7014827088551459,0.002952320609769462,0.02946227377191613
36,added_sugar,0.057449626209123986,0.011611101462914943,0.5517899182771784,0.11096747298168656,79.4591634584696,15.7867367071145,0.07230081932482313,0.6944320758745198,0.0030366344116425715,0.029166147186729833
37,added_sugar,0.06008741083936595,0.004096081201960471,0.6093305983772832,0.04386066600579853,86.50891601442609,5.719607673033661,0.06945805543251272,0.7043558357333621,0.0029172383281655346,0.02958294510080121
38,added_sugar,0.06189990759749263,0.0038845941046827637,0.6241465491163511,0.044727154235274486,88.3326221298565,5.2094524023992514,0.07007593129805938,0.7065866879835203,0.002943189114518494,0.029676640895307856
39,added_sugar,0.0414749221868109,0.0031086494588021428,0.3981234403658355,0.033021045326132883,58.47485617123685,4.615783837665711,0.07092778828793762,0.680845523074015,0.0029789671080933805,0.028595511969108634
40,added_sugar,0.04282493936263256,0.0065811692509750094,0.4085601542250698,0.0682724517246839,58.77803182013133,7.972689762436664,0.07285875017673717,0.695089885750715,0.0030600675074229614,0.02919377520153003
41,added_sugar,0.07370276409991276,0.004448203296877279,0.7136118671832229,0.046359490214131126,99.31336492442013,4.404602368894812,0.0742123320018432,0.718545653675413,0.0031169179440774146,0.03017891745436735
42,added_sugar,0.06226543605541993,0.004995817505487904,0.617819857232665,0.05515359146553284,80.97449334672271,8.151339552822554,0.07689512275032964,0.7629808248224995,0.0032295951555138453,0.03204519464254498
