subgroup,food,GHG_impact_mean,GHG_impact_se,CED_impact_mean,CED_impact_se
1,added_sugar,0.06995809053827352,0.005350615268747894,0.716829484983429,0.05869385418216766
2,added_sugar,0.07708815152972058,0.004772577225092054,0.8044826216907999,0.05043760162504388
3,added_sugar,0.07282237660900825,0.0035481045082037363,0.776307556152798,0.03877618730975857
4,added_sugar,0.06696098196331246,0.006723490809904821,0.6706881588975944,0.07137746129085062
5,added_sugar,0.05355113337004682,0.0031700926862827925,0.5353897670559377,0.033742041333009676
6,added_sugar,0.06289778762809775,0.0032934914685248955,0.6596252858947382,0.037567091474943165
7,added_sugar,0.054017866045002826,0.002491940962810501,0.5479099787133225,0.025494612606045745
8,added_sugar,0.041857639124245886,0.004443192317035574,0.4207958089916028,0.04840381403499751
9,added_sugar,0.09009531087850424,0.009690793977708837,0.9162223042353458,0.10415261413431483
10,added_sugar,0.0771705138566734,0.005669577057925939,0.8057709339525531,0.05516919275552193
11,added_sugar,0.07812568179977865,0.006087574184555717,0.8010180270536619,0.06263068557628652
12,added_sugar,0.05627349912515311,0.006041565677549914,0.520008852073313,0.055843767740506714
13,added_sugar,0.052031390867164684,0.003453960633888048,0.5204844940369601,0.035795084263091484
14,added_sugar,0.06246637592971485,0.0036718710329568045,0.646948063553852,0.04087798673049092
15,added_sugar,0.046334364893021854,0.0024453816176603933,0.4433600174265981,0.024476075502308365
16,added_sugar,0.04800224160747047,0.004474163883693994,0.45850653247587925,0.043367988466275736
17,added_sugar,0.07272792175238876,0.004230460223355271,0.723870625008139,0.04250139010885383
18,added_sugar,0.06702353194432335,0.0038014171523074298,0.684506114820492,0.039641241816249985
19,added_sugar,0.06971138818381771,0.006093066342456333,0.6922833910761222,0.06363174496864353
20,added_sugar,0.06530520657912894,0.015742648572066722,0.6566288800544486,0.17250632995114173
21,added_sugar,0.053088303325668315,0.003909082267187137,0.5326648922457123,0.05004420824249662
22,added_sugar,0.06115412265304932,0.004160637620303777,0.6313468454669584,0.04518447806970636
23,added_sugar,0.04731487857702116,0.003032326835257829,0.4633022013595118,0.032183602041356396
24,added_sugar,0.03583869326081487,0.0033830751640155127,0.34845390602786125,0.03542607128243651
25,added_sugar,0.06935654449811159,0.005401548594972616,0.698310071188066,0.059081699459457
26,added_sugar,0.06700699445995235,0.0042233320977967835,0.7012128935700875,0.04540304037300056
27,added_sugar,0.06129707447444044,0.004249702063555688,0.6162648984746706,0.04330920804163733
28,added_sugar,0.050097794260371496,0.004389965401200974,0.45978413463158574,0.04598719429207067
29,added_sugar,0.05412623697587852,0.003783843256919437,0.5362809550200722,0.03704796260838948
30,added_sugar,0.053245476422161396,0.0027791129739210556,0.5226446288092336,0.030708554366680175
31,added_sugar,0.047541661599242,0.0032238046135459613,0.4616298657497471,0.03417230632910551
32,added_sugar,0.030199811139094836,0.003970890248456754,0.2967478499616134,0.04207142521341366
33,added_sugar,0.05610949035940581,0.004101793783181174,0.5304429441041766,0.04010714015380888
34,added_sugar,0.06328677036073947,0.004120964749125173,0.6467432555704615,0.04210911341671582
35,added_sugar,0.04186687514004391,0.0035793014718161317,0.4129428696896156,0.03680307948136471
36,added_sugar,0.04435868207299544,0.007765719758794135,0.41641633441747705,0.07343200381570275
37,added_sugar,0.043624670854640904,0.003097893122210196,0.4342008418449194,0.03041315218124851
38,added_sugar,0.045028315365520544,0.002705236858398077,0.4476802239738998,0.029941743833826882
39,added_sugar,0.034684371473874494,0.0026055612782763596,0.3272671247586549,0.028406904239102897
40,added_sugar,0.034697368257899604,0.005602397498472705,0.32858966798310746,0.05783080716584496
41,added_sugar,0.05966388773140892,0.0034679671831116627,0.5675905832061087,0.035207124708159294
