subgroup,food,fcid_consumed_mean,fcid_wasted_mean,fcid_inedible_mean,fcid_edible_mean,fcid_purchased_mean,wasted_prop_fcid,inedible_prop_fcid
0,added_sugar,81.11697905,41.27801904,0,122.3949981,122.3949981,0.3372525,0.3372525
0,babyfood,1.087166091,0.152956989,0.047519802,1.24012308,1.287642883,0.123340168,0.118788362
0,coffee_tea,6.841266278,0,0,6.841266278,6.841266278,0,0
0,dairy_cow,188.9808609,60.42813582,0,249.4089967,249.4089967,0.242285309,0.242285309
0,dairy_soy,9.721802911,2.644060748,0,12.36586366,12.36586366,0.213819335,0.213819335
0,fruit_exc_juice,107.3138212,84.42859672,87.29936557,191.7424179,279.0417835,0.440323,0.302566145
0,fruit_juice,56.95482468,8.061096593,0,65.01592128,65.01592128,0.123986501,0.123986501
0,gr_refined,107.6495108,31.32270544,0,138.9722162,138.9722162,0.225388256,0.225388256
0,gr_whole,33.59117287,8.205732102,5.298258757,41.79690497,47.09516372,0.196323917,0.174237256
0,leg_tot,21.54758404,4.912122646,1.177441802,26.45970668,27.63714849,0.185645393,0.177736232
0,oil,31.29134109,6.179656246,0,37.47099734,37.47099734,0.164918382,0.164918382
0,other,26.65237888,3.90703957,0.82364283,30.55941845,31.38306128,0.127850586,0.124495171
0,pf_egg,31.28562488,11.07029823,5.775807838,42.3559231,48.13173094,0.26136364,0.230000002
0,pf_ns,11.39640377,1.550548097,0.235947642,12.94695187,13.18289951,0.119761633,0.117618138
0,pf_poultry_tot,54.85127266,12.5118699,0,67.36314256,67.36314256,0.185737622,0.185737622
0,pf_redm_tot,62.72308643,19.20525546,0,81.92834189,81.92834189,0.234415283,0.234415283
0,pf_seafood,20.42930337,12.41281433,0,32.8421177,32.8421177,0.377954139,0.377954139
0,sat_fat,36.72432559,11.14964993,0,47.87397552,47.87397552,0.232895844,0.232895844
0,ssb,130.1359636,18.08420205,0.272862127,148.2201657,148.4930278,0.122009053,0.121784856
0,veg_dg,17.27471472,6.580425276,13.0819171,23.85514,36.93705709,0.275849367,0.178152397
0,veg_oth,56.93342269,35.7334064,20.04544699,92.66682908,112.7122761,0.385611623,0.317032072
0,veg_ro,71.31530651,45.0653136,18.75287104,116.3806201,135.1334912,0.387223522,0.333487378
0,veg_sta,44.47231417,55.61191096,99.64111068,100.0842251,199.7253358,0.555651112,0.278441945
0,water,1863.497269,0,0,1863.497269,1863.497269,0,0
