subgroup,food,GHGper100gram,CEDper100gram,costper100gram
1,added_sugar,0.07310818962813832,0.7643658891694686,1.1462637973797456
2,added_sugar,0.07246756453223059,0.7652473911428325,1.1570756155401343
3,added_sugar,0.07168370361314566,0.7760800323891688,0.9606361248858883
4,added_sugar,0.07471387465743352,0.7591209401445299,1.0480965590740223
5,added_sugar,0.07061187005245714,0.7216438463449982,1.1513166002501212
6,added_sugar,0.0714404593896951,0.7587561129068829,1.0639383870243606
7,added_sugar,0.07161912366498718,0.7419530764413212,0.8968982367720171
8,added_sugar,0.0717694261671448,0.7291757353293382,1.0306159626403377
9,added_sugar,0.0723479609417461,0.7546784673364522,0.8780183597836533
10,added_sugar,0.07308421284481986,0.7715335096253703,1.0653774564546306
11,added_sugar,0.07191878140342427,0.7499333250685642,0.8768297340052152
12,added_sugar,0.07392426191981312,0.7199198395915479,0.9609377147688664
13,added_sugar,0.07090376935806189,0.7166331818176381,0.9296291140857261
14,added_sugar,0.07136944269258992,0.7468650640916052,0.9740763102645551
15,added_sugar,0.07287553695013826,0.7115475235158515,0.9311766474773513
16,added_sugar,0.07239116261096651,0.706899479364507,0.8413977658717675
17,added_sugar,0.0724508397250841,0.7315893608205207,1.0048429101523593
18,added_sugar,0.07236435835043807,0.7484283880125447,0.8987821625616979
19,added_sugar,0.07370821340607613,0.7413868777613133,0.7107257521482134
20,added_sugar,0.06974999380158717,0.7109487164598645,0.8019134254982015
21,added_sugar,0.07163726024965372,0.7324878252765062,0.9354555148131999
22,added_sugar,0.0717102195093347,0.7457037232271823,0.9575859556935474
23,added_sugar,0.07160641897946285,0.7202951360236796,0.911728809447808
24,added_sugar,0.07054175435855568,0.6975563948409598,0.8326339699866965
25,added_sugar,0.0713144103134784,0.7305846365543075,0.8334768976195851
26,added_sugar,0.07033510367804562,0.7427839246303707,0.7860043490550518
27,added_sugar,0.07057574916537962,0.7142142775546714,0.6565468370581704
28,added_sugar,0.07015325079236931,0.6644866075117748,0.9136844650365797
29,added_sugar,0.0706666490105177,0.707704496232449,0.9741525795558285
30,added_sugar,0.072859551582843185,0.7324414175406173,0.9679412734900288
31,added_sugar,0.07174545553888942,0.7161869057232467,0.7193655214955377
32,added_sugar,0.07239268496485057,0.7237669846435018,1.1685874235249571
33,added_sugar,0.07550473368841373,0.7359904456882201,0.8378526206653596
34,added_sugar,0.06974831713360237,0.7221260010652182,0.9194107328320159
35,added_sugar,0.07029334785165385,0.7014827088551459,0.6922685046906429
36,added_sugar,0.07230081932482313,0.6944320758745198,0.7432052489001543
37,added_sugar,0.06945805543251272,0.7043558357333621,0.9294548513227754
38,added_sugar,0.07007593129805938,0.7065866879835203,0.8462906492697695
39,added_sugar,0.07092778828793762,0.680845523074015,0.6288430224021156
40,added_sugar,0.07285875017673717,0.695089885750715,0.9924240067468115
41,added_sugar,0.0742123320018432,0.718545653675413,0.9020819876275328
42,added_sugar,0.07689512275032964,0.7629808248224995,0.8427158253618205
43,added_sugar,0.0704796785001247,0.7172951670928982,0.6103041738742528
44,added_sugar,0.07537324768437045,0.641185094439905,0.5717535799228908
45,added_sugar,0.06885585497601657,0.6722167630332254,0.9171181875487735
46,added_sugar,0.07542988161091438,0.7143739694852952,0.8147627464777257
47,added_sugar,0.06888224206490748,0.6623599587208785,0.74261800084993
48,added_sugar,0.06956072225907212,0.7046432711468703,0.8576845785057707
1,dairy,0.23081281649103386,1.244721783891551,0.43924262014607107
2,dairy,0.2297690562810492,1.239444699892401,0.48721420170767715
3,dairy,0.21898665912746304,1.1807067947452716,0.384150293870537
4,dairy,0.19509655847604307,1.0528874130061128,0.3795117288844081
