food,GHGperDGA_consumed,CEDperDGA_consumed,WATERperDGA_consumed,BLUEWATERperDGA_consumed,costperDGA_consumed,GHGper100gram_consumed,CEDper100gram_consumed,WATERper100gram_consumed,BLUEWATERper100gram_consumed,costper100gram_consumed
added_sugar,0.003040627272146361,0.03042695098359314,1.9972602496079848,0.5507836987357633,0.040829927040160106,0.07239588743205622,0.7244512138950747,47.553815466856776,13.113897588946744,0.9721411200038119
dairy,0.24678555070208238,1.3315545007715877,68.72460281355573,16.454948799532556,0.6028693187983412,0.1656278863772365,0.8936607387728777,46.12389450574211,11.043589798343998,0.4046102810727122
fruit_exc_juice,0.0874471911787377,0.6657665945868557,309.94810422899917,41.81808181296896,0.6784229855942333,0.057531046828116904,0.438004338543984,203.91322646644682,27.511895929584846,0.4463309115751535
fruit_juice,0.23747707543376692,1.8632819502190305,622.6707675801309,74.89342141443427,0.500324348622029,0.09461238065090316,0.7423434064617652,248.0760030199725,29.83801649977461,0.1993324098095733
gr_refined,0.020582364157687494,0.1180999588648211,32.10898235017634,10.220244733642039,0.3003609082409381,0.05717323377135415,0.3280554412911697,89.19161763937873,28.38956870456122,0.834335856224828
gr_whole,0.02570873707884807,0.16341821021715006,48.66441375163812,10.097697650136995,0.270069493574262,0.05040928838989817,0.32042786317088245,95.42041912085907,19.799407157131363,0.5295480266162
leg_tot,0.027120782608134407,0.16417212857024935,42.244384581487736,10.086348683044319,0.18920703276675388,0.07329941245441732,0.4437084555952685,114.17401238239928,27.26040184606573,0.5113703588290646
oil,0.001113316306586376,0.009258111453595272,0.7731459635041915,0.28503932461132964,0.008621165440278761,0.11133163065863759,0.9258111453595272,77.31459635041915,28.503932461132962,0.8621165440278762
pf_egg,0.18770327999999997,1.1500889999999997,51.62641256784989,22.49792702440575,1.0868989962808178,0.37540655999999994,2.3001779999999994,103.25282513569978,44.9958540488115,2.1737979925616355
pf_ns,0.02449956542226303,0.13944155230378966,313.7407111665068,54.02746466678353,0.20361261075252848,0.16333043614842022,0.929610348691931,2091.6047411100453,360.1830977785569,1.3574174050168566
pf_pm,NA,NA,NA,NA,0.58094304508186,NA,NA,NA,NA,1.8740098228447097
pf_poultry,0.11467026178364745,0.7926835688624165,54.46911079809839,25.37131166331324,0.9143497957788582,0.3954146958056809,2.7333916167669536,187.82451999344275,87.48728159763186,3.152930330271925
pf_redm,0.7147753527667732,1.6469422013390256,211.65055215257283,37.3813915615501,1.3185923936639783,2.3057269444089457,5.312716778512986,682.7437166212027,120.58513406951646,4.253523850528962
pf_seafood,0.2356671354232861,4.078069489427215,9.245095324542532,1.3310802355905764,1.4929972088910006,0.8126452945630556,14.062308584231777,31.879639050146668,4.589931846864057,5.148266237555175
sat_fat,0.014086276115252743,0.051633328900964205,4.193978356086332,0.9252629153937953,0.006373727973833591,1.4086276115252743,5.16333289009642,419.3978356086332,92.52629153937953,0.6373727973833591
ssb,NA,NA,NA,NA,0.1502564491311749,NA,NA,NA,NA,0.0626068538046562
veg_dg,0.07821546560306239,0.6803178307640428,496.0724378093603,38.77250069897538,0.8762843494556919,0.06628429288395118,0.576540534545799,420.4003710248816,32.85805143980964,0.7426138554709254
veg_oth,0.07014410538553914,0.41554970678886327,195.6835013964451,21.484519355889255,0.9843054532411505,0.05010293241824224,0.29682121913490234,139.77392956888937,15.346085254206612,0.703075323743679
veg_ro,0.08285428868119238,0.6881503057041176,93.97794957004287,12.143548142024132,0.6558461258456185,0.05753770047305026,0.4778821567389706,65.26246497919644,8.433019543072314,0.4554486985039018
veg_sta,0.056514655615999505,0.5059114844851043,87.10986266143092,19.523071339907172,0.5428260041411589,0.042175116131342914,0.37754588394410765,65.0073601950977,14.569456223811322,0.4050940329411633
