food_group,costperDGA,costperDGA_se
added_sugar,0.03363670419072764,0.0019495597732714484
dairy,0.3013115485743994,0.017866212936301577
gr_refined,0.1251363634560577,0.005237603694018322
gr_whole,0.15201172517691935,0.012021024465855673
oil,0.012791147454032604,9.73406163675107e-4
pf_egg,0.1683485669886463,0.019027756870460252
pf_ns,0.11300874365418952,0.010583952774545694
pf_pm,0.33943556269774083,0.011181028353961207
pf_poultry,0.2738857707323781,0.008549387932566828
pf_redm,0.46101959795550934,0.010138747366416607
pf_seafood,0.5967359291658241,0.01409359824417966
veg_dg,0.7435568193934629,0.052536351683644136
veg_oth,0.6160098953686602,0.03461455283179154
veg_ro,0.6244762907790599,0.05045254738874445
veg_sta,0.3372997859740074,0.030537366690795206
leg_tot,0.14564230164372935,0.01749848462127408
fruit_exc_juice,0.48487755679278227,0.02287916061619188
fruit_juice,0.29907417235598327,0.04776025214060332
solid_fats,0.01702147267317024,9.689522405268895e-4
