subgroup,food,cost_mean,cost_se
1,added_sugar,0.14318721203422843,0.0275935894026902
2,added_sugar,0.18965896395323353,0.023202262141361597
3,added_sugar,0.10977364386626455,0.014127070518224497
4,added_sugar,0.1489456404215612,0.016131953465316567
5,added_sugar,0.15633000418673887,0.01305408737825725
6,added_sugar,0.1419404665521793,0.016145252068370797
7,added_sugar,0.09894986637252368,0.011449266354133406
8,added_sugar,0.11809064564777363,0.01798146368855524
9,added_sugar,0.2516209479280626,0.06814053761818877
10,added_sugar,0.18854155636947584,0.049263285828263524
11,added_sugar,0.14442931401873602,0.04549623041848744
12,added_sugar,0.14608674173428413,0.02859289299435121
13,added_sugar,0.14664583861852448,0.014527667361188656
14,added_sugar,0.17394925799447897,0.02705953078963098
15,added_sugar,0.11956908884923499,0.017244419904308167
16,added_sugar,0.1295378238038216,0.019980595043766074
17,added_sugar,0.22385607807863306,0.029090909411078985
18,added_sugar,0.1305283449886583,0.015180900040535772
19,added_sugar,0.11840037738383963,0.014904528548385674
20,added_sugar,0.15045275971818758,0.042842671914953855
21,added_sugar,0.13309259803472717,0.015409360966163686
22,added_sugar,0.20032460077949013,0.027670612175553454
23,added_sugar,0.1219621233502966,0.01607389964807924
24,added_sugar,0.09121050913929842,0.01857327083447781
25,added_sugar,0.16162810531591032,0.0270764061275595
26,added_sugar,0.1335593682368435,0.0158078634153634
27,added_sugar,0.11089012697578272,0.014766740159938813
28,added_sugar,0.12966390082752471,0.02375532114944449
29,added_sugar,0.20355745636566855,0.026883989809962643
30,added_sugar,0.15478992510873393,0.01743567600778564
31,added_sugar,0.11733937399855447,0.016845229668987757
32,added_sugar,0.14911715833364161,0.049935386827349625
33,added_sugar,0.1523157658915643,0.01859557716977476
34,added_sugar,0.14570786407183006,0.02424082745499175
35,added_sugar,0.11208471570719063,0.02762789978381369
36,added_sugar,0.0753589007660419,0.0116807928269553
37,added_sugar,0.2016042341305746,0.029338658967351425
38,added_sugar,0.08626514822275261,0.011811577712928513
39,added_sugar,0.08821927506763097,0.014276262614383643
40,added_sugar,0.10259009868706995,0.025892722155877238
41,added_sugar,0.16483531674758056,0.022117282432170357
42,added_sugar,0.11719809315128535,0.032920884539520086
43,added_sugar,0.11683032596922609,0.03894089109854491
44,added_sugar,0.11383296225283697,0.03913425174380182
45,added_sugar,0.1581754616373816,0.015612854834445388
46,added_sugar,0.10658279513296395,0.01776460962533413
47,added_sugar,0.08991050990728248,0.015399833280552812
48,added_sugar,0.08582519446143305,0.02106145689413953
1,dairy,0.8629873839418822,0.06763386853562696
2,dairy,0.5871896965931164,0.07619392033102831
3,dairy,0.5682713702354644,0.057171137927804185
4,dairy,0.5582558575864339,0.06983348859386286
5,dairy,0.591866494565671,0.036147842262880134
6,dairy,0.47426128833872977,0.04112889442180187
7,dairy,0.5002634771592177,0.05204149043110988
8,dairy,0.5109462483105601,0.05388180584366318
9,dairy,0.7311750508917437,0.09331492565990417
10,dairy,0.4780970744849867,0.06278183845797113
11,dairy,0.5630487051682905,0.07582315746640092
12,dairy,0.49739491825325916,0.05377555893049446
13,dairy,0.6522451445390901,0.049224583121833775
14,dairy,0.42185102876673186,0.03372638478722805
15,dairy,0.5430736392532527,0.04606660794906682
16,dairy,0.4706144460078415,0.043595908691738766
17,dairy,0.8914091671328386,0.06700170000265704
18,dairy,0.46265524848121936,0.05268363442044605
19,dairy,0.5243774286109822,0.09923250342563252
20,dairy,0.7145500070666413,0.14743433781507387
21,dairy,0.6774286891592232,0.047173153759494435
22,dairy,0.4731082522377405,0.05283610686590298
23,dairy,0.5566454891465414,0.0576311679446813
24,dairy,0.708596228421674,0.15815126928588696
25,dairy,0.7297851590430283,0.05843195778621189
26,dairy,0.44566315908264137,0.04649745405475705
27,dairy,0.5631018923444054,0.05421357996254736
28,dairy,0.5115373281878242,0.16848663233874292
29,dairy,0.8180216964642981,0.06279112539564824
30,dairy,0.43971431192989663,0.05128697476818365
31,dairy,0.4998061038398788,0.05104344201082832
32,dairy,0.42935028455844754,0.028992756879900872
33,dairy,0.7311400617288429,0.04453935835150843
34,dairy,0.47599273120938385,0.056638362550447095
35,dairy,0.46241894358633834,0.0343926113512877
36,dairy,0.6156613722554835,0.11649068361759841
37,dairy,0.6681490760184793,0.06492923668218276
38,dairy,0.4393084563842047,0.03637053179362005
39,dairy,0.4607238785043922,0.0653486018303969
40,dairy,0.5800298456930698,0.09720821395372295
41,dairy,0.7837777164804539,0.03812956031794516
42,dairy,0.4536064398770615,0.08556134453408602
43,dairy,0.44026086208874154,0.1152016011813113
44,dairy,0.3771823612911503,0.09108884198487029
45,dairy,0.6552156038751608,0.03150789702443529
46,dairy,0.3085350927534118,0.04154509141076248
47,dairy,0.4642851017169312,0.06161646580179621
48,dairy,0.6308516662776436,0.12939507699899377
1,fruit_exc_juice,0.36008784460755944,0.03670159336862582
2,fruit_exc_juice,0.3104270116726733,0.04057682960350736
3,fruit_exc_juice,0.4725971837802125,0.06061697177392294
4,fruit_exc_juice,0.596917466842275,0.08609564191658994
5,fruit_exc_juice,0.5282760476394923,0.05687228875294151
6,fruit_exc_juice,0.3519360094222238,0.05372410872630787
7,fruit_exc_juice,0.516816284125824,0.04584068433993362
8,fruit_exc_juice,0.48265067080687873,0.05890660857098225
9,fruit_exc_juice,0.48259551891101277,0.09979448205423676
10,fruit_exc_juice,0.44335387469310833,0.11023195789523324
11,fruit_exc_juice,0.49237370681244796,0.04933304977063958
12,fruit_exc_juice,0.580772840640002,0.06495279907491211
13,fruit_exc_juice,0.45668285111073414,0.05471449411590462
14,fruit_exc_juice,0.3492965886341852,0.029184447830440864
15,fruit_exc_juice,0.5418393392579676,0.045418905718861036
16,fruit_exc_juice,0.546523266085656,0.08597122297733602
17,fruit_exc_juice,0.44414122919672766,0.04007597482355179
18,fruit_exc_juice,0.3366018343180136,0.0491610447780986
19,fruit_exc_juice,0.6020989485355043,0.07065588247000414
20,fruit_exc_juice,0.6897691929053412,0.16128835760331595
21,fruit_exc_juice,0.43989500691614447,0.05258710284870701
22,fruit_exc_juice,0.48181559967604576,0.06407189024525857
23,fruit_exc_juice,0.588756428247656,0.0438421545332081
24,fruit_exc_juice,0.6938727792186337,0.08546016849350117
25,fruit_exc_juice,0.4266135617431622,0.050468785067678754
26,fruit_exc_juice,0.38277413942625266,0.07402832491725601
27,fruit_exc_juice,0.5822488601528392,0.06358071206369366
28,fruit_exc_juice,0.6915581616649507,0.065196091052051
29,fruit_exc_juice,0.5246816268353498,0.05839483155946171
30,fruit_exc_juice,0.4738512508268716,0.053208948271554556
31,fruit_exc_juice,0.5401530802432826,0.047884838515191513
32,fruit_exc_juice,0.67224536673073,0.08430136748311587
33,fruit_exc_juice,0.5954075557678846,0.054938358779353734
34,fruit_exc_juice,0.4180965216167839,0.05073828386975373
35,fruit_exc_juice,0.6172338043558679,0.08257068337633677
36,fruit_exc_juice,0.6712856428298964,0.08440918105050339
37,fruit_exc_juice,0.6243534506383907,0.044012537622502734
38,fruit_exc_juice,0.3228803610050072,0.05807990160994043
39,fruit_exc_juice,0.5103747658686297,0.048657268007540014
40,fruit_exc_juice,0.8439085185465539,0.10354050237310973
41,fruit_exc_juice,0.5916803690702566,0.05584231422680397
42,fruit_exc_juice,0.4320693413873217,0.062254140425691794
43,fruit_exc_juice,0.4521371616719067,0.0853786443894466
44,fruit_exc_juice,0.4273181575745509,0.07968846089487128
45,fruit_exc_juice,0.6189010261233363,0.029210676765738974
46,fruit_exc_juice,0.44373334321269425,0.0495431882166716
47,fruit_exc_juice,0.44208149308006733,0.07952853693999927
48,fruit_exc_juice,0.5527198781324897,0.10974530023532797
1,fruit_juice,0.16714062409151473,0.044393655922631815
2,fruit_juice,0.22231083480253125,0.04052973982312616
3,fruit_juice,0.24734419139196548,0.0397028823032821
4,fruit_juice,0.16280878762332213,0.025700700048509384
5,fruit_juice,0.08735136337087597,0.021007405131494492
6,fruit_juice,0.22299990137696696,0.030993073155558867
7,fruit_juice,0.1905564025592277,0.02701846486789304
