subgroup,food,cost_mean,cost_se,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,intake_mean,intake_se,ghg_impact_per_fpe,ced_impact_per_fpe,cost_impact_per_fpe,race,Race_label,age,Age_label,sex,Sex_label
1,dairy,1.122817316983592,0.08779361371182254,0.6862147721609031,0.03115427858645721,3.6996755967643957,0.16781809078900528,1.6058445820464688,0.07551856615317179,0.4273232788732265,2.303881482758172,0.6992067162269758,1,NHW,1,20-34,1,Female
1,fruit_exc_juice,0.3748913755797525,0.03855539837462802,0.07114522351695207,0.012352603184286529,0.6760453596922077,0.07648717666283271,0.5160736800952037,0.0731197420294234,0.13785865519014148,1.3099783727926075,0.7264299460313374,1,NHW,1,20-34,1,Female
1,gr_refined,3.7004948914524327,0.215073227598585,0.08676845167723422,0.0055477943040791716,0.502053478386121,0.02427590710943074,5.552205817999739,0.12603208366376598,0.015627744093336546,0.09042414759887142,0.6664909430150752,1,NHW,1,20-34,1,Female
1,pf_poultry,5.690359132517691,0.8152566989966726,0.45470777097790577,0.030190677776837517,3.1349709297508483,0.2026153383407713,1.9543593734488895,0.17192694539882938,0.23266333569730097,1.6040913315847916,2.911623731962777,1,NHW,1,20-34,1,Female
1,pf_redm,5.2991753485723505,0.5513152769190386,2.5784325462229796,0.15979534519030847,5.980369290687037,0.3451026071890419,1.408155599608929,0.12162970324460712,1.8310707615969841,4.246952035945386,3.7632029798724163,1,NHW,1,20-34,1,Female
1,sat_fat,0.016833724249675355,0.004584078986942102,0.907090143356534,0.04410877938158887,3.134963982746097,0.11367462559773091,26.21343162324977,0.43648254172239526,0.03460402119011379,0.11959380319994305,6.421793411719827e-4,1,NHW,1,20-34,1,Female
1,ssb,0.32303236576174676,0.02591488174640624,NA,NA,NA,NA,270.0145328492734,21.282135234270527,NA,NA,0.0011963517754137655,1,NHW,1,20-34,1,Female
1,veg_dg,0.18111326008686937,0.06758047354997683,0.020910340251346554,0.003833789983875307,0.18359221502180437,0.03466850050984842,0.1295710558579535,0.02785471494609297,0.16138125998039404,1.4169230450902037,1.3977910335578394,1,NHW,1,20-34,1,Female
1,veg_oth,0.45982744289275035,0.06215469862408319,0.047017525689341276,0.005454197785874193,0.28725010087639347,0.024211967007657667,0.4465944980435949,0.03130851936186196,0.10528012748771391,0.643201163773301,1.0296307834223781,1,NHW,1,20-34,1,Female
1,veg_ro,0.2035308199853783,0.022141380873424037,0.07814883088327551,0.00811772693673646,0.6806750537924237,0.06977266265088604,0.356205241563013,0.02412969111149808,0.21939270332003502,1.9109068996448546,0.5713863700946511,1,NHW,1,20-34,1,Female
