subgroup,food,food_type,GHGper100gram_consumed,GHGperDGA_consumed,GHGper100gram_inedible,GHGperDGA_inedible,GHGper100gram_wasted,GHGperDGA_wasted,CEDper100gram_consumed,CEDperDGA_consumed,CEDper100gram_inedible,CEDperDGA_inedible,CEDper100gram_wasted,CEDperDGA_wasted,costper100gram_consumed,costper100gram_wasted,costper100gram_inedible,costperDGA_consumed,costperDGA_wasted,costperDGA_inedible
1,added_sugar,Grocery,0.07276773594992145,0.003056244909896701,0,0,0.07017339875156092,0.002947282747565559,0.7451319166233018,0.031295540498178676,0,0,0.7327998817147576,0.030777595032019822,0.6769472581229297,0.6704232810803538,0.8685684133291731,0.028431784841163047,0.02815777780537486,0.03647987335982527
1,added_sugar,Non-Grocery,0.07276773594992145,0.003056244909896701,0,0,0.07017339875156092,0.002947282747565559,0.7451319166233018,0.031295540498178676,0,0,0.7327998817147576,0.030777595032019822,1.7547185452351788,1.6055857500373902,1.3360773323580395,0.07369817889987751,0.0674346015015704,0.05611524795903766
1,added_sugar,Total,0.07276773594992145,0.003056244909896701,0,0,0.07017339875156092,0.002947282747565559,0.7451319166233018,0.031295540498178676,0,0,0.7327998817147576,0.030777595032019822,1.1519848522125826,1.0747259443531398,1.1415844473085106,0.04838336379292847,0.04513848966283188,0.04794654678695745
1,dairy,Grocery,0.19568813209654456,0.2915753168238514,0,0,0.4110817638438271,0.6125118281273024,1.055527887859682,1.5727365529109263,0,0,2.2156063865948834,3.3012535160263763,0.31783841921534334,0.33563319140111303,0.4465878504594268,0.4735792446308616,0.5000934551876585,0.6654158971845459
1,dairy,Non-Grocery,0.19568813209654456,0.2915753168238514,0,0,0.4110817638438271,0.6125118281273024,1.055527887859682,1.5727365529109263,0,0,2.2156063865948834,3.3012535160263763,1.0068794148063673,1.0087035682262104,1.1300740951381394,1.5002503280614874,1.5029683166570535,1.6838104017558277
1,dairy,Total,0.19568813209654456,0.2915753168238514,0,0,0.4110817638438271,0.6125118281273024,1.055527887859682,1.5727365529109263,0,0,2.2156063865948834,3.3012535160263763,0.43934237775954665,0.4535123486563824,0.5076800165551786,0.6546201428617245,0.6757333994980098,0.756443224667216
1,fruit_exc_juice,Grocery,0.04617422753616854,0.07018482585497618,0.059043349331660104,0.08974589098412336,0.047073061509678375,0.07155105349471114,0.42048944915162484,0.6391439627104698,0.4038495549408219,0.6138513235100493,0.4498238461181215,0.6837322460995446,0.3788884234636376,0.38593843141709766,0.29527746199093213,0.5759104036647291,0.5866264157539884,0.44882174222621685
1,fruit_exc_juice,Non-Grocery,0.04617422753616854,0.07018482585497618,0.059043349331660104,0.08974589098412336,0.047073061509678375,0.07155105349471114,0.42048944915162484,0.6391439627104698,0.4038495549408219,0.6138513235100493,0.4498238461181215,0.6837322460995446,0.5431811926385157,0.5408888590328498,0.45159703839294413,0.8256354128105439,0.8221510657299317,0.6864274983572751
1,fruit_exc_juice,Total,0.04617422753616854,0.07018482585497618,0.059043349331660104,0.08974589098412336,0.047073061509678375,0.07155105349471114,0.42048944915162484,0.6391439627104698,0.4038495549408219,0.6138513235100493,0.4498238461181215,0.6837322460995446,0.40382390378920324,0.4151734031514645,0.32606754641128066,0.613812333759589,0.6310635727902261,0.49562267054514664
1,fruit_juice,Grocery,0.0928439496899205,0.23303831372170045,0,0,0.1071069742305372,0.26883850531864834,0.7369894160416129,1.8498434342644483,0,0,0.8317666286162154,2.0877342378267003,0.22042864135883108,0.26116336433003445,0.4529617483455255,0.553275889810666,0.6555200444683864,1.1369339883472689
1,fruit_juice,Non-Grocery,0.0928439496899205,0.23303831372170045,0,0,0.1071069742305372,0.26883850531864834,0.7369894160416129,1.8498434342644483,0,0,0.8317666286162154,2.0877342378267003,0.18053150071166332,0.22021289938381214,0.398278639139832,0.4531340667862749,0.5527343774533684,0.9996793842409784
1,fruit_juice,Total,0.0928439496899205,0.23303831372170045,0,0,0.1071069742305372,0.26883850531864834,0.7369894160416129,1.8498434342644483,0,0,0.8317666286162154,2.0877342378267003,0.21315230765458115,0.2550186300837412,0.44466159545772455,0.5350122922129986,0.6400967615101903,1.1161006045988886
1,gr_refined,Grocery,0.05719024508197511,0.020588488229511037,0,0,0.07080745703086014,0.02549068453110965,0.31966803870463933,0.11508049393367016,0,0,0.35682754838436254,0.1284579174183705,0.5355621955701813,0.5897177056353772,0.6084268400608049,0.19280239040526526,0.21229837402873578,0.21903366242188976
1,gr_refined,Non-Grocery,0.05719024508197511,0.020588488229511037,0,0,0.07080745703086014,0.02549068453110965,0.31966803870463933,0.11508049393367016,0,0,0.35682754838436254,0.1284579174183705,1.6395148426119845,1.7267959039707625,1.7147238800505078,0.5902253433403144,0.6216465254294745,0.6173005968181828
1,gr_refined,Total,0.05719024508197511,0.020588488229511037,0,0,0.07080745703086014,0.02549068453110965,0.31966803870463933,0.11508049393367016,0,0,0.35682754838436254,0.1284579174183705,1.008315700664228,1.0876636625647782,1.150451541999713,0.36299365223912206,0.39155891852332014,0.4141625551198967
1,gr_whole,Grocery,0.04781034219514065,0.024383274519521735,0.03770012073732656,0.019227061576036545,0.05646733104544225,0.02879833883317555,0.3111645026287219,0.15869389634064818,0.24744341325761451,0.1261961407613834,0.33464705243047366,0.17066999673954156,0.5535418155108492,0.6889334672793349,0.540729467235469,0.2823063259105331,0.3513560683124608,0.2757720282900892
