subgroup,food,food_type,mixed_dish,wasted_coef_fndds,wasted_prop_fndds,inedible_coef_fndds,inedible_prop_fndds,costperDGA
0,added_sugar,Grocery,Non-Mixed,0.43166561083479366,0.2984434014273148,0.014724588346490253,0.010180232384611687,0.029720659092624453
0,added_sugar,Non-Grocery,Non-Mixed,0.41612607432244425,0.2920311159020772,0.00881137810292712,0.006183694651248982,0.0667085284281755
0,added_sugar,Total,Non-Mixed,0.42693534471517564,0.2965117181594838,0.012924595273912074,0.008976286453257409,0.04097984079445765
0,dairy_tot,Grocery,Non-Mixed,0.2927233663843992,0.22478197548903495,0.009531254999504878,0.007319041025460924,0.443401473463493
0,dairy_tot,Non-Grocery,Non-Mixed,0.2763229948769698,0.21522704807385337,0.007544424900826489,0.005876327091571675,0
0,dairy_tot,Total,Non-Mixed,0.29021617670400235,0.2233387851632242,0.00922752042142829,0.007101131385562131,0.36277195298962356
0,fruit_exc_juice,Grocery,Mixed,0.32174137271865183,0.21436556217310648,0.17915909588757073,0.11936773932380927,0.5638349897705632
0,fruit_exc_juice,Grocery,Non-Mixed,0.7907235578505489,0.30236595550186807,0.8243974353118698,0.3152425595096236,0.6534640190739144
0,fruit_exc_juice,Non-Grocery,Mixed,0.32754710170638834,0.21739627712335027,0.17913510113804548,0.11889375264396174,0.6614904254631718
0,fruit_exc_juice,Non-Grocery,Non-Mixed,1.025613592151081,0.32476343322195966,1.1324192626442589,0.35858374966705236,0.8121587064527311
0,fruit_exc_juice,Total,Mixed,0.3223999498373468,0.21471052714688305,0.17915637402558932,0.11931378875265083,0.574912605621939
0,fruit_exc_juice,Total,Non-Mixed,0.8227527305726672,0.30595254460408766,0.8663987247202951,0.3221829410221551,0.6751033345402973
0,fruit_juice,Grocery,Mixed,0.5139087377560501,0.319161743006761,0.09627402699080001,0.05979074493815988,0.5852408084347303
0,fruit_juice,Grocery,Non-Mixed,0.14138249391518912,0.12227346229797885,0.01489860958903478,0.012884937359853993,0.5159789050289184
0,fruit_juice,Non-Grocery,Mixed,0.51390873775605,0.319161743006761,0.09627402699080002,0.0597907449381599,0.5072267826581314
0,fruit_juice,Non-Grocery,Non-Mixed,0.1405369145794626,0.12119561314797371,0.01905055669207729,0.016428736222190723,0.45389236795989824
0,fruit_juice,Total,Mixed,0.51390873775605,0.319161743006761,0.09627402699080001,0.0597907449381599,0.5844574225741627
0,fruit_juice,Total,Non-Mixed,0.14122202622850474,0.12206844255072152,0.015686534883222185,0.013559010115845517,0.5041965889803017
0,gr_refined,Grocery,Mixed,0.24052169883420652,0.18686915517392633,0.04659119366184881,0.036198218457353847,0.18104685189548905
0,gr_refined,Grocery,Non-Mixed,0.35660274102040934,0.25127372901093226,0.06257761827968468,0.04409419695643651,0.20984311342952167
0,gr_refined,Non-Grocery,Mixed,0.27075518391564535,0.20511513827258301,0.049260423883285304,0.03731806168975907,0.5797250349710584
0,gr_refined,Non-Grocery,Non-Mixed,0.29313007236431005,0.22098903034120523,0.03331618567718478,0.025116875617996248,0.5295534254895601
0,gr_refined,Total,Mixed,0.2538455923290181,0.19502384334923045,0.047767523121974,0.03669871066520652,0.3567442825984099
0,gr_refined,Total,Non-Mixed,0.3385730275372044,0.24308127282443684,0.05426576914679828,0.0389605525607065,0.3006583484923478
0,gr_whole,Grocery,Mixed,0.288210286146476,0.20609474733082186,0.11022557832435799,0.07882061746611968,0.18902548257534896
0,gr_whole,Grocery,Non-Mixed,0.1743248450379875,0.14348391386554596,0.04061863079541873,0.03343252719436667,0.23529196852149759
0,gr_whole,Non-Grocery,Mixed,0.5273805943681864,0.23542089644791994,0.7127799110305096,0.3181825183118527,0.7321344296659742
0,gr_whole,Non-Grocery,Non-Mixed,0.1724440267029603,0.14414577771248438,0.023872850832780578,0.019955290509614462,0.5646117093859555
0,gr_whole,Total,Mixed,0.32612524977175755,0.2128932782987922,0.2057467396954072,0.13431066114536935,0.27512294227514306
0,gr_whole,Total,Non-Mixed,0.17411924952369814,0.14355527373372332,0.03878812054385559,0.03197945820190313,0.27129048056688915
0,leg_tot,Grocery,Mixed,0.13786388011481768,0.11784367276940352,0.03202396260873422,0.02737353226458101,0.2197505780695734
0,leg_tot,Grocery,Non-Mixed,0.1138150197819496,0.10109902504068673,0.011962600092677153,0.010626077372198409,0.16586610292357792
0,leg_tot,Non-Grocery,Mixed,0.16749626787328123,0.13852697180140405,0.04162759945133139,0.03442790319195284,0.413743459380044
0,leg_tot,Non-Grocery,Non-Mixed,0.15525975310914006,0.13186613678160694,0.0221445213959742,0.018807916597111025,0.24982933551495434
0,leg_tot,Total,Mixed,0.1431006258826727,0.12159923316101771,0.03372115302759012,0.02865442638121119,0.25403372151644094
0,leg_tot,Total,Non-Mixed,0.1258613386177706,0.11032886440722824,0.01492207553223282,0.013080550915399872,0.19027084121196114
0,oil,Grocery,Non-Mixed,0.2053116230245711,0.17033903855450142,0,0,0.010353189800809298
0,oil,Non-Grocery,Non-Mixed,0.18003137788049423,0.15256490738734121,0,0,0.0028223989856375645
0,oil,Total,Non-Mixed,0.19899446306983343,0.16596779151118007,0,0,0.008471356381315914
0,pf_egg,Grocery,Mixed,0.3556402889367079,0.238891713266285,0.13306890098938637,0.08938542321754087,0.23923701268439798
0,pf_egg,Grocery,Non-Mixed,0.373929975599349,0.2387619326819261,0.19219060065470178,0.12271762696228396,0.21977808477332625
0,pf_egg,Non-Grocery,Mixed,0.3194638768609393,0.22457693076558663,0.1030503403023349,0.07244239745303505,4.3994377242126275
0,pf_egg,Non-Grocery,Non-Mixed,0.3798821261152704,0.24130337857078346,0.1944104858045271,0.12349069311038051,3.925556872388248
0,pf_egg,Total,Mixed,0.3431581555321481,0.2340986919612994,0.12271144270071253,0.0837123867284266,1.6746524475340565
0,pf_egg,Total,Non-Mixed,0.37542664930658604,0.23940347439658782,0.1927487928119636,0.12291277342767642,1.1515995602928313
0,pf_ns,Grocery,Mixed,0.24334116188401708,0.19571551987813685,0,0,0.06315735833680113
0,pf_ns,Grocery,Non-Mixed,0.16521942247882368,0.14041272972585495,0.011450405117305931,0.00973119633797228,0.18199272545043774
0,pf_ns,Non-Grocery,Mixed,0.2497396647598635,0.19983335073857225,0,0,0.12682546008981602
