food,GHGperDGA,CEDperDGA,WATERperDGA,BLUEWATERperDGA,FLperDGA,GHGper100g,CEDper100g,WATERper100g,BLUEWATERper100g,FLper100g
added_sugar,0.002609974,0.025457539,1.851425902,0.501173246,0.001165482,0.062142233,0.606131893,44.0815691,11.93269634,0.027749563
dairy_cow,0.257407728,1.386645046,72.06255775,17.19632331,0.031511916,0.172756864,0.930634259,48.36413272,11.54115658,0.021148937
dairy_soy,0.038490177,0.250751684,3.355509574,1.924517768,0.042070588,0.025832333,0.16828972,2.252019848,1.291622663,0.028235294
fruit_exc_juice,0.048211417,0.365684056,169.8204939,22.96345534,0.022499305,0.031718037,0.240581616,111.7240092,15.10753641,0.014802175
fruit_juice,0.236258102,1.85807229,616.6031817,74.32920774,0.117133036,0.094126734,0.740267845,245.6586381,29.61323018,0.046666548
gr_refined,0.02074275,0.118546923,32.27369467,10.26572142,0.002689113,0.057618751,0.329297008,89.64915187,28.51589285,0.007469759
gr_whole,0.022175541,0.140803721,42.40070268,8.734047218,0.002606339,0.043481453,0.276085728,83.1386327,17.12558278,0.005110469
leg_tot,0.025775703,0.155587566,39.99312284,9.556520758,0.006419377,0.069664063,0.420506935,108.0895212,25.82843448,0.017349667
oil,0.001113899,0.009259864,0.774771267,0.285214566,3.54E-04,0.111389875,0.925986443,77.47712672,28.52145656,0.035406304
pf_egg,0.15845082,0.970854346,43.58073768,18.99175649,0.014025483,0.31690164,1.941708692,87.16147537,37.98351299,0.028050965
pf_ns,0.023887414,0.135598868,304.1161203,52.49319078,0.034543603,0.159249424,0.903992453,2027.440802,349.9546052,0.230290689
pf_poultry_tot,0.114704786,0.792682699,54.46951848,25.3714347,0.011861252,0.395533744,2.733388617,187.8259258,87.48770587,0.040900871
pf_redm_tot,0.716701732,1.649403522,212.1999271,37.44031338,0.055146527,2.311941071,5.320656523,684.5158939,120.7752044,0.177892024
pf_seafood,0.224862979,4.026652271,8.607025032,1.239104307,0.046014029,0.775389583,13.88500783,29.67939666,4.272773472,0.158669066
sat_fat,0.014116782,0.051638998,4.202827553,0.926179159,0.001350919,1.411678248,5.16389985,420.2827553,92.61791592,0.135091949
ssb,0.057267894,0.528175854,71.8453942,11.10565969,0.017095202,0.023861623,0.220073273,29.93558092,4.627358205,0.007123001
veg_dg,0.044859075,0.390494036,284.2306995,22.22198292,0.018572896,0.038016165,0.330927149,240.8734742,18.83218891,0.015739742
veg_oth,0.052044485,0.309702059,146.137869,15.9988341,0.020761191,0.037174632,0.221215757,104.3841921,11.42773864,0.014829422
veg_ro,0.065477148,0.543900745,74.41836126,9.615116925,0.022762849,0.045470242,0.377708851,51.67941754,6.677164531,0.015807534
veg_sta,0.017487543,0.156832731,27.02833509,6.048266744,0.002528437,0.013050406,0.117039352,20.17039932,4.513631898,0.001886893
