diet_pattern,age_gp,BLUEWATER,CED,GHG,WATER,Food_price
Med,20-34,102.614766634278,13.042554750594,0.737251867900254,1007.95032062348,6.04295140178552
Med,35-44,113.792017594645,12.4691754294058,0.659624618634526,1028.97385528936,5.45310234405851
Med,45-54,104.355027344061,13.4228554433501,0.67557987244853,970.766194991792,6.43765404761989
Med,55-64,101.169534700429,10.3006971018349,0.371006445806305,952.33768489577,4.92686502423152
Med,65-74,95.4692403687588,9.34701041747114,0.342884542918629,856.980054446683,4.46789887238701
Med,75+,115.270386661443,11.6553333371085,0.689442125214583,957.664793423669,5.67718536660011
US,20-34,88.6540336036072,7.29521261677901,0.56397533876445,820.135995748253,3.84395315572377
US,35-44,93.1481874475849,6.83618547712125,0.493076116165473,796.650028919513,3.50553473455252
US,45-54,85.9133218994142,7.06093685469616,0.455991698477601,750.95601563762,3.91182145210191
US,55-64,80.4377115315625,5.29252421637015,0.265977319567587,711.933671803574,2.80148248888868
US,65-74,72.0711061910822,5.00695953481381,0.289059328377671,608.780861884815,2.50824067820093
US,75+,92.3255635961862,6.41616396055982,0.574309457680844,716.903099535018,3.35267303905159
Veg,20-34,37.3243352585039,-4.03499494977529,-1.1957078714901,631.053959753417,-2.69057040031166
Veg,35-44,43.7545069188227,-4.31345818385478,-1.24563875556508,614.419880175934,-2.25216182157786
Veg,45-54,37.1877724291565,-4.76078074517963,-1.33601316187518,569.765436351063,-2.40485418330852
Veg,55-64,30.3195732599422,-4.86317761211281,-1.34431667752441,533.493758069613,-2.67566531276794
Veg,65-74,22.5333113687977,-4.25485077810874,-1.21405040927738,428.57458508576,-2.32542052452412
Veg,75+,38.8448993763614,-3.77813687703958,-0.964132118220666,520.314958407046,-2.20399275870931
Vegan,20-34,-33.4417392051964,-10.2072770877557,-2.32896646284881,373.556501008698,-6.85866232539736
Vegan,35-44,-27.6107140460237,-10.5427149366385,-2.3923021850886,351.876225407788,-6.35423146964676
Vegan,45-54,-28.9359603958855,-10.644816137934,-2.41876074088398,330.234091451474,-6.21441005645623
Vegan,55-64,-33.2089857259366,-10.4820574230666,-2.370582321595,307.628284607205,-6.33220755684637
Vegan,65-74,-38.3833588729549,-9.68664109877101,-2.20512298327479,211.971555149671,-5.49552849158634
Vegan,75+,-20.8732903209953,-9.06000199252824,-1.92675522177032,308.202849004648,-5.16144571093211
