diet_pattern,sex_gp,food,BLUEWATER,CED,GHG,WATER,Food_price
Med,Female,added_sugar,-7.50222404460172,-0.405600535382921,-0.0408019846501395,-27.2204788394974,-0.558292133668584
Med,Male,added_sugar,-5.67212081431639,-0.318976572635311,-0.0317259584407766,-20.5488575124619,-0.431321771962527
US,Female,added_sugar,-7.52223157408375,-0.406578125457675,-0.0409067018513297,-27.2922919132977,-0.55894600077387
US,Male,added_sugar,-5.68155926605028,-0.319489820427807,-0.0317811749047797,-20.5813458891553,-0.431895325363707
Veg,Female,added_sugar,-7.2538480312877,-0.392292371713276,-0.0394668365523265,-26.3216600176781,-0.540313547547436
Veg,Male,added_sugar,-5.44232708121645,-0.306170779598789,-0.030445687704748,-19.7151066081479,-0.413157748841574
Vegan,Female,added_sugar,-7.26654667422038,-0.39314248153671,-0.0395492934929143,-26.3665025212706,-0.540103181740892
Vegan,Male,added_sugar,-5.44737798592415,-0.306503412460781,-0.0304694179190313,-19.7317984558914,-0.413509344591821
Med,Female,dairy,12.5591176942445,1.01745835659268,0.18847469170131,52.3975569170138,0.604919190287646
Med,Male,dairy,13.9875300489276,1.13131226076645,0.209721740214898,58.4468071491086,0.611703902908541
US,Female,dairy,33.615069806982,2.7227916051166,0.504411461209327,140.26467498237,1.60829347091849
US,Male,dairy,36.4988236218762,2.95184062985552,0.547225466397695,152.521679456882,1.5970098082662
Veg,Female,dairy,33.6276029619125,2.72388638429134,0.504608531097129,140.3136830695,1.60926684309681
Veg,Male,dairy,36.488952586561,2.95102619015967,0.54707563660387,152.48132215205,1.5962281819989
Vegan,Female,dairy,-29.6197090342692,-2.3985278736094,-0.444395108907642,-123.622817239209,-1.40167427472482
Vegan,Male,dairy,-31.0515263145834,-2.51106469036444,-0.46553108187605,-129.769851380338,-1.35700037153957
Med,Female,fruit_exc_juice,84.5931053297763,1.39844964711856,0.181723198793892,644.405770014374,2.22064171631464
Med,Male,fruit_exc_juice,88.3458008733691,1.40573744017218,0.185460875650998,637.058395357252,2.09829987999201
US,Female,fruit_exc_juice,57.6237082915603,0.95607126552824,0.124062513282331,439.148224064472,1.51964149105089
US,Male,fruit_exc_juice,60.5834214319543,0.966280698355221,0.127416524652043,436.749811771292,1.44049324539121
Veg,Female,fruit_exc_juice,57.4769409625746,0.953816630712332,0.123823174102708,438.107746509775,1.51620960698376
Veg,Male,fruit_exc_juice,60.6879279787565,0.966522646644881,0.127473922873804,437.354458928343,1.44235276357022
Vegan,Female,fruit_exc_juice,57.4959352817399,0.954090272476487,0.123861295018456,438.098846545706,1.51714884036225
Vegan,Male,fruit_exc_juice,60.6563953518161,0.965937281544755,0.127407681920638,437.164399753439,1.4414796344596
Med,Female,fruit_juice,37.831231240741,0.938741231902602,0.12062459156389,332.701966136213,0.255026625309661
Med,Male,fruit_juice,33.134341719191,0.812184272470679,0.101546900100849,271.450901395127,0.228474553938853
US,Female,fruit_juice,26.4308942660188,0.655005775585468,0.084075361685112,233.213252145807,0.178193773203445
US,Male,fruit_juice,22.0376457269607,0.538895322302858,0.0672473249183268,180.838850918603,0.15191742041634
Veg,Female,fruit_juice,26.4419699678913,0.654892868294478,0.0840046127707459,233.307544732468,0.178226691496604
Veg,Male,fruit_juice,22.0911430135235,0.540070460377517,0.0674169309970025,181.302831826075,0.152365168178902
Vegan,Female,fruit_juice,26.4572085307345,0.655361857227168,0.0841029037787864,233.341072747548,0.178266079015751
Vegan,Male,fruit_juice,22.0470669509254,0.538711321965941,0.0672882758484919,180.934917940099,0.152070237531512
Med,Female,gr_refined,-29.3904502626051,-0.351987057251661,-0.059192291659949,-92.0285438098857,-1.07208274109381
Med,Male,gr_refined,-30.7023360717546,-0.348876809901608,-0.0628947035738619,-96.8985303117129,-1.01354765361848
US,Female,gr_refined,-29.4222423682051,-0.352239927699478,-0.0592332668976191,-92.1279308729574,-1.07275117532985
US,Male,gr_refined,-30.6867292168561,-0.348696593275485,-0.0628723824535067,-96.8408681248585,-1.01420276945253
Veg,Female,gr_refined,-29.3853666982506,-0.35204325295814,-0.0591723565125741,-92.008561716875107,-1.07188298375904
Veg,Male,gr_refined,-30.6838477997028,-0.348695130447782,-0.0628640748837907,-96.8463230951973,-1.01513248098454
Vegan,Female,gr_refined,-29.386053388108,-0.352025185839733,-0.0591733085473138,-92.016607379468,-1.07145690009183
Vegan,Male,gr_refined,-30.6550672372334,-0.348454299822921,-0.0628038545894241,-96.7602525797882,-1.01413765226688
Med,Female,gr_whole,28.5251767552857,0.473264175646332,0.0760707703763563,116.262768436186,0.736962094448659
Med,Male,gr_whole,25.175307490864,0.406399852648443,0.0628302006625496,133.251041831912,0.749728939589553
US,Female,gr_whole,28.524891137233,0.473243517091163,0.0760566267915601,116.259082854673,0.737473031499855
US,Male,gr_whole,25.1509470402769,0.406127679138973,0.0627812509539408,133.183520677187,0.749323476467856
Veg,Female,gr_whole,35.2305816934157,0.58379466347226,0.0938797464492977,143.517852043825,0.908860920984601
Veg,Male,gr_whole,31.2173577565677,0.503827564720807,0.0779161954012934,164.947508619584,0.927441956552156
Vegan,Female,gr_whole,35.227783087295,0.583795281382575,0.0938840669549097,143.493142205263,0.909054016388959
Vegan,Male,gr_whole,31.1760620480298,0.503314779837956,0.0778492736015068,164.734060705383,0.926677584652474
Med,Female,leg_tot,4.20216774064602,0.0812488322254875,0.0139282566451929,16.3351630967379,0.091926034675419
Med,Male,leg_tot,3.28595045917291,0.0614882277032332,0.0104085420599437,13.1971024154112,0.0731788738231516
US,Female,leg_tot,4.18538782807503,0.0810280572973132,0.0138975362726097,16.2523946053999,0.0917298071041155
US,Male,leg_tot,3.26716906263243,0.0610731314664237,0.0103551622725025,13.1173649595102,0.0726140231378265
Veg,Female,leg_tot,26.7153344346691,0.475637432102725,0.0808587660252894,107.127526892106,0.533836746042682
Veg,Male,leg_tot,28.6436232550089,0.450742714988003,0.072343245237925,123.040977589961,0.5144606492479
Vegan,Female,leg_tot,29.8693215852903,0.530832560162725,0.0902626359445594,119.836097192115,0.595737008250002
Vegan,Male,leg_tot,32.1569814168816,0.50486568707626,0.0809762403151562,138.259600116766,0.575971006767398
Med,Female,oil,-0.932576832633826,-0.0303615338749033,-0.00367227771766436,-2.54093849751315,-0.0223779083334167
Med,Male,oil,0.421240090797203,0.0138788426157448,0.00165947086121082,1.11690807871604,0.00970135266832486
US,Female,oil,-0.935198404451187,-0.0304186100149166,-0.00368326383656623,-2.54663263972506,-0.0225536375091388
US,Male,oil,0.418445552600771,0.0137943068732405,0.00164743944686316,1.11136827449547,0.00978714275800842
Veg,Female,oil,-0.929496628479572,-0.0302310448691494,-0.00366381037587692,-2.53266753411232,-0.0224320080000548
Veg,Male,oil,0.423202353899703,0.0139291820504649,0.00166653073236331,1.12226059242036,0.00982055598030226
Vegan,Female,oil,-0.930481296149926,-0.0302708954427747,-0.00366782702677019,-2.53336784809371,-0.022348890267493
Vegan,Male,oil,0.420477921511338,0.0138591634407756,0.00165692240334361,1.11354289725524,0.00971611715863521
Med,Female,pf_egg,-4.79055533446363,-0.244892117752945,-0.0399682578899321,-10.9929766354848,-0.278327397207781
Med,Male,pf_egg,-3.28537223788903,-0.16794749434482,-0.0274103095989129,-7.53900492290798,-0.220274341453351
US,Female,pf_egg,-4.77464605168236,-0.244078838773741,-0.0398355245693354,-10.9564693076926,-0.278524831268018
US,Male,pf_egg,-3.26605252936125,-0.166959875163866,-0.027249122630203602,-7.49467162757531,-0.220796942684825
Veg,Female,pf_egg,-6.01013268106153,-0.307236639070392,-0.050143358374603,-13.7915635090916,-0.358649927914136
Veg,Male,pf_egg,-4.51231007333822,-0.230668282206883,-0.0376468196480425,-10.3544820475022,-0.312000912479116
