diet_pattern,race_gp,BLUEWATER,CED,GHG,WATER,Food_price
Med,HIS,75.6481815437418,11.1468871078698,0.32008676625181,821.605644219007,3.73234266559188
Med,NHB,126.461018120487,12.3589102532424,0.910833251827774,1121.11636038714,5.95531623156348
Med,NHW,113.298489229843,12.2863729185902,0.630426559541064,1018.38267001766,6.14335509268034
Med,OTH,72.7800531311627,10.3766742950836,0.414725389031287,754.005778544984,4.5501225234406
US,HIS,60.6989600933144,5.3910076543895,0.187170550769031,633.900058363171,1.92810958836533
US,NHB,110.231141039032,6.33135112143525,0.743612366979183,921.345261370044,4.18768794694911
US,NHW,93.895046268556,7.0656733315766,0.488280279159139,789.830648504053,3.80377353652055
US,OTH,48.4304446804787,4.42654553745814,0.243973240267722,506.528338180934,2.26945698572178
Veg,HIS,19.1572695982212,-5.88926924414499,-1.56342078753947,502.944593779179,-3.8215906544905
Veg,NHB,56.2314419492488,-5.13977457624457,-0.951105689708183,710.189364701011,-1.61790647229419
Veg,NHW,40.9962653538043,-3.44803507317169,-1.18776971985924,593.32603788121,-2.20508470236767
Veg,OTH,3.00134959008421,-6.62132151431265,-1.36506608081443,332.18701106512,-3.14220853387072
Vegan,HIS,-46.3770266570357,-11.7932161982343,-2.64428639569863,272.340025622497,-7.44532915235935
Vegan,NHB,-14.5835655993669,-11.3279713214317,-2.08109546558018,448.715139970577,-5.7571222734075
Vegan,NHW,-27.1058391302211,-9.39270095538764,-2.27560153796933,346.875150356344,-6.00908190259584
Vegan,OTH,-52.0038097984412,-11.712598912009,-2.29401403281494,143.464054115408,-6.51564847777093
