disease_type,medians_CDP,LB_CDP,UB_CDP,medians_HUS,LB_HUS,UB_HUS,medians_MED,LB_MED,UB_MED,medians_PLNT,LB_PLNT,UB_PLNT,medians_VEG,LB_VEG,UB_VEG
CMD,366991,355715,377880,233331,224067,243220,252218,243018,262214,339695,328917,350103,339695,328917,350103
Cancer,80631,77762,83830,58691,56134,61607,56106,53326,59154,75320,72213,78528,82986,80031,86134
