outcome,outcome_unit,outcome_unit_new,total_impact_median_CDP,total_impact_LB_CDP,total_impact_UB_CDP,total_impact_median_HUS,total_impact_LB_HUS,total_impact_UB_HUS,total_impact_median_MED,total_impact_LB_MED,total_impact_UB_MED,total_impact_median_PLNT,total_impact_LB_PLNT,total_impact_UB_PLNT,total_impact_median_VEG,total_impact_LB_VEG,total_impact_UB_VEG
Food_price,USD,billion USD,1.9,1.8,2,4.1,3.9,4.2,6.1,6,6.2,-5.3,-5.5,-5.2,-1.9,-2,-1.8
GHG,kgCO2-eq,tonnes CO2-eq,-949726.7,-985088.9,-911838.7,310681.9,277845.6,348569.9,406664.9,366251,442027.1,-2594067.5,-2629429.6,-2558705.3,-1697384,-1730220.3,-1659495.9
CED,MJ,billion MJ,1.8,1.6,1.9,6,5.9,6.2,10.9,10.7,11,-9.8,-10,-9.6,-5,-5.2,-4.9
WATER,L-eq,billion L-eq,277.7,258.9,296.2,598.1,581.5,617,755.4,736.6,773.2,57.5,39.8,75.5,279.4,263,300.1
FL,mrh-eq,million mrh-eq,20.2,15.2,22.7,136.4,131.3,141.4,199.5,197,204.6,-27.8,-32.8,-25.3,-53,-55.6,-48
