pillar,outcome,outcome_unit,total_impact_median_CDP,total_impact_LB_CDP,total_impact_UB_CDP,total_impact_median_HUS,total_impact_LB_HUS,total_impact_UB_HUS,total_impact_median_MED,total_impact_LB_MED,total_impact_UB_MED,total_impact_median_PLNT,total_impact_LB_PLNT,total_impact_UB_PLNT,total_impact_median_VEG,total_impact_LB_VEG,total_impact_UB_VEG,consumed_impact_median_CDP,consumed_impact_LB_CDP,consumed_impact_UB_CDP,consumed_impact_median_HUS,consumed_impact_LB_HUS,consumed_impact_UB_HUS,consumed_impact_median_MED,consumed_impact_LB_MED,consumed_impact_UB_MED,consumed_impact_median_PLNT,consumed_impact_LB_PLNT,consumed_impact_UB_PLNT,consumed_impact_median_VEG,consumed_impact_LB_VEG,consumed_impact_UB_VEG,inedible_impact_median_CDP,inedible_impact_LB_CDP,inedible_impact_UB_CDP,inedible_impact_median_HUS,inedible_impact_LB_HUS,inedible_impact_UB_HUS,inedible_impact_median_MED,inedible_impact_LB_MED,inedible_impact_UB_MED,inedible_impact_median_PLNT,inedible_impact_LB_PLNT,inedible_impact_UB_PLNT,inedible_impact_median_VEG,inedible_impact_LB_VEG,inedible_impact_UB_VEG,wasted_impact_median_CDP,wasted_impact_LB_CDP,wasted_impact_UB_CDP,wasted_impact_median_HUS,wasted_impact_LB_HUS,wasted_impact_UB_HUS,wasted_impact_median_MED,wasted_impact_LB_MED,wasted_impact_UB_MED,wasted_impact_median_PLNT,wasted_impact_LB_PLNT,wasted_impact_UB_PLNT,wasted_impact_median_VEG,wasted_impact_LB_VEG,wasted_impact_UB_VEG,unconsumed_impact_median_HUS,unconsumed_impact_median_VEG,unconsumed_impact_median_MED,unconsumed_impact_median_PLNT,unconsumed_impact_median_CDP,unconsumed_impact_LB_HUS,unconsumed_impact_LB_VEG,unconsumed_impact_LB_MED,unconsumed_impact_LB_PLNT,unconsumed_impact_LB_CDP,unconsumed_impact_UB_HUS,unconsumed_impact_UB_VEG,unconsumed_impact_UB_MED,unconsumed_impact_UB_PLNT,unconsumed_impact_UB_CDP
Economic,Food_price,USD,273,226,318,1127,1080,1175,2141,2096,2186,-1957,-2001,-1910,-1234,-1281,-1185,-332,-363,-300,395,362,427,955,925,986,-1786,-1817,-1755,-1271,-1301,-1237,457,451,464,375,369,381,450,443,456,346,339,352,386,380,393,147,134,160,357,344,371,736,723,749,-517,-530,-503,-350,-362,-336,732,36,1186,-171,605,715,19,1168,-188,586,750,54,1202,-153,622
Environment,BLUEWATER,L,1413,137,2722,24390,23269,25643,28723,27491,29957,-28572,-29844,-27392,-5850,-6996,-4636,-12775,-13693,-11759,9317,8492,10237,9909,8965,10880,-29875,-30793,-28945,-13608,-14496,-12709,12213,12055,12364,8907,8755,9062,11445,11285,11587,9122,8967,9279,9575,9431,9720,1974,1713,2256,6174,5913,6438,7367,7093,7613,-7827,-8084,-7566,-1828,-2076,-1552,15089,7741,18813,1293,14188,14704,7413,18405,919,13788,15465,8138,19158,1652,14576
Environment,CED,MJ,613,548,681,2317,2250,2379,4220,4159,4282,-3960,-4024,-3894,-2078,-2139,-2009,46,2,92,1394,1349,1438,2482,2440,2524,-2997,-3039,-2952,-1607,-1650,-1563,207,204,210,166,163,168,206,203,209,145,142,148,173,170,175,360,339,381,757,736,777,1531,1511,1551,-1109,-1130,-1087,-642,-662,-621,923,-470,1737,-964,567,901,-490,1716,-985,545,943,-447,1758,-942,589
Environment,GHG,kgCO2-eq,-384,-398,-369,116,102,130,153,137,167,-1036,-1049,-1021,-680,-694,-665,-337,-348,-326,54,44,65,60,48,70,-800,-810,-788,-536,-546,-525,26,26,27,21,21,21,26,26,27,18,17,18,22,22,23,-73,-76,-69,41,37,44,67,64,71,-254,-257,-250,-166,-169,-162,62,-144,94,-236,-47,58,-147,90,-240,-50,65,-140,97,-232,-43
Environment,WATER,L-eq,104112,96655,111452,231203,224625,238687,293478,286052,300532,16947,9927,24068,104809,98298,112981,-22330,-27739,-16641,111081,106125,116500,138768,133812,144322,-44773,-50134,-39542,18480,13706,24056,87436,86219,88515,62792,61651,63971,81550,80426,82596,65286,64185,66432,66058,64924,67115,38943,37306,40538,57316,55770,58975,73042,71353,74513,-3551,-5082,-1966,20357,18966,22088,120110,86391,154592,61753,126425,117704,84208,151967,59316,123703,122687,89130,156851,64087,128886
Social,FL,mrh-eq,4,2,6,50,49,52,76,74,77,-15,-16,-13,-24,-26,-23,-13,-14,-12,28,27,29,41,40,42,-15,-17,-14,-25,-26,-24,11,11,12,8,8,8,11,11,11,8,8,8,9,8,9,5,5,6,14,14,15,24,23,24,-8,-8,-7,-8,-9,-8,23,0,35,1,17,22,0,34,0,16,23,1,35,1,17
