disease_type,medians_CDP,LB_CDP,UB_CDP,medians_HUS,LB_HUS,UB_HUS,medians_MED,LB_MED,UB_MED,medians_PLNT,LB_PLNT,UB_PLNT,medians_VEG,LB_VEG,UB_VEG
CMD,3786,3670,3898,2407,2312,2509,2602,2507,2705,3504,3393,3612,3504,3393,3612
Cancer,832,803,865,606,580,636,579,551,611,777,745,811,856,826,889
