,,Dietary Patterns,,,,
Outcome,Unit,HUS,MED,VEG,PLNT,CDP
,,"Median (95% UI)				",,,,
Health,,,,,,
   CMD mortality,Deaths (prevented)," -2,407 (-2,312, -2,509)"," -2,602 (-2,507, -2,705)"," -3,504 (-3,393, -3,612)"," -3,504 (-3,393, -3,612)"," -3,786 (-3,670, -3,898)"
   Cancer incidence,Cases (prevented)," -606 (-580, -636)"," -579 (-551, -611)"," -856 (-826, -889)"," -777 (-745, -811)"," -832 (-803, -865)"
,,,,,,
Environment,,,,,,
   Water scarcity,Billion L-eq," 598.1 (581.5, 617.0)"," 755.4 (736.6, 773.2)"," 279.4 (263.0, 300.1)"," 57.5 (39.8, 75.5)"," 277.7 (258.9, 296.2)"
   Greenhouse gas emissions,Tonnes CO2-eq," 310,681.9 
(277,845.6, 348,569.9)"," 406,664.9 
(366,251.0, 442,027.1)"," -1,697,384.0 
(-1,730,220.3, -1,659,495.9)"," -2,594,067.5 
(-2,629,429.6, -2,558,705.3)"," -949,726.7 
(-985,088.9, -911,838.7)"
   Cumulative energy demand,Billion MJ," 6.0 (5.9, 6.2)"," 10.9 (10.7, 11.0)"," -5.0 (-5.2, -4.9)"," -9.8 (-10.0, -9.6)"," 1.8 (1.6, 1.9)"
,,,,,,
Social,,,,,,
   Risk of forced labor,Million mrh-eq," 136.4 (131.3, 141.4)"," 199.5 (197.0, 204.6)"," -53.0 (-55.6, -48.0)"," -27.8 (-32.8, -25.3)"," 20.2 (15.2, 22.7)"
,,,,,,
Economic,,,,,,
   Food cost,Billion USD," 4.1 (3.9, 4.2)"," 6.1 (6.0, 6.2)"," (1.9)	 (2.0)	 (1.8)"," -5.3 (-5.5, -5.2)"," 1.9 (1.8, 2.0)"
