note,inAnalysis_num,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_redm_adj,Overall,16147,1.36,0.04,0.85,0.04,1.26,0.04,1.75,0.06,0.68,0.00,0.47,0.05,0.00,0.07,36
pf_redm_adj,1,9759,1.45,0.04,0.93,0.04,1.35,0.04,1.86,0.06,0.70,,,0.05,,,36
pf_redm_adj,2,6388,1.10,0.05,0.70,0.04,1.02,0.04,1.42,0.07,0.55,,,0.05,,,36
