fcidcode,waste_coef,ined_coef,retloss_coef
101050000,1.0930233,.23255815,.26616442
101050001,1.0930233,.23255816,.26616445
101052000,.5151515,0,.12359554
101052001,.5151515,0,.12359548
101053000,.51515156,0,.12359548
101053001,.5151515,0,.12359552
101078000,.61818182,.2,.054182746
101078001,.61818177,.19999999,.054182734
101079000,.61818182,.2,.054182693
101100000,1.0930232,.23255813,.26616445
101168000,1.0930233,.23255815,.26616448
101190000,1.0930232,.23255815,.26616445
101251000,1.0930232,.23255813,.26616442
101251001,1.0930233,.23255813,.26616448
101314000,1.0930232,.23255813,.26616445
101316000,1.0930233,.23255815,.26616445
101327000,1.0930233,.23255815,.26616442
101388000,1.0930232,.23255815,.26616442
103017000,1.0930233,.23255813,.26616451
103082000,1.0930234,.23255816,.26616445
103082001,1.0930233,.23255815,.26616445
103139000,1.0930232,.23255813,.26616442
103166000,1.0930233,.23255815,.26616442
103167000,1.0930233,.23255813,.26616451
103296000,.041666664,0,.063829772
103297000,.041666668,0,.063829757
103297001,.041666664,0,.063829787
103298000,.041666664,0,.063829757
103298001,.041666664,0,.063829742
103299000,.21621622,.13513514,.069509506
103300000,.21621622,.13513514,.069509424
103300001,.21621621,.13513513,.069509454
103366000,1.5714285,1,.16523544
103366001,1.5714287,1,.16523546
103371000,2,2.2631578,.59915185
103387000,1.0930233,.23255815,.26616445
103406000,1.5714287,1,.16523549
103407000,1.5714287,1,.16523547
200051000,1.1875,.93750006,.6941154
200101000,1.1875,.9375,.69411546
200140000,.43373755,.37350225,.16158848
301165000,.97727269,.29545456,.080177069
301165001,.97727275,.29545456,.080177054
301237000,.91489357,.21276595,.10811647
301237001,.91489369,.21276595,.10811651
301238000,.041666668,0,.063829802
301238001,.041666664,0,.063829802
301338000,.91489363,.21276595,.10811652
302103000,.91489369,.21276596,.10811654
302198000,.91489369,.21276596,.10811649
302239000,.91489369,.21276595,.10811646
401005000,1.1875,.9375,.6941154
401104000,1.1875,.93749994,.69411546
401118000,1.1874999,.9375,.6941154
401138000,1.1875,.93750006,.69411546
401144000,1.1875,.9375,.69411546
401150000,.38709676,.22580644,.91143095
401204000,.40000001,.26666668,.095290214
401205000,.43373758,.37350225,.1615885
401248000,1.1875,.9375,.69411534
401313000,.4285714,.35714287,.16381334
401355000,.14285713,.44444442,.16814226
401355001,.14285715,.44444445,.1681423
401367000,2,2.2631578,.59915185
402018000,.43373755,.37350225,.16158848
402062000,.24489796,.79591841,.13577293
402070000,.42857143,.3571429,.16381331
402117000,1.9999999,2.2631578,.59915179
402133000,1.1875,.9375,.6941154
402194000,1.652174,1.6956522,.644045
402229000,.69090909,.12727273,1.7505246
402389000,1.1875,.9375,.69411534
402398000,1.1875,.9375,.6941154
500061000,.24489796,.79591835,.13577285
500061001,.24489795,.79591835,.13577282
500064000,.15384614,.12820514,.23086794
500069000,.4285714,.35714287,.16381329
500071000,.42857143,.35714287,.16381337
500072000,.42857143,.35714287,.16381329
500083000,.30000001,2.0333333,.16289334
600347000,.11111111,0,.063829765
600348000,.11111112,0,.06382978
600348001,.11111111,0,.063829824
600349000,.11111112,0,.06382978
600350000,.17647061,0,.26582274
600350001,.17647058,0,.26582274
601043000,.375,.1875,.2279329
601043001,.375,.18750001,.22793287
601257000,.31578946,0,.063829772
602031000,.11111111,0,.063829832
602033000,.11111111,0,.063829757
602037000,.11111111,0,.063829817
602255000,.31578946,0,.063829795
602255001,.31578946,0,.063829757
602259000,.11111111,0,.06382978
603030000,.1111111,0,.063829772
603032000,.11111112,0,.063829817
603034000,.11111111,0,.063829772
603035000,.11111111,0,.063829832
603036000,.11111111,0,.063829795
603038000,.11111112,0,.063829817
603039000,.11111111,0,.063829772
603040000,.11111112,0,.063829735
603041000,.11111112,0,.063829824
603042000,.1111111,0,.063829809
603098000,.11111111,0,.063829787
603098001,.11111111,0,.06382975
603182000,.11111112,0,.063829795
603203000,.11111111,0,.063829757
603256000,.11111111,0,.063829802
603256001,.11111112,0,.063829824
603258000,.11111111,0,.063829772
801374000,.083333328,.10714286,.15183607
801375000,.083333328,.10714285,.15183604
801376000,.3888889,0,.063829817
801376001,.3888889,0,.063829772
801377000,.38888887,0,.063829757
801377001,.38888887,0,.063829742
801378000,.083333336,.10714285,.15183601
801378001,.083333328,.10714285,.15183605
801379000,.083333343,.10714287,.15183599
802148000,.47272724,.34545454,.27109411
802234000,.30303031,.21212122,.34080687
802270000,.9069767,.41860467,.084240541
802271000,.90697676,.41860464,.084240541
802271001,.90697676,.41860467,.084240548
901075000,5.375,6.1249995,.13895218
901187000,14.333333,18,.29533684
901399000,.33333331,1.2307693,.20159581
901400000,.33333331,1.2307692,.20159574
902021000,.28571427,.14285713,.21328223
902102000,.43103451,.29310346,.14246172
902135000,.78048784,.65853667,.065304458
902308000,69,30,.12657726
902309000,69,30,.12657727
902356000,.43103448,.29310343,.14246172
902356001,.43103451,.29310346,.14246173
902357000,.43103451,.29310346,.14246172
902357001,.43103448,.29310343,.14246169
1001106000,4.8888888,5.2222223,.07526879
1001107000,4.8888888,5.2222219,.075268798
1001240000,.97297293,.72972971,.1312217
1001241000,.11111111,0,.063829832
1001241001,.11111111,0,.063829795
1001242000,.97297305,.72972977,.13122174
1001369000,2.3636363,1.1818181,.25628138
1001370000,2.3636363,1.1818182,.25628135
1002197000,.97297305,.72972977,.13122167
1002199000,4.8888888,5.2222223,.075268835
1002200000,.11111111,0,.063829809
1002200001,.11111111,0,.063829795
1002201000,4.8888888,5.2222228,.07526882
1002206000,1.1,.40000001,.090720296
1002207000,.11111111,0,.063829832
1002207001,.11111111,0,.063829795
1003180000,.66666669,1.6666666,.14678898
1003181000,.11111112,0,.063829742
1100007000,.2857143,.14285715,.0940919
1100008000,.28571427,.14285713,.094091929
1100008001,.28571427,.14285713,.094091885
1100009000,.12359551,0,.063829824
1100009001,.12359551,0,.063829772
1100010000,.11111111,0,.063829832
1100010001,.1111111,0,.06382978
1100011000,.086956523,0,.063829824
1100011001,.086956516,0,.063829765
1100266000,.2857143,.14285715,.21328232
1100266001,.2857143,.14285715,.21328227
1100267000,.1235955,0,.063829757
1100268000,.2857143,.14285713,.21328227
1100268001,.2857143,.14285713,.2132823
1201090000,1.275,.22500001,.040582761
1201090001,1.275,.22500001,.040582757
1201091000,1.275,.22499999,.040582728
1201091001,1.2749999,.22499999,.040582683
1202012000,.12048193,.084337346,.54083198
1202012001,.12048192,.084337354,.54083198
1202013000,.1235955,0,.063829787
1202014000,.12048194,.084337354,.54083204
1202014001,.12048193,.084337346,.5408321
1202230000,.82352936,.13725489,.13520969
1202260000,.82352936,.13725491,.13520963
1202260001,.8235293,.13725489,.13520963
1202261000,.12359551,0,.06382978
1202262000,.82352942,.13725491,.13520966
1202262001,.82352936,.13725489,.13520963
1203285000,.4029851,.089552239,.20943192
1203285001,.4029851,.089552239,.20943199
1203286000,.1235955,0,.063829757
1203286001,.1235955,0,.063829772
1203287000,.12359551,0,.06382978
1203288000,.47058824,0,.063829765
1203288001,.47058821,0,.063829795
1301055000,.66666669,0,.063829765
1301056000,.66666669,0,.06382978
1301056001,.66666669,0,.063829787
1301058000,.66666669,0,.063829742
1301320000,.2631579,.052631579,.10808206
1301320001,.2631579,.052631579,.10808213
1301321000,.2631579,.052631579,.10808209
1301321001,.2631579,.052631576,.1080821
1302057000,.091954015,.05747126,.055372946
1302057001,.091954015,.057471264,.055372953
1302137000,.36111107,.027777776,.063829795
1302174000,.3611111,.027777776,.063829795
1302191000,.36111107,.027777776,.063829832
1303227000,.66666669,0,.063829817
1304175000,.52380955,.063492067,.082251102
1304176000,.11111111,0,.063829772
1304176001,.11111111,0,.063829832
1304178000,.35135135,0,.063829817
1304179000,.11111112,0,.06382975
1304195000,1.097561,.34146342,.14547539
1307130000,.3611111,.027777776,.063829802
1307131000,.36111107,.027777776,.063829765
1307132000,.11111111,0,.063829809
1307359000,.59322029,.10169491,.10808213
1307359001,.59322035,.10169492,.1080821
1307360000,.59322035,.10169491,.10808208
1307360001,.59322029,.10169491,.10808216
1400003000,.26582277,0,.06382978
1400004000,.33333334,0,.052631579
1400059000,.21951221,0,.063829795
1400068000,.21951221,0,.063829802
1400081000,.21951219,0,.063829757
1400092000,.21951221,0,.063829787
1400111000,.11111111,0,.063829787
1400111001,.11111111,0,.063829817
1400112000,.11111111,0,.063829817
1400113000,.11111112,0,.063829802
1400114000,.33333331,0,.052631557
1400114001,.33333334,0,.052631605
1400155000,.25,0,.063829787
1400213000,.086956523,0,.063829809
1400269000,.1627907,0,.063829817
1400278000,.21951221,0,.063829765
1400282000,.19047621,0,.063829817
1400391000,.21951219,0,.063829802
1500025000,.21212122,.30303031,.13636366
1500026000,.21212123,.30303031,.13636367
1500026001,.2121212,.30303031,.13636366
1500027000,.2121212,.30303031,.13636361
1500065000,.21212122,.30303031,.13636366
1500120000,.25,0,.13636363
1500120001,.25000003,0,.13636366
1500121000,.25,0,.13636366
1500122000,.25,0,.13636367
1500123000,.25,0,.13636363
1500123001,.25,0,.13636366
1500124000,.5151515,0,.12359551
1500124001,.5151515,0,.12359554
1500125000,.17647059,0,.26582274
1500126000,8,16,.0061531048
1500127000,8,16,.0061530303
