outcome,unit_new,impact_new_CDP,LB_new_CDP,UB_new_CDP,impact_new_HUS,LB_new_HUS,UB_new_HUS,impact_new_MED,LB_new_MED,UB_new_MED,impact_new_PLNT,LB_new_PLNT,UB_new_PLNT,impact_new_VEG,LB_new_VEG,UB_new_VEG
Bluewater use,billion L,34.6,3.36,66.67,597.27,569.81,627.95,703.35,673.2,733.58,-699.67,-730.82,-670.77,-143.26,-171.32,-113.53
Cumulative energy demand,million MJ,15017.88,13430.77,16681.33,56739.61,55101.03,58257.74,103346.3,101833.58,104852.69,-96977.9,-98531.07,-95351.6,-50879.75,-52390.36,-49203.84
Food price,million USD,6675.1,5525.81,7785.08,27596.96,26455.21,28785.22,52435.35,51338.61,53534.07,-47918.03,-49009.13,-46763.53,-30223.58,-31363.18,-29017.97
Greenhouse gas emissions,million kgCO2-eq,-9398.25,-9750.58,-9041.23,2831.56,2494.78,3188.08,3757.2,3362.77,4096.64,-25358.75,-25695.98,-24998.09,-16647.37,-16983.51,-16294.5
Risk of forced labor,hundred thousand mrh-eq,980.68,600.38,1406.28,12347.26,11986.74,12741.68,18580.84,18166.02,18948.26,-3656.72,-4020.46,-3266.89,-5987.9,-6367.29,-5582.92
Water scarcity,billion L-eq,2549.47,2366.87,2729.22,5661.66,5500.58,5844.92,7186.64,7004.8,7359.38,415.01,243.09,589.38,2566.55,2407.1,2766.65
