,Race,Sex,Age,IHD,ISTK,HSTK,OSTK,DIAB,HHD,AA,RHD,ENDO,OTH,CM,AFF,PVD,TSTK,IHD_medBMI,ISTK_medBMI,HSTK_medBMI,OSTK_medBMI,DIAB_medBMI,HHD_medBMI,AA_medBMI,RHD_medBMI,ENDO_medBMI,OTH_medBMI,CM_medBMI,AFF_medBMI,PVD_medBMI,TSTK_medBMI,IHD_medSBP,ISTK_medSBP,HSTK_medSBP,OSTK_medSBP,DIAB_medSBP,HHD_medSBP,AA_medSBP,RHD_medSBP,ENDO_medSBP,OTH_medSBP,CM_medSBP,AFF_medSBP,PVD_medSBP,TSTK_medSBP
5,1,1,1,161,18,85,25,127,37,18,10,17,99,72,1,2,128,161,18,85,25,127,37,18,10,17,99,72,1,2,128,161,18,85,25,127,37,18,10,17,99,72,1,2,128
6,1,1,2,920,48,260,95,378,196,34,14,15,230,168,5,14,403,920,48,260,95,378,196,34,14,15,230,168,5,14,403,920,48,260,95,378,196,34,14,15,230,168,5,14,403
7,1,1,3,3797,157,835,409,1151,621,106,37,39,504,399,31,49,1401,3797,157,835,409,1151,621,106,37,39,504,399,31,49,1401,3797,157,835,409,1151,621,106,37,39,504,399,31,49,1401
8,1,1,4,9124,286,1320,1258,2704,1103,224,130,62,1001,653,168,142,2864,9124,286,1320,1258,2704,1103,224,130,62,1001,653,168,142,2864,9124,286,1320,1258,2704,1103,224,130,62,1001,653,168,142,2864
9,1,1,5,15779,684,2084,3364,4136,1200,568,269,88,1843,968,629,328,6132,15779,684,2084,3364,4136,1200,568,269,88,1843,968,629,328,6132,15779,684,2084,3364,4136,1200,568,269,88,1843,968,629,328,6132
10,1,1,6,103054,6598,8584,34277,13037,9248,2443,1240,127,14571,4527,10306,2516,49459,103054,6598,8584,34277,13037,9248,2443,1240,127,14571,4527,10306,2516,49459,103054,6598,8584,34277,13037,9248,2443,1240,127,14571,4527,10306,2516,49459
16,1,0,1,466,18,109,23,190,140,48,8,22,122,191,4,2,150,466,18,109,23,190,140,48,8,22,122,191,4,2,150,466,18,109,23,190,140,48,8,22,122,191,4,2,150
17,1,0,2,2527,56,288,111,602,523,116,17,41,256,395,11,10,455,2527,56,288,111,602,523,116,17,41,256,395,11,10,455,2527,56,288,111,602,523,116,17,41,256,395,11,10,455
18,1,0,3,11932,193,861,566,2055,1576,352,41,65,627,938,81,61,1620,11932,193,861,566,2055,1576,352,41,65,627,938,81,61,1620,11932,193,861,566,2055,1576,352,41,65,627,938,81,61,1620
19,1,0,4,26064,505,1569,1909,4726,2611,684,87,106,1256,1507,295,260,3983,26064,505,1569,1909,4726,2611,684,87,106,1256,1507,295,260,3983,26064,505,1569,1909,4726,2611,684,87,106,1256,1507,295,260,3983
20,1,0,5,33047,817,2176,3917,6131,1873,1059,149,97,1797,1845,737,508,6910,33047,817,2176,3917,6131,1873,1059,149,97,1797,1845,737,508,6910,33047,817,2176,3917,6131,1873,1059,149,97,1797,1845,737,508,6910
21,1,0,6,93464,3408,5715,17482,11342,4687,2433,539,176,8715,5111,5242,1607,26605,93464,3408,5715,17482,11342,4687,2433,539,176,8715,5111,5242,1607,26605,93464,3408,5715,17482,11342,4687,2433,539,176,8715,5111,5242,1607,26605
27,2,1,1,71,9,33,9,81,47,5,7,2,52,43,0,1,51,71,9,33,9,81,47,5,7,2,52,43,0,1,51,71,9,33,9,81,47,5,7,2,52,43,0,1,51
28,2,1,2,283,18,135,56,182,217,17,8,2,116,117,4,2,209,283,18,135,56,182,217,17,8,2,116,117,4,2,209,283,18,135,56,182,217,17,8,2,116,117,4,2,209
29,2,1,3,1249,58,465,234,561,555,45,21,11,206,225,10,19,757,1249,58,465,234,561,555,45,21,11,206,225,10,19,757,1249,58,465,234,561,555,45,21,11,206,225,10,19,757
30,2,1,4,2695,114,483,572,1092,685,51,31,24,340,308,34,46,1169,2695,114,483,572,1092,685,51,31,24,340,308,34,46,1169,2695,114,483,572,1092,685,51,31,24,340,308,34,46,1169
31,2,1,5,3286,175,397,866,1391,530,79,39,20,355,284,77,78,1438,3286,175,397,866,1391,530,79,39,20,355,284,77,78,1438,3286,175,397,866,1391,530,79,39,20,355,284,77,78,1438
32,2,1,6,10672,777,815,3479,2939,1621,174,62,24,868,576,478,357,5071,10672,777,815,3479,2939,1621,174,62,24,868,576,478,357,5071,10672,777,815,3479,2939,1621,174,62,24,868,576,478,357,5071
38,2,0,1,174,8,45,17,96,95,24,2,2,52,96,1,0,70,174,8,45,17,96,95,24,2,2,52,96,1,0,70,174,8,45,17,96,95,24,2,2,52,96,1,0,70
39,2,0,2,752,16,161,78,279,356,62,8,7,108,228,7,4,255,752,16,161,78,279,356,62,8,7,108,228,7,4,255,752,16,161,78,279,356,62,8,7,108,228,7,4,255
40,2,0,3,2577,109,487,294,754,890,100,16,30,191,413,24,16,890,2577,109,487,294,754,890,100,16,30,191,413,24,16,890,2577,109,487,294,754,890,100,16,30,191,413,24,16,890
41,2,0,4,5121,159,579,784,1373,1233,117,9,48,267,535,58,84,1522,5121,159,579,784,1373,1233,117,9,48,267,535,58,84,1522,5121,159,579,784,1373,1233,117,9,48,267,535,58,84,1522
42,2,0,5,4837,180,354,1064,1473,769,110,20,16,267,456,74,111,1598,4837,180,354,1064,1473,769,110,20,16,267,456,74,111,1598,4837,180,354,1064,1473,769,110,20,16,267,456,74,111,1598
43,2,0,6,7234,379,424,1784,1631,882,122,11,15,389,544,221,218,2587,7234,379,424,1784,1631,882,122,11,15,389,544,221,218,2587,7234,379,424,1784,1631,882,122,11,15,389,544,221,218,2587
49,3,1,1,20,3,28,8,31,6,3,1,0,15,21,0,1,39,20,3,28,8,31,6,3,1,0,15,21,0,1,39,20,3,28,8,31,6,3,1,0,15,21,0,1,39
50,3,1,2,92,7,75,15,65,36,3,2,4,41,29,2,0,97,92,7,75,15,65,36,3,2,4,41,29,2,0,97,92,7,75,15,65,36,3,2,4,41,29,2,0,97
51,3,1,3,349,15,179,64,216,82,8,7,2,78,47,4,4,258,349,15,179,64,216,82,8,7,2,78,47,4,4,258,349,15,179,64,216,82,8,7,2,78,47,4,4,258
52,3,1,4,871,34,182,159,492,135,13,15,8,89,73,16,11,375,871,34,182,159,492,135,13,15,8,89,73,16,11,375,871,34,182,159,492,135,13,15,8,89,73,16,11,375
53,3,1,5,1298,77,246,287,701,116,25,33,4,136,86,33,31,610,1298,77,246,287,701,116,25,33,4,136,86,33,31,610,1298,77,246,287,701,116,25,33,4,136,86,33,31,610
54,3,1,6,6357,389,552,1775,1667,632,87,60,6,541,305,298,139,2716,6357,389,552,1775,1667,632,87,60,6,541,305,298,139,2716,6357,389,552,1775,1667,632,87,60,6,541,305,298,139,2716
60,3,0,1,79,6,47,6,50,37,17,4,6,30,45,0,0,59,79,6,47,6,50,37,17,4,6,30,45,0,0,59,79,6,47,6,50,37,17,4,6,30,45,0,0,59
61,3,0,2,350,17,140,34,140,121,39,4,9,58,79,2,5,191,350,17,140,34,140,121,39,4,9,58,79,2,5,191,350,17,140,34,140,121,39,4,9,58,79,2,5,191
62,3,0,3,1188,35,266,99,401,216,32,8,17,83,141,10,5,400,1188,35,266,99,401,216,32,8,17,83,141,10,5,400,1188,35,266,99,401,216,32,8,17,83,141,10,5,400
63,3,0,4,2232,56,293,233,729,281,49,16,18,108,143,20,22,582,2232,56,293,233,729,281,49,16,18,108,143,20,22,582,2232,56,293,233,729,281,49,16,18,108,143,20,22,582
64,3,0,5,2477,76,198,360,825,197,54,5,9,136,156,35,33,634,2477,76,198,360,825,197,54,5,9,136,156,35,33,634,2477,76,198,360,825,197,54,5,9,136,156,35,33,634
65,3,0,6,5412,204,367,1145,1234,386,79,12,8,316,292,187,89,1716,5412,204,367,1145,1234,386,79,12,8,316,292,187,89,1716,5412,204,367,1145,1234,386,79,12,8,316,292,187,89,1716
71,4,1,1,10,3,15,2,13,1,1,5,0,10,12,0,1,20,10,3,15,2,13,1,1,5,0,10,12,0,1,20,10,3,15,2,13,1,1,5,0,10,12,0,1,20
72,4,1,2,46,7,47,5,18,12,6,2,1,14,12,1,0,59,46,7,47,5,18,12,6,2,1,14,12,1,0,59,46,7,47,5,18,12,6,2,1,14,12,1,0,59
73,4,1,3,153,6,99,34,94,22,7,3,1,22,32,2,1,139,153,6,99,34,94,22,7,3,1,22,32,2,1,139,153,6,99,34,94,22,7,3,1,22,32,2,1,139
74,4,1,4,415,21,148,84,209,49,19,18,5,48,41,8,7,253,415,21,148,84,209,49,19,18,5,48,41,8,7,253,415,21,148,84,209,49,19,18,5,48,41,8,7,253
