Food category,Meat category,FCID ingredient description,FCID ingredient code
Dairy,None,"Milk, nonfat solids",3600223000
Dairy,None,"Milk, nonfat solids-baby food/infant formula",3600223001
Dairy,None,"Milk, water",3600224000
Dairy,None,"Milk, water-babyfood/infant formula",3600224001
Dairy,None,"Milk, sugar (lactose)-baby food/infant formula",3600225001
Dairy,None,"Milk, fat",3600222000
Dairy,None,"Milk, fat-baby food/infant formula",3600222001
Beef,Red meat,"Beef, meat",3100044000
Beef,Red meat,"Beef, meat-babyfood",3100044001
Beef,Red meat,"Beef, meat, dried",3100045000
Beef,Red meat,"Beef, meat byproducts",3100046000
Beef,Red meat,"Beef, meat byproducts-babyfood",3100046001
Beef,Red meat,"Beef, kidney",3100048000
Beef,Red meat,"Beef, liver",3100049000
Beef,Red meat,"Beef, liver-babyfood",3100049001
Beef,Red meat,"Beef, fat",3100047000
Beef,Red meat,"Beef, fat-babyfood",3100047001
Pork,Red meat,"Pork, meat",3400290000
Pork,Red meat,"Pork, meat-babyfood",3400290001
Pork,Red meat,"Pork, skin",3400291000
Pork,Red meat,"Pork, meat byproducts",3400292000
Pork,Red meat,"Pork, meat byproducts-babyfood",3400292001
Pork,Red meat,"Pork, kidney",3400294000
Pork,Red meat,"Pork, liver",3400295000
Pork,Red meat,"Pork, fat",3400293000
Pork,Red meat,"Pork, fat-babyfood",3400293001
Other meat,Red meat,"Goat, meat",3200169000
Other meat,Red meat,"Goat, meat byproducts",3200170000
Other meat,Red meat,"Sheep, meat",3500339000
Other meat,Red meat,"Sheep, meat-babyfood",3500339001
Other meat,Red meat,"Sheep, meat byproducts",3500340000
Other meat,Red meat,"Sheep, kidney",3500342000
Other meat,Red meat,"Sheep, liver",3500343000
Other meat,Red meat,"Meat, game",3800221000
Other meat,Red meat,"Rabbit, meat",3900312000
Other meat,Red meat,"Goat, fat",3200171000
Other meat,Red meat,"Sheep, fat",3500341000
Other meat,Red meat,"Sheep, fat-babyfood",3500341001
Poultry,Poultry,"Turkey, meat",5000382000
Poultry,Poultry,"Turkey, meat-babyfood",5000382001
Poultry,Poultry,"Turkey, liver",5000383000
Poultry,Poultry,"Turkey, meat byproducts",5000384000
Poultry,Poultry,"Turkey, meat byproducts-babyfood",5000384001
Poultry,Poultry,"Turkey, skin",5000386000
Poultry,Poultry,"Turkey, skin-babyfood",5000386001
Poultry,Poultry,"Chicken, meat",4000093000
Poultry,Poultry,"Chicken, meat-babyfood",4000093001
Poultry,Poultry,"Chicken, liver",4000094000
Poultry,Poultry,"Chicken, meat byproducts",4000095000
Poultry,Poultry,"Chicken, meat byproducts-babyfood",4000095001
Poultry,Poultry,"Chicken, skin",4000097000
Poultry,Poultry,"Chicken, skin-babyfood",4000097001
Poultry,Poultry,"Poultry, other, meat",6000301000
Poultry,Poultry,"Poultry, other, liver",6000302000
Poultry,Poultry,"Poultry, other, meat byproducts",6000303000
Poultry,Poultry,"Poultry, other, skin",6000305000
Poultry,Poultry,"Chicken, fat",4000096000
Poultry,Poultry,"Chicken, fat-babyfood",4000096001
Poultry,Poultry,"Turkey, fat",5000385000
Poultry,Poultry,"Turkey, fat-babyfood",5000385001
Poultry,Poultry,"Poultry, other, fat",6000304000
Seafood,None,Fish-freshwater finfish,8000157000
Seafood,None,"Fish-freshwater finfish, farm raised",8000158000
Seafood,None,"Fish-saltwater finfish, tuna",8000159000
Seafood,None,"Fish-saltwater finfish, other",8000160000
Seafood,None,"Fish-shellfish, crustacean",8000161000
Seafood,None,"Fish-shellfish, mollusc",8000162000
Eggs,None,"Egg, whole",7000145000
Eggs,None,"Egg, whole-babyfood",7000145001
Eggs,None,"Egg, white",7000146000
Eggs,None,"Egg, yolk",7000147000
Eggs,None,"Egg, yolk-babyfood",7000147001
Nuts and seeds,None,"Pumpkin, seed",902309000
Nuts and seeds,None,Almond,1400003000
Nuts and seeds,None,Brazil nut,1400059000
Nuts and seeds,None,Butternut,1400068000
Nuts and seeds,None,Cashew,1400081000
Nuts and seeds,None,Chestnut,1400092000
Nuts and seeds,None,Hazelnut,1400155000
Nuts and seeds,None,Macadamia nut,1400213000
Nuts and seeds,None,Pecan,1400269000
Nuts and seeds,None,Pine nut,1400278000
Nuts and seeds,None,Pistachio,1400282000
Nuts and seeds,None,Walnut,1400391000
Nuts and seeds,None,"Flax, seed",2001162900
Nuts and seeds,None,"Sesame, seed",2001336000
Nuts and seeds,None,"Sunflower, seed",2002364000
Nuts and seeds,None,Peanut,9500263000
Nuts and seeds,None,"Peanut, butter",9500264000
Legumes,None,"Pea, edible podded, succulent",601257000
Legumes,None,"Bean, broad, succulent",602031000
Legumes,None,"Bean, cowpea, succulent",602033000
Legumes,None,"Bean, lima, succulent",602037000
Legumes,None,"Pea, succulent",602255000
Legumes,None,"Pea, succulent-babyfood",602255001
Legumes,None,"Pea, pigeon, succulent",602259000
Legumes,None,"Bean, black, seed",603030000
Legumes,None,"Bean, broad, seed",603032000
Legumes,None,"Bean, cowpea, seed",603034000
Legumes,None,"Bean,  great northern, seed",603035000
Legumes,None,"Bean, kidney, seed",603036000
Legumes,None,"Bean, lima, seed",603038000
Legumes,None,"Bean, mung, seed",603039000
Legumes,None,"Bean, navy, seed",603040000
Legumes,None,"Bean, pink, seed",603041000
Legumes,None,"Bean, pinto, seed",603042000
Legumes,None,"Chickpea, seed",603098000
Legumes,None,"Chickpea, seed-babyfood",603098001
Legumes,None,"Guar, seed",603182000
Legumes,None,"Lentil, seed",603203000
Legumes,None,"Pea, dry",603256000
Legumes,None,"Pea, dry-babyfood",603256001
Legumes,None,"Pea, pigeon, seed",603258000
Legumes,None,Carob,2302077000
Legumes,None,Yam bean,103407000
Legumes,None,"Soybean, seed",600347000
Legumes,None,"Soybean, flour",600348000
Legumes,None,"Soybean, flour-babyfood",600348001
Legumes,None,"Soybean, soy milk",600349000
Grains,None,"Barley, pearled barley",1500025000
Grains,None,"Barley, pearled barley-babyfood",1500025001
Grains,None,"Barley, flour",1500026000
Grains,None,"Barley, flour-babyfood",1500026001
Grains,None,"Barley, bran",1500027000
Grains,None,Buckwheat,1500065000
Grains,None,"Corn, field, flour",1500120000
Grains,None,"Corn, field, flour-babyfood",1500120001
Grains,None,"Corn, field, meal",1500121000
Grains,None,"Corn, field, bran",1500122000
Grains,None,"Millet, grain",1500226000
Grains,None,"Oat, bran",1500231000
Grains,None,"Oat, flour",1500232000
Grains,None,"Oat, flour-babyfood",1500232001
Grains,None,"Oat, groats/rolled oats",1500233000
Grains,None,"Oat, groats/rolled oats-babyfood",1500233001
Grains,None,"Rice, white",1500323000
Grains,None,"Rice, white-babyfood",1500323001
Grains,None,"Rice, brown",1500324000
Grains,None,"Rice, brown-babyfood",1500324001
Grains,None,"Rice, flour",1500325000
Grains,None,"Rice, flour-babyfood",1500325001
Grains,None,"Rice, bran",1500326000
Grains,None,"Rice, bran-babyfood",1500326001
Grains,None,"Rye, grain",1500328000
Grains,None,"Rye, flour",1500329000
Grains,None,"Triticale, flour",1500381000
Grains,None,"Wheat, grain",1500401000
Grains,None,"Wheat, grain-babyfood",1500401001
Grains,None,"Wheat, flour",1500402000
Grains,None,"Wheat, flour-babyfood",1500402001
Grains,None,"Wheat, germ",1500403000
Grains,None,"Wheat, bran",1500404000
Grains,None,Wild rice,1500405000
Grains,None,"Amaranth, grain",9500006000
Grains,None,"Corn, pop",1500126000
Grains,None,"Corn, field, starch",1500123000
Grains,None,"Corn, field, starch-babyfood",1500123001
"Citrus fruit, melons, and berries",None,Cantaloupe,901075000
"Citrus fruit, melons, and berries",None,Honeydew melon,901187000
"Citrus fruit, melons, and berries",None,Watermelon,901399000
"Citrus fruit, melons, and berries",None,Citron,1001106000
"Citrus fruit, melons, and berries",None,Citrus hybrids,1001107000
"Citrus fruit, melons, and berries",None,Orange,1001240000
"Citrus fruit, melons, and berries",None,"Orange, peel",1001242000
"Citrus fruit, melons, and berries",None,Tangerine,1001369000
"Citrus fruit, melons, and berries",None,Kumquat,1002197000
"Citrus fruit, melons, and berries",None,Lemon,1002199000
"Citrus fruit, melons, and berries",None,"Lemon, peel",1002201000
"Citrus fruit, melons, and berries",None,Lime,1002206000
"Citrus fruit, melons, and berries",None,Grapefruit,1003180000
"Citrus fruit, melons, and berries",None,Blackberry,1301055000
"Citrus fruit, melons, and berries",None,Boysenberry,1301058000
"Citrus fruit, melons, and berries",None,Raspberry,1301320000
"Citrus fruit, melons, and berries",None,Raspberry-babyfood,1301320001
"Citrus fruit, melons, and berries",None,Blueberry,1302057000
"Citrus fruit, melons, and berries",None,Blueberry-babyfood,1302057001
"Citrus fruit, melons, and berries",None,Huckleberry,1302191000
"Citrus fruit, melons, and berries",None,Mulberry,1303227000
"Citrus fruit, melons, and berries",None,"Kiwifruit, fuzzy",1304195000
"Citrus fruit, melons, and berries",None,Cranberry,1307130000
"Citrus fruit, melons, and berries",None,Cranberry-babyfood,1307130001
"Citrus fruit, melons, and berries",None,"Cranberry, dried",1307131000
"Citrus fruit, melons, and berries",None,Strawberry,1307359000
"Citrus fruit, melons, and berries",None,Strawberry-babyfood,1307359001
"Citrus fruit, melons, and berries",None,Spanish lime,2401351000
"Citrus fruit, melons, and berries",None,Gooseberry,1302174000
Other fruit,None,Passionfruit,2405252000
Other fruit,None,"Apple, fruit with peel",1100007000
Other fruit,None,"Apple, peeled fruit",1100008000
Other fruit,None,"Apple, peeled fruit-babyfood",1100008001
Other fruit,None,"Apple, dried",1100009000
Other fruit,None,"Apple, dried-babyfood",1100009001
Other fruit,None,"Apple, sauce",1100011000
