food_group,var_label,diet_pattern,CF_mean_intake,CF_se_intake,CF_sd_intake,intake_units
pf_egg,Eggs,Vegetarian,0.43,0,0.043,ounce eq/day
pf_seafood,Seafood,Vegetarian,0,0,0,ounce eq/day
pf_ns,"Nuts, Seeds",Vegetarian,1,0,0.1,ounce eq/day
pf_soy,Soy Products,Vegetarian,1.14,0,0.114,ounce eq/day
pf_leg,"Beans, Peas, Lentils",Vegetarian,0.43,0,0.043,cup eq/day
leg_tot,"Beans, Peas, Lentils (TOTAL)",Vegetarian,2.86,0,0.286,ounce eq/day
oil,Oils,Vegetarian,27,0,2.7,grams/day
added_sugar,Added Sugars,Vegetarian,7.44,0,0.744,tsp/day
sat_fat,Satuated Fat,Vegetarian,13.89,0,1.389,grams/day
ssb,Sugar Sweetened Beverages,Vegetarian,0.54,0,0.054,cup eq/day
sodium,Sodium,Vegetarian,2300,0,230,mg/day
veg_dg,Dark-Green Vegetables,Vegan,0.21,0,0.021,cup eq/day
veg_ro,Red and Orange Vegetables,Vegan,0.79,0,0.079,cup eq/day
veg_sta,Starchy Vegetables,Vegan,0.71,0,0.071,cup eq/day
veg_oth,Other Vegetables,Vegan,0.57,0,0.057,cup eq/day
veg_exc_sta,Vegetables Excl. Starchy,Vegan,1.57,0,0.157,cup eq/day
fruit_tot,Fruit (TOTAL),Vegan,2,0,0.2,cup eq/day
fruit_exc_juice,Whole Fruits,Vegan,1.54,0,0.154,cup eq/day
fruit_juice,Fruit Juice,Vegan,0.46,0,0.046,cup eq/day
gr_whole,Whole Grains,Vegan,3.5,0,0.35,ounce eq/day
gr_refined,Refined Grains,Vegan,3,0,0.3,ounce eq/day
dairy_tot,Dairy (TOTAL),Vegan,0,0,0,cup eq/day
dairy_cow,Dairy,Vegan,0,0,0,cup eq/day
dairy_soy,Dairy Alternatives (fortified soy milk and soy yogurt),Vegan,3,0,0.3,cup eq/day
pf_redm,Red Meat,Vegan,0,0,0,ounce eq/day
pf_redm_tot,Red Meat (TOTAL),Vegan,0,0,0,ounce eq/day
pf_pm,Processed Meat,Vegan,0,0,0,ounce eq/day
pf_poultry,Poultry,Vegan,0,0,0,ounce eq/day
pf_poultry_tot,Poultry (TOTAL),Vegan,0,0,0,ounce eq/day
pf_egg,Eggs,Vegan,0,0,0,ounce eq/day
pf_seafood,Seafood,Vegan,0,0,0,ounce eq/day
pf_ns,"Nuts, Seeds",Vegan,1.14,0,0.114,ounce eq/day
pf_soy,Soy Products,Vegan,1.29,0,0.129,ounce eq/day
pf_leg,"Beans, Peas, Lentils",Vegan,0.46,0,0.046,cup eq/day
leg_tot,"Beans, Peas, Lentils (TOTAL)",Vegan,3.13,0,0.313,ounce eq/day
oil,Oils,Vegan,27,0,2.7,grams/day
added_sugar,Added Sugars,Vegan,7.44,0,0.744,tsp/day
sat_fat,Satuated Fat,Vegan,13.89,0,1.389,grams/day
ssb,Sugar Sweetened Beverages,Vegan,0.54,0,0.054,cup eq/day
sodium,Sodium,Vegan,2300,0,230,mg/day
veg_dg,Dark-Green Vegetables,DGAplus,0.21,0,0.021,cup eq/day
veg_ro,Red and Orange Vegetables,DGAplus,0.79,0,0.079,cup eq/day
veg_sta,Starchy Vegetables,DGAplus,0.71,0,0.071,cup eq/day
veg_oth,Other Vegetables,DGAplus,0.57,0,0.057,cup eq/day
veg_exc_sta,Vegetables Excl. Starchy,DGAplus,1.57,0,0.157,cup eq/day
fruit_tot,Fruit (TOTAL),DGAplus,2,0,0.2,cup eq/day
fruit_exc_juice,Whole Fruits,DGAplus,2,0,0.2,cup eq/day
fruit_juice,Fruit Juice,DGAplus,0,0,0,cup eq/day
gr_whole,Whole Grains,DGAplus,3.5,0,0.35,ounce eq/day
gr_refined,Refined Grains,DGAplus,2.5,0,0.25,ounce eq/day
dairy_tot,Dairy (TOTAL),DGAplus,3,0,0.3,cup eq/day
dairy_cow,Dairy,DGAplus,3,0,0.3,cup eq/day
dairy_soy,Dairy Alternatives (fortified soy milk and soy yogurt),DGAplus,0,0,0,cup eq/day
pf_redm,Red Meat,DGAplus,0.5,0,0.05,ounce eq/day
pf_redm_tot,Red Meat (TOTAL),DGAplus,0.5,0,0.05,ounce eq/day
