FCID_Code,FCID_Desc,Foodgroup,FL_Score,Weight_Conversion,FL_Score_Value,FL_Score_Value_grams,FCID_Code_chr
2303000500,Acai berry,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2303000500
2301001000,Acerola,fruit_exc_juice,Berries nes,1,215,2.15e-4,2301001000
2201001500,Agave,added_sugar,Maple sugar and syrups,1,110,1.1e-4,2201001500
1800002000,"Alfalfa, seed",leg_tot,"Peas, dry",1,25,2.5e-5,1800002000
1400003000,Almond,pf_ns,Almonds shelled,1,1041,0.001041,1400003000
1400004000,"Almond, oil",oil,Almonds shelled,1,1041,0.001041,1400004000
9500006000,"Amaranth, grain",gr_whole,"AVERAGE(Rice, milled; Oats rolled; Fonio; Quinoa; Bulgur; Barley, pearled; Sorghum)",1,475.2857142857143,4.752857142857143e-4,9500006000
401005000,"Amaranth, leafy",veg_dg,Spinach,1,111,1.11e-4,401005000
1100009000,"Apple, dried",fruit_exc_juice,Apples,6.15,61,6.1e-5,1100009000
1100007000,"Apple, fruit with peel",fruit_exc_juice,Apples,1.11,61,6.1e-5,1100007000
1100010000,"Apple, juice",fruit_juice,"Juice, apple, single strength",1,382,3.82e-4,1100010000
1100008000,"Apple, peeled fruit",fruit_exc_juice,Apples,1.3,61,6.1e-5,1100008000
1100011000,"Apple, sauce",fruit_exc_juice,Apples,1.4,61,6.1e-5,1100011000
1202012000,Apricot,fruit_exc_juice,Apricots,1.08,95,9.5e-5,1202012000
1202013000,"Apricot, dried",fruit_exc_juice,"Apricots, dry",1,1396,0.001396,1202013000
1202014000,"Apricot, juice",fruit_juice,Apricots,1.63,95,9.5e-5,1202014000
103015000,"Arrowroot, flour",veg_sta,"Flour, roots and tubers nes",1,9437,0.009437,103015000
9500016000,"Artichoke, globe",veg_oth,Artichokes,2.5,249,2.49e-4,9500016000
103017000,"Artichoke, Jerusalem",veg_oth,Roots and tubers nes,2.5,472,4.72e-4,103017000
402018000,Arugula,veg_dg,Spinach,1.67,111,1.11e-4,402018000
2201019000,Asparagus,veg_dg,Asparagus,1.89,1182,0.001182,2201019000
2401019500,Atemoya,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2401019500
2402020000,Avocado,fruit_exc_juice,Avocados,1.35,1159,0.001159,2402020000
902021000,Balsam pear,fruit_exc_juice,Cucumbers and gherkins,1,239,2.39e-4,902021000
2201022000,"Bamboo, shoots",veg_oth,"Vegetables, fresh nes",3.45,58,5.8e-5,2201022000
2402023000,Banana,fruit_exc_juice,Bananas,1.56,153,1.53e-4,2402023000
2402024000,"Banana, dried",fruit_exc_juice,Bananas,6.04,153,1.53e-4,2402024000
1500027000,"Barley, bran",gr_whole,Barley,5.2631578947368425,23,2.3e-5,1500027000
1500026000,"Barley, flour",gr_whole,Barley,3.0864197530864197,23,2.3e-5,1500026000
1500025000,"Barley, pearled barley",gr_whole,"Barley, pearled",1,75,7.5e-5,1500025000
1901029000,"Basil, dried leaves",veg_oth,Spinach,11.2909319899244,111,1.11e-4,1901029000
1901028000,"Basil, fresh leaves",veg_oth,Spinach,1,111,1.11e-4,1901028000
603035000,"Bean,  great northern, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603035000
603030000,"Bean, black, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603030000
603032000,"Bean, broad, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603032000
602031000,"Bean, broad, succulent",leg_tot,"AVERAGE(Beans, green; String beans)",1,343,3.43e-4,602031000
603034000,"Bean, cowpea, seed",leg_tot,"Cow peas, dry",1,138,1.38e-4,603034000
602033000,"Bean, cowpea, succulent",leg_tot,"Beans, green",1,431,4.31e-4,602033000
603036000,"Bean, kidney, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603036000
603038000,"Bean, lima, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603038000
602037000,"Bean, lima, succulent",leg_tot,"Beans, green",1,431,4.31e-4,602037000
603039000,"Bean, mung, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603039000
603040000,"Bean, navy, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603040000
603041000,"Bean, pink, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603041000
603042000,"Bean, pinto, seed",leg_tot,"Beans, dry",1,184,1.84e-4,603042000
601043000,"Bean, snap, succulent",leg_tot,String beans,1.14,255,2.55e-4,601043000
3100047000,"Beef, fat",sat_fat,"Meat, cattle, boneless",1,2332,0.002332,3100047000
3100048000,"Beef, kidney",pf_redm,"Meat, cattle, boneless",1,2332,0.002332,3100048000
3100049000,"Beef, liver",pf_redm,"Meat, cattle, boneless",1,2332,0.002332,3100049000
3100044000,"Beef, meat",pf_redm,"Meat, cattle, boneless",1,2332,0.002332,3100044000
3100046000,"Beef, meat byproducts",pf_redm,"Meat, cattle, boneless",1,2332,0.002332,3100046000
3100045000,"Beef, meat, dried",pf_redm,"Meat, beef, dried, salted, smoked",1,3970,0.00397,3100045000
101050000,"Beet, garden, roots",veg_ro,"Vegetables, fresh nes",1.11,58,5.8e-5,101050000
200051000,"Beet, garden, tops",veg_dg,"Vegetables, fresh nes",1.79,58,5.8e-5,200051000
101052000,"Beet, sugar",added_sugar,Sugar refined,1,457,4.57e-4,101052000
101053000,"Beet, sugar, molasses",added_sugar,Sugar refined,1,457,4.57e-4,101053000
9500054000,Belgium endive,veg_oth,Lettuce and chicory,1.146,111,1.11e-4,9500054000
1301055000,Blackberry,fruit_exc_juice,Berries nes,1.04,215,2.15e-4,1301055000
1301056000,"Blackberry, juice",fruit_juice,Raspberries,1.3,298,2.98e-4,1301056000
1302057000,Blueberry,fruit_exc_juice,Blueberries,1.05,527,5.27e-4,1302057000
1301058000,Boysenberry,fruit_exc_juice,Berries nes,1.04,215,2.15e-4,1301058000
1400059000,Brazil nut,pf_ns,"Brazil nuts, shelled",1,3860,0.00386,1400059000
2403060000,Breadfruit,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1.28,474,4.74e-4,2403060000
500061000,Broccoli,veg_dg,Cauliflowers and broccoli,1.64,84,8.4e-5,500061000
402063000,Broccoli raab,veg_dg,Cauliflowers and broccoli,1,84,8.4e-5,402063000
402062000,"Broccoli, Chinese",veg_dg,Cauliflowers and broccoli,1,84,8.4e-5,402062000
500064000,Brussels sprouts,veg_dg,Cabbages and other brassicas,1.11,77,7.7e-5,500064000
1500065000,Buckwheat,gr_whole,Buckwheat,1,99,9.9e-5,1500065000
1500066000,"Buckwheat, flour",gr_whole,"Flour, buckwheat",1,275,2.75e-4,1500066000
101067000,Burdock,veg_sta,AVERAGE(Chicory roots; Roots and tubers nes),1.33,247.5,2.475e-4,101067000
1400068000,Butternut,pf_ns,"Walnuts, shelled",1,766,7.66e-4,1400068000
500069000,Cabbage,veg_oth,Cabbages and other brassicas,1.25,77,7.7e-5,500069000
402070000,"Cabbage, Chinese, bok choy",veg_dg,Cabbages and other brassicas,1.14,77,7.7e-5,402070000
500072000,"Cabbage, Chinese, mustard",veg_oth,Cabbages and other brassicas,1.08,77,7.7e-5,500072000
500071000,"Cabbage, Chinese, napa",veg_oth,Cabbages and other brassicas,1.14,77,7.7e-5,500071000
2201073000,Cactus,veg_oth,Cucumbers and gherkins,1.04,239,2.39e-4,2201073000
2401074000,Canistel,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2401074000
901075000,Cantaloupe,fruit_exc_juice,"Melons, other (inc. cantaloupes)",1.96,80,8e-5,901075000
2202076000,Cardoon,veg_oth,"Vegetables, fresh nes",1,58,5.8e-5,2202076000
2302077000,Carob,leg_tot,"Flour, pulses",1,278,2.78e-4,2302077000
101078000,Carrot,veg_ro,Carrots and turnips,1.12,57,5.7e-5,101078000
101079000,"Carrot, juice",veg_ro,Carrots and turnips,1.12,57,5.7e-5,101079000
1400081000,Cashew,pf_ns,"Cashew nuts, shelled",1,15741,0.015741,1400081000
103082000,Cassava,veg_sta,Roots and tubers nes,1,472,4.72e-4,103082000
500083000,Cauliflower,veg_oth,Cauliflowers and broccoli,2.56,84,8.4e-5,500083000
101084000,Celeriac,veg_oth,"Vegetables, fresh nes",1,58,5.8e-5,101084000
2202085000,Celery,veg_oth,"Vegetables, fresh nes",1.12,58,5.8e-5,2202085000
2202086000,"Celery, juice",veg_oth,"Vegetables, fresh nes",5,58,5.8e-5,2202086000
2201087000,Celtuce,veg_dg,Lettuce and chicory,1,111,1.11e-4,2201087000
902088000,"Chayote, fruit",fruit_exc_juice,"Pumpkins, squash and gourds",1,182,1.82e-4,902088000
2403089000,Cherimoya,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2403089000
1201090000,Cherry,fruit_exc_juice,Cherries,1.09,208,2.08e-4,1201090000
1201091000,"Cherry, juice",fruit_juice,Cherries,1.3,208,2.08e-4,1201091000
1400092000,Chestnut,pf_ns,Chestnut,1.24,4564,0.004564,1400092000
4000096000,"Chicken, fat",sat_fat,"Meat, chicken",1,426,4.26e-4,4000096000
4000094000,"Chicken, liver",pf_poultry,"Meat, chicken",1,426,4.26e-4,4000094000
4000093000,"Chicken, meat",pf_poultry,"Meat, chicken",1,426,4.26e-4,4000093000
4000095000,"Chicken, meat byproducts",pf_poultry,"Meat, chicken",1,426,4.26e-4,4000095000
4000097000,"Chicken, skin",pf_poultry,"Meat, chicken",1,426,4.26e-4,4000097000
603099000,"Chickpea, flour",leg_tot,"Flour, pulses",1,278,2.78e-4,603099000
603098000,"Chickpea, seed",leg_tot,Chick peas,1,79,7.9e-5,603098000
101100000,"Chicory, roots",veg_oth,Lettuce and chicory,1,111,1.11e-4,101100000
200101000,"Chicory, tops",veg_oth,Lettuce and chicory,1.146,111,1.11e-4,200101000
902102000,Chinese waxgourd,veg_oth,"Pumpkins, squash and gourds",1.42,182,1.82e-4,902102000
