FCID_Code,FCID_Desc,Foodgroup,FL_Score,Weight_Conversion,FL_Score_Value,FL_Score_Value_grams,FCID_Code_chr
1901102500,"Chive, dried leaves",veg_oth,Spinach,1,111,1.11e-4,1901102500
302103000,"Chive, fresh leaves",veg_oth,Spinach,1,111,1.11e-4,302103000
401104000,"Chrysanthemum, garland",veg_dg,Spinach,1,111,1.11e-4,401104000
401118000,"Cilantro, leaves",veg_oth,Spinach,1.18,111,1.11e-4,401118000
1902105000,Cinnamon,veg_oth,Cinnamon (cannella),1,2451,0.002451,1902105000
1001106000,Citron,fruit_exc_juice,"Fruit, citrus nes",2,59,5.9e-5,1001106000
1001107000,Citrus hybrids,fruit_exc_juice,"Fruit, citrus nes",1.35,59,5.9e-5,1001107000
1001108000,"Citrus, oil",oil,"Fruit, citrus nes",1,59,5.9e-5,1001108000
1400112000,"Coconut, dried",fruit_exc_juice,"Coconuts, desiccated",1,133,1.33e-4,1400112000
1400111000,"Coconut, meat",fruit_exc_juice,"Coconuts, desiccated",1,133,1.33e-4,1400111000
1400114000,"Coconut, oil",oil,Coconuts,7.8064012490242005,88,8.8e-5,1400114000
402117000,Collards,veg_dg,Cabbages and other brassicas,1.75,77,7.7e-5,402117000
1902119000,"Coriander, seed",veg_oth,"Anise, badian, fennel, coriander",1,1406,0.001406,1902119000
1500122000,"Corn, field, bran",gr_whole,"Flour, maize",1,35,3.5e-5,1500122000
1500120000,"Corn, field, flour",gr_refined,"Flour, maize",1,35,3.5e-5,1500120000
1500121000,"Corn, field, meal",gr_whole,"Flour, maize",1,35,3.5e-5,1500121000
1500125000,"Corn, field, oil",oil,Maize,37.03703703703704,7,7e-6,1500125000
1500123000,"Corn, field, starch",gr_refined,"Starch, maize",1,155,1.55e-4,1500123000
1500124000,"Corn, field, syrup",added_sugar,"Starch, maize",0.76,155,1.55e-4,1500124000
1500126000,"Corn, pop",gr_whole,Maize,1,7,7e-6,1500126000
1500127000,"Corn, sweet",veg_sta,Sweet corn,2.78,80,8e-5,1500127000
2003128000,"Cottonseed, oil",oil,AVERAGE(Sesame seed; Poppy seed; Sunflower seed; Mustard seed),1,1094.25,0.00109425,2003128000
1100129000,Crabapple,fruit_exc_juice,Apples,1,61,6.1e-5,1100129000
1307130000,Cranberry,fruit_exc_juice,Cranberries,1.02,47,4.7e-5,1307130000
1307131000,"Cranberry, dried",fruit_exc_juice,Cranberries,6.64116719242902,47,4.7e-5,1307131000
1307132000,"Cranberry, juice",fruit_juice,Cranberries,1.3,47,4.7e-5,1307132000
402133000,"Cress, garden",veg_dg,"Vegetables, fresh nes",1.41,58,5.8e-5,402133000
402134000,"Cress, upland",veg_dg,"Vegetables, fresh nes",1.41,58,5.8e-5,402134000
902135000,Cucumber,veg_oth,Cucumbers and gherkins,1.03,239,2.39e-4,902135000
1302136000,Currant,fruit_exc_juice,Currants,1,869,8.69e-4,1302136000
1302137000,"Currant, dried",fruit_exc_juice,Raisins,1,857,8.57e-4,1302137000
401138000,"Dandelion, leaves",veg_oth,Lettuce and chicory,1,111,1.11e-4,401138000
103139000,"Dasheen, corm",veg_sta,Taro (cocoyam),1,151,1.51e-4,103139000
200140000,"Dasheen, leaves",veg_oth,Taro (cocoyam),1,151,1.51e-4,200140000
2303141000,Date,fruit_exc_juice,Dates,1.11,691,6.91e-4,2303141000
1902143000,"Dill, seed",veg_oth,Spices nes,1,1367,0.001367,1902143000
401144000,Dillweed,veg_oth,Spinach,1,111,1.11e-4,401144000
2404050206,Dragon fruit,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2404050206
7000146000,"Egg, white",pf_egg,"Eggs, liquid",1.14,916,9.16e-4,7000146000
7000145000,"Egg, whole",pf_egg,"Eggs, hen, in shell",1.14,240,2.4e-4,7000145000
7000147000,"Egg, yolk",pf_egg,"Eggs, liquid",1.14,916,9.16e-4,7000147000
802148000,Eggplant,veg_oth,Eggplants (aubergines),1.23,174,1.74e-4,802148000
1302149000,Elderberry,fruit_exc_juice,"Fruit, fresh nes",1,331,3.31e-4,1302149000
401150000,Endive,veg_dg,Lettuce and chicory,1.16,111,1.11e-4,401150000
2303151000,Feijoa,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2303151000
2201152000,"Fennel, Florence",veg_dg,"Vegetables, fresh nes",1.12,58,5.8e-5,2201152000
2302153000,Fig,fruit_exc_juice,Figs,1.01,145,1.45e-4,2302153000
2302154000,"Fig, dried",fruit_exc_juice,Figs dried,1,962,9.62e-4,2302154000
8000157000,Fish-freshwater finfish,pf_seafood,NA,NA,NA,NA,8000157000
8000158000,"Fish-freshwater finfish, farm raised",pf_seafood,NA,NA,NA,NA,8000158000
8000160000,"Fish-saltwater finfish, other",pf_seafood,NA,NA,NA,NA,8000160000
8000159000,"Fish-saltwater finfish, tuna",pf_seafood,NA,NA,NA,NA,8000159000
8000161000,"Fish-shellfish, crustacean",pf_seafood,NA,NA,NA,NA,8000161000
8000162000,"Fish-shellfish, mollusc",pf_seafood,NA,NA,NA,NA,8000162000
2001163000,"Flax seed, oil",oil,AVERAGE(Sesame seed; Poppy seed; Sunflower seed; Mustard seed),1,1094.25,0.00109425,2001163000
2001162900,"Flax, seed",pf_ns,AVERAGE(Sesame seed; Poppy seed; Sunflower seed; Mustard seed),1,1094.25,0.00109425,2001162900
301165000,"Garlic, bulb",veg_oth,Garlic,1.15,474,4.74e-4,301165000
103166000,Ginger,veg_oth,Ginger,1.08,3646,0.003646,103166000
103167000,"Ginger, dried",veg_oth,Ginger,4.58,3646,0.003646,103167000
101168000,"Ginseng, dried",veg_oth,Spices nes,1,1367,0.001367,101168000
3200171000,"Goat, fat",sat_fat,"Meat, sheep",1,1398,0.001398,3200171000
3200172000,"Goat, kidney",pf_redm,"Meat, sheep",1,1398,0.001398,3200172000
3200173000,"Goat, liver",pf_redm,"Meat, sheep",1,1398,0.001398,3200173000
3200169000,"Goat, meat",pf_redm,"Meat, sheep",1,1398,0.001398,3200169000
3200170000,"Goat, meat byproducts",pf_redm,"Meat, sheep",1,1398,0.001398,3200170000
801173500,Goji berry,fruit_exc_juice,Berries nes,1,215,2.15e-4,801173500
1302174000,Gooseberry,fruit_exc_juice,Currants,1,869,8.69e-4,1302174000
1304175000,Grape,fruit_exc_juice,Grapes,1.04,155,1.55e-4,1304175000
1304176000,"Grape, juice",fruit_juice,"Juice, grape",1,861,8.61e-4,1304176000
9500177000,"Grape, leaves",veg_dg,Spinach,1,111,1.11e-4,9500177000
1304178000,"Grape, raisin",fruit_exc_juice,Raisins,1,857,8.57e-4,1304178000
1003180000,Grapefruit,fruit_exc_juice,Grapefruit (inc. pomelos),2,44,4.4e-5,1003180000
1003181000,"Grapefruit, juice",fruit_juice,"Juice, grapefruit",1,267,2.67e-4,1003181000
603182000,"Guar, seed",leg_tot,Lentils,1,46,4.6e-5,603182000
2302183000,Guava,fruit_exc_juice,"Mangoes, mangosteens, guavas",1.28,170,1.7e-4,2302183000
1400155000,Hazelnut,pf_ns,"Hazelnuts, shelled",1,3370,0.00337,1400155000
1400156000,"Hazelnut, oil",oil,"Hazelnuts, shelled",1,3370,0.00337,1400156000
1901184000,"Herbs, other",veg_oth,Spinach,1,111,1.11e-4,1901184000
1400185000,Hickory nut,pf_ns,"Walnuts, shelled",1,766,7.66e-4,1400185000
9500186000,Honey,added_sugar,"Honey, natural",1,1220,0.00122,9500186000
901187000,Honeydew melon,fruit_exc_juice,"Melons, other (inc. cantaloupes)",2.17,80,8e-5,901187000
3300189000,"Horse, meat",pf_redm,None,0,0,0,3300189000
101190000,Horseradish,veg_oth,"Vegetables, fresh nes",1,58,5.8e-5,101190000
1302191000,Huckleberry,fruit_exc_juice,Berries nes,1.05,215,2.15e-4,1302191000
2403193000,Jackfruit,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2403193000
402194000,Kale,veg_dg,Cabbages and other brassicas,1.63934426229508,77,7.7e-5,402194000
1304195000,"Kiwifruit, fuzzy",fruit_exc_juice,Kiwi fruit,1.16,196,1.96e-4,1304195000
2201196000,Kohlrabi,veg_dg,Cabbages and other brassicas,2.17,77,7.7e-5,2201196000
1002197000,Kumquat,fruit_exc_juice,"Fruit, citrus nes",1.08,59,5.9e-5,1002197000
302198000,Leek,veg_oth,"Leeks, other alliaceous vegetables",1,249,2.49e-4,302198000
1002199000,Lemon,fruit_exc_juice,Lemons and limes,1.89,238,2.38e-4,1002199000
1002200000,"Lemon, juice",fruit_juice,"Juice, lemon, single strength",1,1694,0.001694,1002200000
1002201000,"Lemon, peel",fruit_exc_juice,Lemons and limes,1,238,2.38e-4,1002201000
1901202000,Lemongrass,veg_oth,"Leeks, other alliaceous vegetables",1,249,2.49e-4,1901202000
603203000,"Lentil, seed",leg_tot,Lentils,1,46,4.6e-5,603203000
401204000,"Lettuce, head",veg_oth,Lettuce and chicory,1.05,111,1.11e-4,401204000
401205000,"Lettuce, leaf",veg_oth,Lettuce and chicory,1.26,111,1.11e-4,401205000
1002206000,Lime,fruit_exc_juice,Lemons and limes,1.2,238,2.38e-4,1002206000
1002207000,"Lime, juice",fruit_juice,"Juice, citrus, single strength",1,290,2.9e-4,1002207000
1301208000,Loganberry,fruit_exc_juice,Berries nes,1,215,2.15e-4,1301208000
2403209000,Longan,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2403209000
1100210000,Loquat,fruit_exc_juice,"Fruit, fresh nes",1,331,3.31e-4,1100210000
2401211000,Lychee,fruit_exc_juice,"Fruit, fresh nes",1.67,331,3.31e-4,2401211000
2401212000,"Lychee, dried",fruit_exc_juice,"Fruit, dried nes",1,3494,0.003494,2401212000
1400213000,Macadamia nut,pf_ns,"Cashew nuts, shelled",1,15741,0.015741,1400213000
2403214000,Mamey apple,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1,474,4.74e-4,2403214000
2402215000,Mango,fruit_exc_juice,"Mangoes, mangosteens, guavas",1.45,170,1.7e-4,2402215000
2402216000,"Mango, dried",fruit_exc_juice,"Mangoes, mangosteens, guavas",5.04232164449818,170,1.7e-4,2402216000
2402217000,"Mango, juice",fruit_juice,"Mangoes, mangosteens, guavas",1.88,170,1.7e-4,2402217000
9500219000,Maple syrup,added_sugar,Maple sugar and syrups,1,110,1.1e-4,9500219000
9500218000,"Maple, sugar",added_sugar,Maple sugar and syrups,1.36,110,1.1e-4,9500218000
1901220000,Marjoram,veg_oth,"Vegetables, fresh nes",1,58,5.8e-5,1901220000
3800221000,"Meat, game",pf_redm,"Meat, game",1,316,3.16e-4,3800221000
3600222000,"Milk, fat",sat_fat,"Milk, whole fresh cow",8.32639467110741,162,1.62e-4,3600222000
3600223000,"Milk, nonfat solids",dairy,"Milk, whole fresh cow",8.32639467110741,162,1.62e-4,3600223000
3600224000,"Milk, water",dairy,"Milk, whole fresh cow",0,162,1.62e-4,3600224000
1500226000,"Millet, grain",gr_whole,Millet,1,37,3.7e-5,1500226000
1303227000,Mulberry,fruit_exc_juice,Berries nes,1.04,215,2.15e-4,1303227000
2100228000,Mushroom,veg_oth,Mushrooms and truffles,1.03,473,4.73e-4,2100228000
402229000,Mustard greens,veg_dg,Spinach,1.08,111,1.11e-4,402229000
1202230000,Nectarine,fruit_exc_juice,Peaches and nectarines,1.1,104,1.04e-4,1202230000
1500231000,"Oat, bran",gr_whole,Oats rolled,1,77,7.7e-5,1500231000
1500232000,"Oat, flour",gr_whole,Oats rolled,1,77,7.7e-5,1500232000
1500233000,"Oat, groats/rolled oats",gr_whole,Oats rolled,1,77,7.7e-5,1500233000
802234000,Okra,veg_oth,Okra,1.16,87,8.7e-5,802234000
2301235000,Olive,veg_oth,Olives,1.163,91,9.1e-5,2301235000
2301236000,"Olive, oil",oil,Olives,5,91,9.1e-5,2301236000
301237000,"Onion, bulb",veg_oth,"Onions, dry",1.11,120,1.2e-4,301237000
301238000,"Onion, bulb, dried",veg_oth,"Onions, dry",8.688,120,1.2e-4,301238000
302239000,"Onion, green",veg_oth,"Leeks, other alliaceous vegetables",1.04,249,2.49e-4,302239000
1001240000,Orange,fruit_exc_juice,Oranges,1.37,64,6.4e-5,1001240000
1001241000,"Orange, juice",fruit_juice,"Juice, orange, single strength",1,292,2.92e-4,1001241000
1001242000,"Orange, peel",fruit_exc_juice,Oranges,1,64,6.4e-5,1001242000
2201243000,"Palm heart, leaves",veg_dg,Coconuts,1,88,8.8e-5,2201243000
9500244000,"Palm, oil",oil,"Oil, palm kernel",1,3715,0.003715,9500244000
2402245000,Papaya,fruit_exc_juice,Papayas,1.49,342,3.42e-4,2402245000
2402246000,"Papaya, dried",fruit_exc_juice,Papayas,10.7,342,3.42e-4,2402246000
2402247000,"Papaya, juice",fruit_juice,Papayas,1.49,342,3.42e-4,2402247000
1901249000,"Parsley, dried leaves",veg_oth,"Vegetables, fresh nes",7.65744507729861,58,5.8e-5,1901249000
401248000,"Parsley, leaves",veg_dg,"Vegetables, fresh nes",1.05,58,5.8e-5,401248000
101250000,"Parsley, turnip rooted",veg_oth,Carrots and turnips,1,57,5.7e-5,101250000
101251000,Parsnip,veg_oth,"Vegetables, fresh nes",1.14,58,5.8e-5,101251000
2405252000,Passionfruit,fruit_exc_juice,"AVERAGE(Mangoes, mangosteens, guavas; Pineapples; Avocados; Papayas)",1.28,474,4.74e-4,2405252000
2405253000,"Passionfruit, juice",fruit_juice,Papayas,1.88,342,3.42e-4,2405253000
2402254000,Pawpaw,fruit_exc_juice,"Fruit, fresh nes",1,331,3.31e-4,2402254000
603256000,"Pea, dry",leg_tot,"Peas, dry",1,25,2.5e-5,603256000
601257000,"Pea, edible podded, succulent",leg_tot,"Peas, green",1.06,86,8.6e-5,601257000
603258000,"Pea, pigeon, seed",leg_tot,"Peas, dry",1,25,2.5e-5,603258000
602259000,"Pea, pigeon, succulent",leg_tot,"Peas, green",1,86,8.6e-5,602259000
602255000,"Pea, succulent",leg_tot,"Peas, green",1,86,8.6e-5,602255000
1202260000,Peach,fruit_exc_juice,Peaches and nectarines,1.04,104,1.04e-4,1202260000
1202261000,"Peach, dried",fruit_exc_juice,Peaches and nectarines,6.38,104,1.04e-4,1202261000
1202262000,"Peach, juice",fruit_juice,Peaches and nectarines,1.63,104,1.04e-4,1202262000
9500263000,Peanut,pf_ns,"Groundnuts, shelled",1,285,2.85e-4,9500263000
9500264000,"Peanut, butter",pf_ns,Peanut butter,1,564,5.64e-4,9500264000
9500265000,"Peanut, oil",oil,"Groundnuts, shelled",2.3255813953488373,285,2.85e-4,9500265000
1100266000,Pear,fruit_exc_juice,Pears,1.11,142,1.42e-4,1100266000
1100267000,"Pear, dried",fruit_exc_juice,Pears,5,142,1.42e-4,1100267000
1100268000,"Pear, juice",fruit_juice,Pears,1.5,142,1.42e-4,1100268000
1400269000,Pecan,pf_ns,"Walnuts, shelled",1,766,7.66e-4,1400269000
802270000,"Pepper, bell",veg_ro,"Chillies and peppers, green",1.22,434,4.34e-4,802270000
802271000,"Pepper, bell, dried",veg_ro,"Chillies and peppers, dry",1.37,1544,0.001544,802271000
1902274000,"Pepper, black and white",veg_oth,Pepper (piper spp.),1,5315,0.005315,1902274000
802272000,"Pepper, nonbell",veg_oth,"Chillies and peppers, green",1.21,434,4.34e-4,802272000
802273000,"Pepper, nonbell, dried",veg_oth,"Chillies and peppers, dry",1.37,1544,0.001544,802273000
9500275000,Peppermint,veg_oth,Spinach,1,111,1.11e-4,9500275000
9500276000,"Peppermint, oil",oil,None,0,0,0,9500276000
2402277000,Persimmon,fruit_exc_juice,Persimmons,1.19,205,2.05e-4,2402277000
1400278000,Pine nut,pf_ns,Pistachios,1,81,8.1e-5,1400278000
2403279000,Pineapple,fruit_exc_juice,Pineapples,1.96,225,2.25e-4,2403279000
2403280000,"Pineapple, dried",fruit_exc_juice,Pineapples,9.7,225,2.25e-4,2403280000
2403281000,"Pineapple, juice",fruit_juice,"Juice, pineapple",1,624,6.24e-4,2403281000
1400282000,Pistachio,pf_ns,Pistachios,1.03,81,8.1e-5,1400282000
2402283000,Plantain,veg_sta,Plantains and others,1.54,143,1.43e-4,2402283000
2402284000,"Plantain, dried",veg_sta,Plantains and others,3.157,143,1.43e-4,2402284000
1203285000,Plum,fruit_exc_juice,Plums and sloes,1.06,86,8.6e-5,1203285000
1203287000,"Plum, prune, dried",fruit_exc_juice,Plums dried (prunes),1,543,5.43e-4,1203287000
1203286000,"Plum, prune, fresh",fruit_exc_juice,Plums and sloes,1.06,86,8.6e-5,1203286000
1203288000,"Plum, prune, juice",fruit_juice,Plums and sloes,1.63,86,8.6e-5,1203288000
2402289000,Pomegranate,fruit_exc_juice,"Fruit, fresh nes",1.79,331,3.31e-4,2402289000
2402290000,"Pomegranate, juice",fruit_juice,"Juice, fruit nes",1,3039,0.003039,2402290000
3400293000,"Pork, fat",sat_fat,"Meat, pork",1,830,8.3e-4,3400293000
3400294000,"Pork, kidney",pf_redm,"Meat, pork",1,830,8.3e-4,3400294000
3400295000,"Pork, liver",pf_redm,"Meat, pork",1,830,8.3e-4,3400295000
3400290000,"Pork, meat",pf_redm,"Meat, pork",1,830,8.3e-4,3400290000
3400292000,"Pork, meat byproducts",pf_redm,"Meat, pork",1,830,8.3e-4,3400292000
3400291000,"Pork, skin",pf_redm,"Meat, pork",1,830,8.3e-4,3400291000
103296000,"Potato, chips",veg_sta,"Flour, potatoes",1,129,1.29e-4,103296000
