FNDDS_Code,FNDDS_Desc,FL_Score,FL_Score_Value_chr,FL_Score_Value,FL_Score_Value_grams
26101110,"Anchovy, cooked, NS as to cooking method","Pelagic, average (excluding tuna)",996,996,9.96e-4
26101180,"Anchovy, canned","Pelagic, canned (excluding tuna)",1567,1567,0.001567
27351040,"Biscayne codfish, Puerto Rican style","Demersal, average",1306,1306,0.001306
26105120,"Carp, baked or broiled, fat added in cooking","Freshwater, average (excluding tilapia)",751,751,7.51e-4
26105140,"Carp, coated, fried","Freshwater, average (excluding tilapia)",751,751,7.51e-4
26105160,"Carp, steamed or poached","Freshwater, average (excluding tilapia)",751,751,7.51e-4
26107121,"Catfish, baked or broiled, made with butter","Demersal, average",1306,1306,0.001306
26107120,"Catfish, baked or broiled, made with oil","Demersal, average",1306,1306,0.001306
26107123,"Catfish, baked or broiled, made without fat","Demersal, average",1306,1306,0.001306
26107123,"Catfish, baked or broiled, no added fat","Demersal, average",1306,1306,0.001306
26107131,"Catfish, coated, baked or broiled, made with butter","Demersal, average",1306,1306,0.001306
26107130,"Catfish, coated, baked or broiled, made with oil","Demersal, average",1306,1306,0.001306
26107133,"Catfish, coated, baked or broiled, made without fat","Demersal, average",1306,1306,0.001306
26107144,"Catfish, coated, fried, made with cooking spray","Demersal, average",1306,1306,0.001306
26107140,"Catfish, coated, fried, made with oil","Demersal, average",1306,1306,0.001306
26107143,"Catfish, coated, fried, made without fat","Demersal, average",1306,1306,0.001306
26107143,"Catfish, coated, fried, no added fat","Demersal, average",1306,1306,0.001306
26107110,"Catfish, cooked, NS as to cooking method","Demersal, average",1306,1306,0.001306
26107160,"Catfish, steamed or poached","Demersal, average",1306,1306,0.001306
28350220,"Clam chowder, Manhattan","Molluscs, average",2043,2043,0.002043
28355110,"Clam chowder, New England, NS as to prepared with water or milk","Molluscs, average",2043,2043,0.002043
28355120,"Clam chowder, New England, prepared with milk","Molluscs, average",2043,2043,0.002043
28355140,"Clam chowder, New England, reduced sodium, canned or ready-to-serve","Molluscs, average",2043,2043,0.002043
28350210,"Clam chowder, NS as to Manhattan or New England style","Molluscs, average",2043,2043,0.002043
26303120,"Clams, baked or broiled, fat added","Molluscs, average",2043,2043,0.002043
26303120,"Clams, baked or broiled, fat added in cooking","Molluscs, average",2043,2043,0.002043
26303121,"Clams, baked or broiled, fat not added in cooking","Molluscs, average",2043,2043,0.002043
26303140,"Clams, coated, fried","Molluscs, average",2043,2043,0.002043
26303110,"Clams, cooked, NS as to cooking method","Molluscs, average",2043,2043,0.002043
26303100,"Clams, raw","Molluscs, average",2043,2043,0.002043
26303160,"Clams, steamed or boiled","Molluscs, average",2043,2043,0.002043
26109121,"Cod, baked or broiled, made with butter","Demersal, average",1306,1306,0.001306
26109122,"Cod, baked or broiled, made with margarine","Demersal, average",1306,1306,0.001306
26109120,"Cod, baked or broiled, made with oil","Demersal, average",1306,1306,0.001306
26109123,"Cod, baked or broiled, no added fat","Demersal, average",1306,1306,0.001306
26109134,"Cod, coated, baked or broiled, made with cooking spray","Demersal, average",1306,1306,0.001306
26109130,"Cod, coated, baked or broiled, made with oil","Demersal, average",1306,1306,0.001306
26109133,"Cod, coated, baked or broiled, made without fat","Demersal, average",1306,1306,0.001306
26109133,"Cod, coated, baked or broiled, no added fat","Demersal, average",1306,1306,0.001306
26109141,"Cod, coated, fried, made with butter","Demersal, average",1306,1306,0.001306
26109144,"Cod, coated, fried, made with cooking spray","Demersal, average",1306,1306,0.001306
26109140,"Cod, coated, fried, made with oil","Demersal, average",1306,1306,0.001306
26109110,"Cod, cooked, NS as to cooking method","Demersal, average",1306,1306,0.001306
26109160,"Cod, steamed or poached","Demersal, average",1306,1306,0.001306
27250030,Codfish ball or cake,"Demersal, average",1306,1306,0.001306
27451070,"Codfish salad, Puerto Rican style, Serenata","Demersal, average",1306,1306,0.001306
27151070,"Stewed codfish, no potatoes, Puerto Rican style","Demersal, average",1306,1306,0.001306
26109170,"Cod, dried, salted","Demersal, cured",4618,4618,0.004618
26109180,"Cod, dried, salted, salt removed in water","Demersal, cured",4618,4618,0.004618
27250040,Crab cake,"Crustaceans, average (excluding shrimps)",6158,6158,0.006158
