risk_factor,subgroup,ECA,SCC,LVC,PC,CC,UC,OC,GC,KC,BC,TC,MMC,APCA,ALL,Larynx,LC,MC,MLPC,SCNC,ECAse,SCCse,LVCse,PCse,CCse,UCse,OCse,GCse,KCse,BCse,TCse,MMCse,APCAse,ALLse,Larynxse,LCse,MCse,MLPCse,SCNCse
BMI,1,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,2,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,3,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,4,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,5,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,6,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,7,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,8,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,9,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,10,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
BMI,11,0.392042088,0.207014169,0.262364265,0.09531018,0.0487902,0.431782416,0.058268908,0.223143551,0.262364265,0.1133287,0.058268908,0.086177696,0.07696104,0,0,0,0,0,0,0.046114317,0.066050034,0.059220496,0.018223512,0.04797339,0.022679471,0.023515871,0.046768974,0.019255269,0.0136697,0.018898608,0.03175628,0.03922071,0,0,0,0,0,0
