diet_pattern,food_group,outcome,impact_median_year,LB_year,UB_year,combined_consumed_impact_median_year,LB_consumed_year,UB_consumed_year,combined_unconsumed_impact_median_year,LB_unconsumed_year,UB_unconsumed_year,sum,sum_LB,sum_UB,sum_consumed,sum_consumed_LB,sum_consumed_UB,sum_unconsumed,sum_unconsumed_LB,sum_unconsumed_UB,prop,prop_LB,prop_UB,prop_consumed,prop_consumed_LB,prop_consumed_UB,prop_unconsumed,prop_unconsumed_LB,prop_unconsumed_UB
Med,added_sugar,BLUEWATER (L),-3716.049356920374,-3788.590810648434,-3633.183261387614,-2463.179687308112,-2511.309226969342,-2408.2478866926167,-1252.8696696122472,-1277.2815836790846,-1224.9353746949976,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,-11.229750748049726,-13.718559762504622,-9.465224889464622,-13.839266949781202,-18.3343185687026,-11.086148726066003,-8.193479539036911,-9.190850712301652,-7.338182611400256
Med,dairy_cow,BLUEWATER (L),5151.058899201854,4941.751411557123,5369.566001394045,3900.3659948479367,3742.7257865624038,4065.8935918652287,1250.684889907491,1199.4880650005744,1303.6678693094718,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,15.566291502247045,17.894176346609672,13.988875899039229,21.914035132183006,27.324523061201987,18.716969010063504,8.179191582162863,8.631077029117883,7.809842941298034
Med,dairy_soy,BLUEWATER (L),-8.139631741599558,-10.768977892583642,-5.470645046715406,-6.3992210930784585,-8.466362197803129,-4.300915359201103,-1.7404106485210988,-2.3026156947805285,-1.1697296875142995,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,-0.024597637668308168,-0.038994674849885495,-0.01425220858190909,-0.03595374281222938,-0.061810381607154685,-0.01979887020509648,-0.011381885429944956,-0.01656877964025179,-0.00700746360198258
Med,dairy_tot,BLUEWATER (L),0,0,0,0,0,0,0,0,0,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,0,0,0,0,0,0,0,0,0
Med,fruit_exc_juice,BLUEWATER (L),32421.615846598364,31671.119507134692,33238.86419111162,18151.094354359102,17734.658315537996,18592.614230065785,14269.252351464153,13919.9950652917,14665.61608682883,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,97.97681081072905,114.68172928120724,86.5944000080757,101.98112687230049,129.47544323586152,85.58939787712525,93.31762913157603,100.1631889129434,87.85685447335192
Med,fruit_juice,BLUEWATER (L),11640.704766256034,11329.239975905277,11937.316735232584,10141.992831507925,9867.838660410222,10403.396375394927,1499.1094925052387,1459.862487264335,1536.8028532071867,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,35.17773864150824,41.02339456569922,31.09928108404645,56.982341532458626,72.04214265674308,47.8910830197959,9.803831357350317,10.504636058627282,9.20647750691605
Med,gr_refined,BLUEWATER (L),-10990.762511755927,-11246.920888400986,-10745.620076877196,-8500.029672307695,-8702.087280271988,-8311.249139874952,-2489.9196482016387,-2546.90066252092,-2434.837863622163,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,-33.21363945507807,-40.725315575920646,-27.994654628443648,-47.757043597856246,-63.53134002605613,-38.26007470957759,-16.283501936558242,-18.326564844743913,-14.586308177164012
Med,gr_whole,BLUEWATER (L),9837.98320066876,9687.91888331277,9988.58455957218,7882.801574365807,7763.056094854935,8003.5091093966985,1954.7539594803484,1925.4038912277936,1984.3437692879497,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,29.729987036170012,35.080139507669905,26.022414060026122,44.28917462332008,56.67575381847482,36.843421645871835,12.78364139488708,13.85450158467599,11.887547085049288
Med,leg_tot,BLUEWATER (L),1354.8095216502895,1246.149073611759,1468.9058029753796,1088.2820316106734,998.1115923662866,1183.901723546722,266.38837698208084,246.87864772430544,285.89588419896114,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,4.094179537977335,4.512329621685045,3.8268159810059883,6.114464823542689,7.2869146121215325,5.449983225069916,1.742118728850258,1.7764483762094945,1.712707665595908
Med,oil,BLUEWATER (L),-102.96008113831232,-141.9409202097566,-63.63295576791086,-85.75332307348943,-118.29015824598838,-52.87216478346284,-17.213072515013753,-23.661062315860462,-10.759867202214389,33091.111639906536,27616.53465259056,38384.54240460331,17798.48380876167,13697.314233735662,21723.03426734922,15291.057524987895,13897.316186079328,16692.62594790153,-0.3111411978500796,-0.5139707859633356,-0.1657775546655458,-0.4818012814736252,-0.8636011135281311,-0.24339217133645225,-0.11256953606305514,-0.170256343016512,-0.06445880495852743
