diet_pattern,outcome,age_gp,sex_gp,perc_change,perc_change_LB,perc_change_UB
Med,BLUEWATER (L),20-34,Female,23.49702731548591,40.048763578696914,10.504532665719625
Med,BLUEWATER (L),20-34,Male,13.954475501440019,28.707016376938867,2.274917500169274
Med,BLUEWATER (L),35-44,Female,21.82707119081904,41.13862347773871,6.914346217434492
Med,BLUEWATER (L),35-44,Male,12.93982363883352,34.32791850611939,-2.4418938907624836
Med,BLUEWATER (L),45-54,Female,16.95717166718315,43.75661775103937,-1.1796938090802347
Med,BLUEWATER (L),45-54,Male,11.754777060410584,32.71630359412999,-3.452878226950774
Med,BLUEWATER (L),55-64,Female,18.342165182818643,40.067697402857725,2.515586312537101
Med,BLUEWATER (L),55-64,Male,12.205207932022196,34.25162735940815,-3.527575055521993
Med,BLUEWATER (L),65-74,Female,15.49979555990427,39.6709391272686,-1.4213687673443165
Med,BLUEWATER (L),65-74,Male,10.880827949641308,35.03206057220782,-5.738223224722632
Med,BLUEWATER (L),75+,Female,17.839193702714667,46.066699082534406,-1.0343873526409952
Med,BLUEWATER (L),75+,Male,15.394067612985147,45.9437089585969,-4.632687400330941
US,BLUEWATER (L),20-34,Female,20.217609267133135,36.18660181462069,7.534684728339856
US,BLUEWATER (L),20-34,Male,11.838763381854864,26.478648720642067,0.27104789439601995
US,BLUEWATER (L),35-44,Female,18.438914731851625,37.43507245689612,4.093759804061407
US,BLUEWATER (L),35-44,Male,9.730973361504228,30.30452313914938,-5.183587700089311
US,BLUEWATER (L),45-54,Female,13.449430442535373,38.881571231752254,-4.346169173013353
US,BLUEWATER (L),45-54,Male,9.11374737769636,29.851743434028844,-5.782952657496965
US,BLUEWATER (L),55-64,Female,14.372591446914537,35.20436101074787,-0.9736618979620837
US,BLUEWATER (L),55-64,Male,8.969249605620485,30.817571416480405,-6.494956507270495
US,BLUEWATER (L),65-74,Female,12.246477997840971,35.877501438304435,-4.443101050246434
US,BLUEWATER (L),65-74,Male,7.447259363646206,30.585682622062194,-8.770129810341833
US,BLUEWATER (L),75+,Female,14.373049553177298,41.18580869405402,-4.225438955394769
US,BLUEWATER (L),75+,Male,11.335164221130809,40.7603544507692,-8.01389439531138
Veg,BLUEWATER (L),20-34,Female,3.703237206715284,17.54296818354419,-7.3721168092300795
Veg,BLUEWATER (L),20-34,Male,-3.688795611487941,8.825032700001472,-13.574515766752313
Veg,BLUEWATER (L),35-44,Female,3.052727609695931,19.602376554402635,-9.454447706382938
Veg,BLUEWATER (L),35-44,Male,-4.726539541350857,13.007921677224212,-17.68430582934265
