diet_pattern,outcome,age_gp,sex_gp,race_gp,total_impact_current,total_LB_current,total_UB_current,total_impact_CF,total_LB_CF,total_UB_CF,perc_change,perc_change_LB,perc_change_UB
Med,BLUEWATER (L),20-34,Female,HIS,517.8623142734767,461.6867377044687,574.9996538972446,615.8909402686049,615.8909402686049,615.8909402686049,18.92947667618086,33.40018024577613,7.111532345142568
Med,BLUEWATER (L),20-34,Female,NHB,455.41709222656755,406.90337040257725,504.27288156613605,580.7301821205041,580.7301821205041,580.7301821205041,27.51611479518076,42.719432760153374,15.161890188683596
Med,BLUEWATER (L),20-34,Female,NHW,487.3950626972316,436.8921218972777,537.7298478269884,604.0327369834187,604.0327369834187,604.0327369834187,23.93082803110832,38.25672441981893,12.330148572627289
Med,BLUEWATER (L),20-34,Female,OTH,560.6751198949743,476.97310226284134,642.0059976003406,695.6527948101906,695.6527948101906,695.6527948101906,24.07413315227905,45.84738458204366,8.35612087898998
Med,BLUEWATER (L),20-34,Male,HIS,549.9881398739893,489.56016204528805,609.4348361430793,608.8213301846429,608.8213301846429,608.8213301846429,10.697174365275064,24.360880926484015,-0.10066801601286007
Med,BLUEWATER (L),20-34,Male,NHB,477.8495565311301,419.7501974551018,535.7892367167025,579.9058052121088,579.9058052121088,579.9058052121088,21.357401568359553,38.15498092151295,8.233940787192948
Med,BLUEWATER (L),20-34,Male,NHW,498.8089679137008,445.58450187690784,551.2689892446916,559.2351564632177,559.2351564632177,559.2351564632177,12.114094259823172,25.505971169909692,1.4450599206461254
Med,BLUEWATER (L),20-34,Male,OTH,571.8321109366534,503.05395071239144,641.627114670501,643.3481899914478,643.3481899914478,643.3481899914478,12.50648183041908,27.888507600503097,0.26823606446723924
Med,BLUEWATER (L),35-44,Female,HIS,531.7082764221653,467.87666396329024,597.3636874599647,601.3776557637021,601.3776557637021,601.3776557637021,13.102933023788546,28.53337259215955,0.6719471551418094
Med,BLUEWATER (L),35-44,Female,NHB,478.59387012251824,414.740412167258,542.6737211715614,627.6644277538791,627.6644277538791,627.6644277538791,31.147611145374537,51.339104977489455,15.661474522634682
Med,BLUEWATER (L),35-44,Female,NHW,490.3695910547083,425.39234230157655,557.49061733818,594.5443395290347,594.5443395290347,594.5443395290347,21.244128994675794,39.7637616869793,6.646519428035061
Med,BLUEWATER (L),35-44,Female,OTH,572.8284059611592,481.78024636198995,665.1899678343092,702.4980729906314,702.4980729906314,702.4980729906314,22.63673827625519,45.812967280273895,5.608639179840306
Med,BLUEWATER (L),35-44,Male,HIS,552.8881947253597,482.5358013226774,623.2274379360548,583.1021672610299,583.1021672610299,583.1021672610299,5.464752697546498,20.841223731522163,-6.438302974578264
Med,BLUEWATER (L),35-44,Male,NHB,544.052983505978,458.4932736727242,629.3270147225446,653.5067538137456,653.5067538137456,653.5067538137456,20.118218928316008,42.53355312693714,3.84215813488656
Med,BLUEWATER (L),35-44,Male,NHW,588.4848648550678,480.4854483409388,692.1231922689027,717.2846360174897,717.2846360174897,717.2846360174897,21.886675232360083,49.2833213772012,3.63539959788131
Med,BLUEWATER (L),35-44,Male,OTH,587.3100766342919,489.349721367705,686.394510690716,612.9306082963589,612.9306082963589,612.9306082963589,4.362351793602955,25.254103871409633,-10.702868576328017
Med,BLUEWATER (L),45-54,Female,HIS,552.2370151019952,485.8094375655636,621.7590024572526,645.2494914454256,645.2494914454256,645.2494914454256,16.84285439038372,32.81946408427778,3.7780697819149145
Med,BLUEWATER (L),45-54,Female,NHB,519.5511590043578,443.8570133874941,596.809084410669,642.0124337743382,642.0124337743382,642.0124337743382,23.570590238824433,44.64397641811089,7.574172468957327
Med,BLUEWATER (L),45-54,Female,NHW,499.72775576259187,409.0705417271945,588.275359299914,612.1584004932255,612.1584004932255,612.1584004932255,22.498379054223797,49.646170537860066,4.0598404838397135
Med,BLUEWATER (L),45-54,Female,OTH,606.3922576684288,433.16043889611535,770.7844886520809,647.7994919387337,647.7994919387337,647.7994919387337,6.828456951201067,49.551859719602675,-15.95582144218013
Med,BLUEWATER (L),45-54,Male,HIS,551.5904990370198,474.30032522762957,629.1870110819372,621.1148721826158,621.1148721826158,621.1148721826158,12.604345663490117,30.95392078521683,-1.2829474793894158
Med,BLUEWATER (L),45-54,Male,NHB,550.2695908852895,467.86740609622865,634.9280891705649,636.2377695105232,636.2377695105232,636.2377695105232,15.622920119377415,35.98676916161691,0.20627223181591653
Med,BLUEWATER (L),45-54,Male,NHW,518.5374000773539,455.1040380980109,579.95807115253206,615.5018250438209,615.5018250438209,615.5018250438209,18.699601022414594,35.24420209852474,6.128676478396767
Med,BLUEWATER (L),45-54,Male,OTH,603.0507610659007,474.9998119438296,729.6023462068688,611.9551692949593,611.9551692949593,611.9551692949593,1.4765603169656816,28.83271822586008,-16.124835333047603
Med,BLUEWATER (L),55-64,Female,HIS,545.8066299735619,473.4363426870909,617.3127296486153,633.6686535177752,633.6686535177752,633.6686535177752,16.09764680734441,33.84453122488462,2.6495361400484785
Med,BLUEWATER (L),55-64,Female,NHB,499.60926794183786,430.7720868292463,567.4553890447822,623.1287506287184,623.1287506287184,623.1287506287184,24.723216844179944,44.65392946310385,9.81105522279965
Med,BLUEWATER (L),55-64,Female,NHW,521.3008916433279,456.51596218903484,587.2045364851219,614.2084714192986,614.2084714192986,614.2084714192986,17.82225606464869,34.54260579939288,4.598727233242491
Med,BLUEWATER (L),55-64,Female,OTH,607.6338932873475,476.36847442962056,738.0590085947016,702.1678011816551,702.1678011816551,702.1678011816551,15.557708175702919,47.400140620639355,-4.862918411006861
Med,BLUEWATER (L),55-64,Male,HIS,571.9316096746886,492.908584895199,650.0379589701797,620.9803977230632,620.9803977230632,620.9803977230632,8.575988320749271,25.982873245166655,-4.470132989333551
Med,BLUEWATER (L),55-64,Male,NHB,519.4448468599348,450.7931597690546,588.5951556010154,634.5844032287819,634.5844032287819,634.5844032287819,22.16588672789235,40.77063714850623,7.813392140614328
Med,BLUEWATER (L),55-64,Male,NHW,550.5197505575359,469.9419640822057,633.5995003865106,642.6488883079238,642.6488883079238,642.6488883079238,16.734937785081218,36.750692090886986,1.4282504825039888
Med,BLUEWATER (L),55-64,Male,OTH,567.9506762669351,433.3084207903304,697.997470871926,581.3496011926152,581.3496011926152,581.3496011926152,2.3591705205369946,34.165313504008516,-16.711789733793214
Med,BLUEWATER (L),65-74,Female,HIS,528.4120513231067,431.0229956240407,623.2195709518055,611.6367040299183,611.6367040299183,611.6367040299183,15.749953563402455,41.9034970847397,-1.8585531427065753
Med,BLUEWATER (L),65-74,Female,NHB,495.7194016567943,424.5288409391806,567.751863212277,624.8919877140319,624.8919877140319,624.8919877140319,26.05760146274621,47.196592422693826,10.064277760087363
Med,BLUEWATER (L),65-74,Female,NHW,557.7206167687704,479.41246039046354,633.3229791733312,654.9119152943989,654.9119152943989,654.9119152943989,17.42652066346757,36.60719514069318,3.4088351174699985
Med,BLUEWATER (L),65-74,Female,OTH,628.2715622684407,492.6802313578758,765.200129933621,661.2476695625462,661.2476695625462,661.2476695625462,5.248702834016842,34.21437018897262,-13.58500296910462
Med,BLUEWATER (L),65-74,Male,HIS,578.7856245476864,467.31393809864903,690.4319922960979,621.857702062191,621.857702062191,621.857702062191,7.441801538897044,33.07065151797765,-9.932084694664342
Med,BLUEWATER (L),65-74,Male,NHB,539.22367947202,452.4913115971179,625.6469960825509,615.9736038201047,615.9736038201047,615.9736038201047,14.233411341140343,36.129377080403614,-1.5461422052715905
Med,BLUEWATER (L),65-74,Male,NHW,574.941186743315,499.70961089625683,647.1403775784032,629.9374044232413,629.9374044232413,629.9374044232413,9.56553799727686,26.06069418865364,-2.65830625799233
Med,BLUEWATER (L),65-74,Male,OTH,533.2940561888673,408.5535073078998,655.5286253193216,600.7096755384587,600.7096755384587,600.7096755384587,12.641359596499225,47.03329301876326,-8.36255621242466
Med,BLUEWATER (L),75+,Female,HIS,481.36112567915666,389.5245400662544,572.5520831264448,572.1691279127297,572.1691279127297,572.1691279127297,18.864839179826,46.88910942951352,-0.06688565547155229
Med,BLUEWATER (L),75+,Female,NHB,492.2650029722944,397.80132574743305,585.0076872631392,565.3323209609164,565.3323209609164,565.3323209609164,14.84308605069257,42.11423752766726,-3.363266283605739
Med,BLUEWATER (L),75+,Female,NHW,507.89131555458937,459.9979831810857,556.5879298228762,615.6449855416997,615.6449855416997,615.6449855416997,21.215891409651153,33.83645321317442,10.610552718528657
