outcome,impact_consumed_LB_Med,impact_consumed_UB_Med,impact_unconsumed_LB_Med,impact_unconsumed_UB_Med,impact_median_10perc_Med,impact_LB_10perc_Med,impact_UB_10perc_Med,impact_median_consumed_10perc_Med,impact_consumed_LB_10perc_Med,impact_consumed_UB_10perc_Med,impact_median_unconsumed_10perc_Med,impact_unconsumed_LB_10perc_Med,impact_unconsumed_UB_10perc_Med,impact_consumed_LB_US,impact_consumed_UB_US,impact_unconsumed_LB_US,impact_unconsumed_UB_US,impact_median_10perc_US,impact_LB_10perc_US,impact_UB_10perc_US,impact_median_consumed_10perc_US,impact_consumed_LB_10perc_US,impact_consumed_UB_10perc_US,impact_median_unconsumed_10perc_US,impact_unconsumed_LB_10perc_US,impact_unconsumed_UB_10perc_US,impact_consumed_LB_Veg,impact_consumed_UB_Veg,impact_unconsumed_LB_Veg,impact_unconsumed_UB_Veg,impact_median_10perc_Veg,impact_LB_10perc_Veg,impact_UB_10perc_Veg,impact_median_consumed_10perc_Veg,impact_consumed_LB_10perc_Veg,impact_consumed_UB_10perc_Veg,impact_median_unconsumed_10perc_Veg,impact_unconsumed_LB_10perc_Veg,impact_unconsumed_UB_10perc_Veg,impact_consumed_LB_Vegan,impact_consumed_UB_Vegan,impact_unconsumed_LB_Vegan,impact_unconsumed_UB_Vegan,impact_median_10perc_Vegan,impact_LB_10perc_Vegan,impact_UB_10perc_Vegan,impact_median_consumed_10perc_Vegan,impact_consumed_LB_10perc_Vegan,impact_consumed_UB_10perc_Vegan,impact_median_unconsumed_10perc_Vegan,impact_unconsumed_LB_10perc_Vegan,impact_unconsumed_UB_10perc_Vegan
BLUEWATER (L),10997817555.7478,12879035592.8131,9952356197.15335,10609758254.6237,810155566081.2166,767175878717.1063,854875066059.5605,435714285425.80975,401420340784.7947,470084799137.67816,374211844087.8105,363261001196.09735,387256176293.765,8827991321.51981,10715218072.0177,7734891552.42181,8433068851.0913,652887685060.8113,605141313537.699,694706527469.1171,357090284529.7243,322221683235.4731,391105459628.64606,295042343211.96106,282323541663.3961,307807013064.83246,-6074157070.41044,-4206247020.27927,2458926433.19171,3129422880.07789,-84966124409.57927,-129000772133.65251,-40561384492.16973,-187488581064.9067,-221706733069.98105,-153528016240.19336,102259520372.27385,89750814811.49742,114223935122.84299,-17297780192.4925,-15433324560.4804,-1674624798.91465,-1011297390.35971,-646841784144.0483,-690802147626.7642,-602255397039.3726,-598034006102.3535,-631368977025.9762,-563316346457.5345,-49182038882.87547,-61123805160.38473,-36912354748.12942
CED (mJ),1671041666.3111,1760295272.83518,1065199965.31273,1109376517.49463,102296759977.05246,99846907417.42944,104728351638.86064,62641377935.519424,60993020820.355156,64250777458.48408,39662610277.67855,38879798733.91464,40492242888.554,891693582.642782,980238322.219958,513521399.924649,557385919.080437,53608349418.44954,51367418395.43242,56100865402.382935,34089644293.32329,32546815766.461544,35778698761.028465,19517250200.84257,18743531097.249687,20344586046.43595,-1143576109.80049,-1060011632.16576,-437448390.89515,-394597839.51288,-55478645805.161934,-57716762707.87146,-53154925535.506355,-40268266039.61813,-41740528007.71788,-38690424574.05025,-15201280871.108953,-15966866267.672976,-14402821142.22012,-2094578462.39506,-2011884877.59784,-756843281.191615,-714766313.67383,-101756427095.52293,-104023256203.81519,-99546376575.4601,-74902483731.50351,-76452113877.4197,-73433798032.32117,-26839038596.012875,-27624779763.49395,-26088970449.094795
CVD (deaths),NA,NA,NA,NA,23568.03031374776,20485.120938628017,26913.746313880452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20992.331621043668,18148.504802196177,24067.342284585913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34412.99919561354,30367.719103956606,38564.19213313655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34412.99321076215,30367.71731065194,38564.18938963477,NA,NA,NA,NA,NA,NA
Cancer (cases),NA,NA,NA,NA,5442.541623375657,4736.279821311366,6186.9955466404635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5828.0075684409185,5134.778792417665,6558.041342722443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8650.90391906922,7649.296101019951,9698.06098471125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7574.9151452329825,6654.581816241353,8547.05775622981,NA,NA,NA,NA,NA,NA
FL (mrh-eq),30933990.0588321,33117307.3359158,19502565.705657,20352781.4286362,1896422444.3244512,1842691441.4947348,1948481242.8037992,1169682826.5432036,1129090637.1473718,1208781717.7609267,726643228.0251516,711843648.2564806,742876522.1452214,20292662.1954145,22329615.4902584,11788151.9275461,12634909.7553288,1223180026.3201716,1172880150.999734,1275160479.3029618,778521366.1079968,740682170.1326292,815030965.3944316,445250751.5165018,430267545.3554326,461174206.0695012,-13758841.2341884,-11686966.6740327,-2893545.18534839,-2075106.32302504,-554582326.8025465,-606307886.6100935,-501398615.7112433,-463257926.0721225,-502197705.04787666,-426574283.60219353,-91214932.1074384,-105614399.26521625,-75741380.79041396,-6946031.73236149,-4911723.25037437,-2506313.32966676,-1703909.13454452,-292508522.69620275,-344259486.18657535,-242971512.45867807,-215733512.2174593,-253530158.23119438,-179277898.6386645,-76987593.17696108,-91480436.53283674,-62192683.410874985
Food_price ($),512201076.422222,575241255.39144,591605249.791475,627744142.133117,42075052917.08033,40320398675.68747,43861982388.97679,19850630435.09008,18695339289.411106,20996305821.78756,22243229156.36949,21593591617.38884,22912661187.85877,137024728.308501,198624801.799644,283218483.574378,319558901.636224,17027125936.75397,15377856331.7578,18819758950.14584,6074168225.843362,5001402583.260286,7249805265.687006,10963400575.14794,10337474650.464798,11663899909.722176,-981851995.805588,-919697669.746626,-200745900.409742,-165879454.907734,-41399503241.82931,-43026403862.04877,-39703045142.37531,-34711939693.45824,-35837597846.90396,-33568964945.75185,-6688620677.6443405,-7327225364.955583,-6054600104.132291,-1325012644.63326,-1265872924.28859,-345782568.103283,-312000813.348009,-59280480307.63851,-60926529179.13909,-57661291389.05773,-47300530142.78584,-48362961529.11399,-46204361736.53353,-12005295396.297438,-12621063735.769829,-11388029687.202328
GHG (kgCO2eq),34582103.3176162,55574996.7851665,51710097.5996542,58514210.2463007,3677983338.062833,3142749503.8231354,4155421798.7580605,1663833107.2849514,1262246771.0929914,2028487382.6585774,2014427636.1964378,1887418562.3873782,2135768673.9899755,23973374.7958622,45129345.2950533,29299351.1306536,36014440.9600185,2459691904.724144,1945210743.5398486,2956850787.305895,1267184589.9106712,875028180.0489705,1647221103.2694454,1191476752.7252622,1069426316.2688564,1314527095.0406752,-374041315.180418,-353217507.507909,-111103889.213593,-104564653.853093,-17212468633.253586,-17699416641.16907,-16715622590.351093,-13278781281.680494,-13652508004.085258,-12892439024.03868,-3933226024.1958804,-4055291956.2961445,-3816609865.637894,-553652494.482493,-533529644.566163,-171160778.042543,-164576726.041667,-25965819604.72594,-26458113142.00058,-25481421687.680397,-19840268417.08744,-20208316048.610996,-19473832026.664948,-6124373432.414573,-6247368398.55282,-6007050500.520846
WATER (litereq),128591986026.18,139455456609.949,83446362860.1316,87830352440.7892,8012193490421.505,7751571675601.455,8279081144740.664,4892640257635.75,4693607489955.57,5090124166263.139,3117693387104.084,3045792244394.8037,3205807864088.806,96866270385.5294,107826357700.29,62452651592.9116,67053035165.3599,6106532238604.571,5838840981576.863,6371353658306.876,3739041069190.4663,3535618869071.823,3935662056060.585,2363740791779.294,2279521783141.2734,2447435783535.636,37032490747.6824,47985012913.3948,38158779894.5976,42677348069.5778,3035361255714.5483,2764535911684.015,3296685157564.581,1557199080113.0627,1351685912290.4077,1751452971338.91,1474712164899.361,1392795466152.8125,1557723204539.5896,-5931739776.82049,4727920545.40121,21766195441.3641,26306162109.35,859531064226.9021,594902246026.4999,1118619059368.4595,-17611976919.872456,-216508501853.9479,172569099907.14417,877099325201.6666,794466133609.7898,960174916991.275
