diet_pattern,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
Vegan,sat_fat,WATER (litereq),-65.6272120788428,-66.5683780497232,-64.6552714374857,-23953.932408777622,-24297.457988148966,-23599.17407468228
Vegan,sodium,Cancer (cases),NA,NA,NA,0,0,0
Vegan,sodium,CVD (deaths),NA,NA,NA,42819.5613826702,39435.4714555325,46387.606546244
Vegan,ssb,Cancer (cases),NA,NA,NA,337.809897750778,184.5432635719,535.68691265602
Vegan,ssb,CVD (deaths),NA,NA,NA,7170.48946306813,4395.62832913864,10421.6504350128
Vegan,veg_dg,BLUEWATER (L),2.66537764475968,2.12072966527142,3.16336052546679,972.8628403372833,774.0663278240684,1154.6265917953783
Vegan,veg_dg,CED (mJ),0.0428780685271991,0.0332154008389802,0.0519669038226367,15.650495012427672,12.123621306227772,18.967919895262394
Vegan,veg_dg,FL (mrh-eq),0.00228166244626603,0.00183425402819188,0.00267350415004224,0.832806792887101,0.6695027202900362,0.9758290147654176
Vegan,veg_dg,Food_price ($),0.0739977234363466,0.0569113922379726,0.0906846166882066,27.009169054266508,20.772658166859998,33.09988509119541
Vegan,veg_dg,GHG (kgCO2eq),0.00487486020088518,0.00377729891430684,0.00591321556132885,1.7793239733230908,1.3787141037219965,2.1583236798850303
Vegan,veg_dg,WATER (litereq),33.4010297300759,26.2567208889846,40.039856522561,12191.375851477702,9583.703124479378,14614.547630734765
Vegan,veg_exc_sta,Cancer (cases),NA,NA,NA,3807.41157824615,3133.13794133299,4581.13712585705
Vegan,veg_exc_sta,CVD (deaths),NA,NA,NA,19188.5382037686,16499.642026593,21882.9971813397
Vegan,veg_oth,BLUEWATER (L),0.523376570290565,0.0149619657531744,1.01455500666266,191.0324481560562,5.4611174999086565,370.3125774318709
Vegan,veg_oth,CED (mJ),0.00840998744125839,-0.00124528243918012,0.0175933160589621,3.0696454160593123,-0.45452809030074376,6.421560361521166
Vegan,veg_oth,FL (mrh-eq),4.9107579810392e-4,-1.4498306386741e-4,0.0011040144050674,0.1792426663079308,-0.05291881831160465,0.40296525784960097
Vegan,veg_oth,Food_price ($),0.0639164120590013,0.0166050878203913,0.113977625715361,23.329490401535473,6.060857054442825,41.60183338610677
Vegan,veg_oth,GHG (kgCO2eq),7.9804027067097e-4,-8.4169691223309e-4,0.0023883621051187,0.29128469879490404,-0.30721937296507784,0.8717521683683255
Vegan,veg_oth,WATER (litereq),4.40685741415154,-0.20889517838351,8.72775188400627,1608.502956165312,-76.24674010998115,3185.6294376622886
Vegan,veg_ro,BLUEWATER (L),8.27059392971285,8.0730924569869,8.463931344561,3018.7667843451904,2946.678746800219,3089.334940764765
Vegan,veg_ro,CED (mJ),0.465896937427585,0.45568769942317,0.47647795835371,170.05238216106852,166.32601028945706,173.91445479910413
Vegan,veg_ro,FL (mrh-eq),0.0194736515148539,0.0190300238072097,0.0199113312873097,7.107882802921674,6.9459586896315395,7.267635919868041
Vegan,veg_ro,Food_price ($),0.489765228513409,0.479259021863118,0.500715525238893,178.76430840739428,174.92954298003806,182.76116671219592
Vegan,veg_ro,GHG (kgCO2eq),0.0561363288883445,0.054934293353709,0.0574002033831581,20.48976004424574,20.051017074103786,20.951074234852705
Vegan,veg_ro,WATER (litereq),63.8567522543887,62.3341478819196,65.3567517539057,23307.714572851877,22751.963976900654,23855.21439017558
Vegan,veg_sta,BLUEWATER (L),12.4215881970562,11.8229728495886,12.9692293481878,4533.879691925513,4315.3850900998395,4733.7687120885475
Vegan,veg_sta,CED (mJ),0.319461965556849,0.303673876168523,0.333985251061404,116.60361742824989,110.84096480151089,121.90461663741245
Vegan,veg_sta,FL (mrh-eq),0.00537555413763487,0.00513790972202909,0.00560938294556481,1.9620772602367276,1.8753370485406178,2.0474247751311556
Vegan,veg_sta,Food_price ($),0.21012271952571,0.199532746251529,0.220019248099724,76.69479262688415,72.82945238180808,80.30702555639927
Vegan,veg_sta,GHG (kgCO2eq),0.0361538346454525,0.0344875053144198,0.0377304440418082,13.196149645590163,12.587939439763225,13.771612075259991
Vegan,veg_sta,WATER (litereq),54.9561891207499,52.2698237224583,57.4537864194481,20059.009029073713,19078.48565869728,20970.632043098558
