outcome,impact_median_10perc_Med,impact_LB_10perc_Med,impact_UB_10perc_Med,impact_median_10perc_US,impact_LB_10perc_US,impact_UB_10perc_US,impact_median_10perc_Veg,impact_LB_10perc_Veg,impact_UB_10perc_Veg,impact_median_10perc_Vegan,impact_LB_10perc_Vegan,impact_UB_10perc_Vegan
BLUEWATER (L),810155566081.2166,767175878717.1063,854875066059.5605,652887685060.8113,605141313537.699,694706527469.1171,-84966124409.57927,-129000772133.65251,-40561384492.16973,-646841784144.0483,-690802147626.7642,-602255397039.3726
Cancer (cases),5442.541623375657,4736.279821311366,6186.9955466404635,5828.0075684409185,5134.778792417665,6558.041342722443,8650.90391906922,7649.296101019951,9698.06098471125,7574.9151452329825,6654.581816241353,8547.05775622981
CED (mJ),102296759977.05246,99846907417.42944,104728351638.86064,53608349418.44954,51367418395.43242,56100865402.382935,-55478645805.161934,-57716762707.87146,-53154925535.506355,-101756427095.52293,-104023256203.81519,-99546376575.4601
CVD (deaths),23568.03031374776,20485.120938628017,26913.746313880452,20992.331621043668,18148.504802196177,24067.342284585913,34412.99919561354,30367.719103956606,38564.19213313655,34412.99321076215,30367.71731065194,38564.18938963477
FL (mrh-eq),1896422444.3244512,1842691441.4947348,1948481242.8037992,1223180026.3201716,1172880150.999734,1275160479.3029618,-554582326.8025465,-606307886.6100935,-501398615.7112433,-292508522.69620275,-344259486.18657535,-242971512.45867807
Food_price ($),42075052917.08033,40320398675.68747,43861982388.97679,17027125936.75397,15377856331.7578,18819758950.14584,-41399503241.82931,-43026403862.04877,-39703045142.37531,-59280480307.63851,-60926529179.13909,-57661291389.05773
GHG (kgCO2eq),3677983338.062833,3142749503.8231354,4155421798.7580605,2459691904.724144,1945210743.5398486,2956850787.305895,-17212468633.253586,-17699416641.16907,-16715622590.351093,-25965819604.72594,-26458113142.00058,-25481421687.680397
WATER (litereq),8012193490421.505,7751571675601.455,8279081144740.664,6106532238604.571,5838840981576.863,6371353658306.876,3035361255714.5483,2764535911684.015,3296685157564.581,859531064226.9021,594902246026.4999,1118619059368.4595
