diet_pattern,outcome,perc_change,perc_change_UB,perc_change_LB,perc_change_UB_new,perc_change_LB_new
DGAplus,BLUEWATER (L),-8.121526753273082,-10.559845581566412,-5.630486048655267,-5.630486048655267,-10.559845581566412
Med,BLUEWATER (L),8.11281596798317,5.312857130149792,11.141710605003032,5.312857130149792,11.141710605003032
US,BLUEWATER (L),7.067241100976863,4.224446731410239,9.995488200534195,4.224446731410239,9.995488200534195
Veg,BLUEWATER (L),-10.82066886264311,-13.158045422223447,-8.402972432330538,-8.402972432330538,-13.158045422223447
Vegan,BLUEWATER (L),-23.674724993556563,-25.650536478926245,-21.5813421520629,-21.5813421520629,-25.650536478926245
DGAplus,CED (MJ),1.9572959660319023,-1.001710384445508,5.015421253660078,-1.001710384445508,5.015421253660078
Med,CED (MJ),52.86322684114989,48.55024546457393,57.600478401619824,48.55024546457393,57.600478401619824
US,CED (MJ),26.624877607960418,22.954558130477402,30.325251942867666,22.954558130477402,30.325251942867666
Veg,CED (MJ),-35.499489144033554,-37.356080061485024,-33.57778475090659,-33.57778475090659,-37.356080061485024
Vegan,CED (MJ),-61.66134151466511,-62.7477314640154,-60.497002190907715,-60.497002190907715,-62.7477314640154
DGAplus,CVD (deaths),-53.961895080990395,-60.150432913879094,-47.95486299797555,-47.95486299797555,-60.150432913879094
Med,CVD (deaths),-33.991250786633366,-38.648737646739114,-29.652245749194595,-29.652245749194595,-38.648737646739114
US,CVD (deaths),-30.53488939660747,-34.832885608407835,-26.517069709572695,-26.517069709572695,-34.832885608407835
Veg,CVD (deaths),-48.58126059042626,-54.30248972512764,-42.93475370853282,-42.93475370853282,-54.30248972512764
Vegan,CVD (deaths),-48.58125412363326,-54.302489534961595,-42.93475370826548,-42.93475370826548,-54.302489534961595
DGAplus,Cancer (cases),-8.350567606522283,-9.354917971928261,-7.371158480009243,-7.371158480009243,-9.354917971928261
Med,Cancer (cases),-5.489415419083614,-6.236507240402813,-4.777930318962132,-4.777930318962132,-6.236507240402813
US,Cancer (cases),-5.869436072151321,-6.603601309038582,-5.169769087549787,-5.169769087549787,-6.603601309038582
Veg,Cancer (cases),-8.65267635981982,-9.695213852520029,-7.6509168829927425,-7.6509168829927425,-9.695213852520029
Vegan,Cancer (cases),-7.58245219129939,-8.550584924597304,-6.661735551879183,-6.661735551879183,-8.550584924597304
DGAplus,FL (mrh-eq),-5.868961036898952,-8.531354694921575,-3.1448572644943997,-3.1448572644943997,-8.531354694921575
Med,FL (mrh-eq),30.976803298899906,27.355763184055498,34.92258268211543,27.355763184055498,34.92258268211543
US,FL (mrh-eq),19.18655225255143,15.818811521186404,22.64967700831609,15.818811521186404,22.64967700831609
Veg,FL (mrh-eq),-18.256665071268298,-20.522240175353343,-15.881604695564821,-15.881604695564821,-20.522240175353343
Vegan,FL (mrh-eq),-12.522758756454571,-14.958070277359777,-9.933759981513218,-9.933759981513218,-14.958070277359777
DGAplus,Food_price (USD),-2.49675911010157,-5.64406906591916,0.717382250873985,0.717382250873985,-5.64406906591916
Med,Food_price (USD),26.951517848748775,22.96598110236826,31.185738019572014,22.96598110236826,31.185738019572014
US,Food_price (USD),11.063403098873966,7.544748922777966,14.759422890946233,7.544748922777966,14.759422890946233
Veg,Food_price (USD),-26.107313939678463,-28.41169311008261,-23.620424066665205,-23.620424066665205,-28.41169311008261
Vegan,Food_price (USD),-37.52396985733549,-39.52147049988658,-35.41250395562533,-35.41250395562533,-39.52147049988658
DGAplus,GHG (kgCO2-eq),-29.095639008875747,-30.793850768092764,-27.393941881050793,-27.393941881050793,-30.793850768092764
Med,GHG (kgCO2-eq),6.441785658165772,3.9931396219149025,9.140833777629146,3.9931396219149025,9.140833777629146
US,GHG (kgCO2-eq),4.292957472283613,1.7764378380272519,6.814217046257188,1.7764378380272519,6.814217046257188
Veg,GHG (kgCO2-eq),-48.34941638998374,-49.551534436495345,-47.07568838889351,-47.07568838889351,-49.551534436495345
Vegan,GHG (kgCO2-eq),-71.54013378315702,-72.2141571988462,-70.82623573325502,-70.82623573325502,-72.2141571988462
DGAplus,WATER (L-eq),-0.27098182101321555,-3.2454973667097033,2.7656232072261253,2.7656232072261253,-3.2454973667097033
Med,WATER (L-eq),22.988355922362093,19.409736465516445,26.873859195774862,19.409736465516445,26.873859195774862
US,WATER (L-eq),17.80107565004352,14.3170230989541,21.448559759912587,14.3170230989541,21.448559759912587
Veg,WATER (L-eq),2.3677392816819567,-0.621492451080636,5.532063473247741,-0.621492451080636,5.532063473247741
Vegan,WATER (L-eq),-8.016470620663595,-10.682791508637745,-5.1664780380924435,-5.1664780380924435,-10.682791508637745
