diet_pattern,outcome,impact_median,impact_LB,impact_UB,impact_median_10perc,impact_LB_10perc,impact_UB_10perc
DGAplus,BLUEWATER (L),-9427880177.50763,-10581493915.5686,-8415484107.28686,-344117626479.02844,-386224527918.2539,-307165169915.9704
DGAplus,Cancer (cases),84595.75916057819,74673.8158280729,94770.37071133817,8459.57591605782,7467.381582807289,9477.037071133816
DGAplus,CED (MJ),93221541.4397664,29629820.6400949,156898000.075303,3402586262.5514736,1081488453.3634639,5726777002.748559
DGAplus,CVD (deaths),402413.27790117456,357616.67712658294,448563.4323946454,40241.32779011746,35761.667712658294,44856.34323946454
DGAplus,FL (mrh-eq),-7680551.27038208,-9070888.3230061,-6426563.89039508,-280340121.36894596,-331087423.7897226,-234569581.9994204
DGAplus,Food_price (USD),-107813699.284549,-157310626.110035,-60378032.4354862,-3935200023.886039,-5741837853.016277,-2203798183.895246
DGAplus,GHG (kgCO2-eq),-295362973.607102,-308841161.209376,-283269649.380483,-10780748536.659222,-11272702384.142223,-10339342202.387629
DGAplus,WATER (L-eq),-1434893393.32943,-7846359597.12318,4320466462.13202,-52373608856.5242,-286392125294.9961,157697025867.81873
Med,BLUEWATER (L),9405715589.23634,8328181234.28117,10481847147.4306,343308619007.1264,303978615051.2627,382587420881.21686
Med,Cancer (cases),55610.74247964332,48403.01421345863,63179.18605919036,5561.074247964332,4840.301421345863,6317.918605919036
Med,CED (MJ),2514339679.24288,2454275305.20066,2577964963.12493,91773398292.36511,89581048639.8241,94095721154.05994
Med,CVD (deaths),253484.9939662082,221127.4713602138,288217.55017728644,25348.49939662082,22112.74713602138,28821.755017728643
Med,FL (mrh-eq),40603369.6568212,39282281.6506612,41999474.836179,1482022992.4739738,1433803280.2491338,1532980831.5205336
Med,Food_price (USD),1161065861.5099,1115764365.01072,1202833898.82267,42378903945.11135,40725399322.89128,43903437307.02745
Med,GHG (kgCO2-eq),65625672.9778978,52531521.4896087,78622949.9141318,2395337063.6932697,1917400534.3707175,2869737671.865811
Med,WATER (L-eq),129613260593.3,123484198307.731,135702624473.708,4730884011655.45,4507173238232.182,4953145793290.342
US,BLUEWATER (L),8211201002.85003,7147515894.08631,9299637309.06114,299708836604.02606,260884330134.15036,339436761780.7316
US,Cancer (cases),59460.55690637181,52372.55253218657,66898.04720526765,5946.05569063718,5237.255253218657,6689.804720526765
US,CED (MJ),1266349689.34248,1200393411.96179,1329398924.3571,46221763661.00052,43814359536.60534,48523060739.03415
US,CVD (deaths),227709.66279068467,197747.33496937904,259761.36782071623,22770.966279068467,19774.733496937904,25976.136782071622
US,FL (mrh-eq),25133704.3034067,23803753.5430164,26496821.3294007,917380207.0743445,868837004.3200985,967133978.5231254
US,Food_price (USD),475699540.015035,432073547.779435,522959632.257597,17363033210.548775,15770684493.949377,19088026577.40229
US,GHG (kgCO2-eq),43348464.0506324,30976746.8912254,56746885.6983801,1582218937.8480825,1130651261.529727,2071261327.9908736
US,WATER (L-eq),100395961565.066,94399153999.588,106234509338.816,3664452597124.9087,3445569120984.962,3877559590866.7837
Veg,BLUEWATER (L),-12593248498.6356,-13635433472.6761,-11415344486.8357,-459653570200.1994,-497693321752.6777,-416660073769.503
Veg,Cancer (cases),87656.28397020904,77507.91951983335,98217.7517415083,8765.628397020904,7750.791951983335,9821.77517415083
Veg,CED (MJ),-1688312353.05976,-1759215881.30173,-1626769882.94962,-61623400886.681244,-64211379667.513145,-59377100727.661125
Veg,CVD (deaths),362287.9494766212,320179.9149158643,404953.2147765779,36228.794947662114,32017.99149158643,40495.32147765779
Veg,FL (mrh-eq),-23942203.8192313,-25312078.169249,-22597418.0319158,-873890439.4019425,-923890853.1775885,-824805758.1649266
Veg,Food_price (USD),-1124424928.13611,-1173772510.6703,-1078854136.82788,-41041509876.96802,-42842696639.46595,-39378175994.21761
Veg,GHG (kgCO2-eq),-490860535.89745,-504089608.052087,-477654011.724558,-17916409560.256924,-18399270693.901176,-17434371427.94637
Veg,WATER (L-eq),13248717103.2234,7047970265.57468,19593039433.0065,483578174267.6541,257250914693.47583,715145939304.7373
Vegan,BLUEWATER (L),-27507394656.2415,-28557744516.4692,-26447658556.1354,-1004019904952.8148,-1042357674851.1259,-965339537298.942
Vegan,Cancer (cases),76814.33522204618,67486.97847773418,86622.04260203002,7681.433522204618,6748.697847773418,8662.204260203001
Vegan,CED (MJ),-2931734568.09781,-2997562066.16925,-2866625574.70928,-107008311735.57005,-109411015415.17763,-104631833476.88872
Vegan,CVD (deaths),362287.9012514177,320179.9149138707,404953.2133584412,36228.79012514177,32017.991491387067,40495.32133584412
Vegan,FL (mrh-eq),-16417564.7461391,-17774390.9555865,-15020585.1902711,-599241113.2340772,-648765269.8789073,-548251359.4448951
Vegan,Food_price (USD),-1617873360.7655,-1665223961.24418,-1570807055.62276,-59052377667.94075,-60780674585.41257,-57334457530.23074
Vegan,GHG (kgCO2-eq),-726585814.400928,-739844178.435559,-712602139.705184,-26520382225.633873,-27004312512.897903,-26009978099.239216
Vegan,WATER (L-eq),-45122524965.8669,-51308930474.747,-38878576686.648,-1646972161254.1418,-1872775962328.2654,-1419068049062.652
