diet_pattern,food_group,outcome,impact_median_year,LB_year,UB_year,sum,sum_LB,sum_UB,prop,prop_LB,prop_UB
Med,added_sugar,BLUEWATER (L),-3716.049356920374,-3788.590810648434,-3633.183261387614,33091.111639906536,27616.53465259056,38384.54240460331,-11.229750748049726,-13.718559762504622,-9.465224889464622
Med,dairy_cow,BLUEWATER (L),5151.058899201854,4941.751411557123,5369.566001394045,33091.111639906536,27616.53465259056,38384.54240460331,15.566291502247045,17.894176346609672,13.988875899039229
Med,dairy_soy,BLUEWATER (L),-8.139631741599558,-10.768977892583642,-5.470645046715406,33091.111639906536,27616.53465259056,38384.54240460331,-0.024597637668308168,-0.038994674849885495,-0.01425220858190909
Med,dairy_tot,BLUEWATER (L),0,0,0,33091.111639906536,27616.53465259056,38384.54240460331,0,0,0
Med,fruit_exc_juice,BLUEWATER (L),32421.615846598364,31671.119507134692,33238.86419111162,33091.111639906536,27616.53465259056,38384.54240460331,97.97681081072905,114.68172928120724,86.5944000080757
Med,fruit_juice,BLUEWATER (L),11640.704766256034,11329.239975905277,11937.316735232584,33091.111639906536,27616.53465259056,38384.54240460331,35.17773864150824,41.02339456569922,31.09928108404645
Med,gr_refined,BLUEWATER (L),-10990.762511755927,-11246.920888400986,-10745.620076877196,33091.111639906536,27616.53465259056,38384.54240460331,-33.21363945507807,-40.725315575920646,-27.994654628443648
Med,gr_whole,BLUEWATER (L),9837.98320066876,9687.91888331277,9988.58455957218,33091.111639906536,27616.53465259056,38384.54240460331,29.729987036170012,35.080139507669905,26.022414060026122
Med,leg_tot,BLUEWATER (L),1354.8095216502895,1246.149073611759,1468.9058029753796,33091.111639906536,27616.53465259056,38384.54240460331,4.094179537977335,4.512329621685045,3.8268159810059883
Med,oil,BLUEWATER (L),-102.96008113831232,-141.9409202097566,-63.63295576791086,33091.111639906536,27616.53465259056,38384.54240460331,-0.3111411978500796,-0.5139707859633356,-0.1657775546655458
Med,pf_egg,BLUEWATER (L),-1368.73965167745,-1577.0799863415718,-1156.8801103589535,33091.111639906536,27616.53465259056,38384.54240460331,-4.1362758270919056,-5.710636784016761,-3.013921849489636
Med,pf_ns,BLUEWATER (L),-3149.2128004432257,-4145.1129960836815,-2262.5525366897564,33091.111639906536,27616.53465259056,38384.54240460331,-9.516793617309014,-15.009533412603057,-5.894436653277433
Med,pf_pm,BLUEWATER (L),0,0,0,33091.111639906536,27616.53465259056,38384.54240460331,0,0,0
Med,pf_poultry,BLUEWATER (L),0,0,0,33091.111639906536,27616.53465259056,38384.54240460331,0,0,0
Med,pf_poultry_tot,BLUEWATER (L),-4298.673213518297,-4841.482268540668,-3771.1919009022704,33091.111639906536,27616.53465259056,38384.54240460331,-12.990416460758219,-17.531099862619854,-9.824767118885873
Med,pf_redm,BLUEWATER (L),0,0,0,33091.111639906536,27616.53465259056,38384.54240460331,0,0,0
Med,pf_redm_tot,BLUEWATER (L),-8084.6593030447875,-9136.311638128627,-7124.471768359936,33091.111639906536,27616.53465259056,38384.54240460331,-24.431513184026784,-33.08275912623092,-18.560783383223363
Med,pf_seafood,BLUEWATER (L),1207.8255755972782,1179.6598689412742,1236.6405230631922,33091.111639906536,27616.53465259056,38384.54240460331,3.6500000022383343,4.271570940312081,3.2217149029107266
Med,sat_fat,BLUEWATER (L),-5532.975374220354,-5612.784726162169,-5456.6629646724105,33091.111639906536,27616.53465259056,38384.54240460331,-16.720427631532967,-20.324000808825822,-14.215782246808848
Med,veg_dg,BLUEWATER (L),980.3363486791234,773.8385183062484,1164.169773416567,33091.111639906536,27616.53465259056,38384.54240460331,2.9625367662078705,2.8020840704344443,3.032912991759289
Med,veg_oth,BLUEWATER (L),197.06003872019315,23.042839114881172,378.9239499529303,33091.111639906536,27616.53465259056,38384.54240460331,0.5955074609296194,0.08343856100975235,0.9871785000294478
Med,veg_ro,BLUEWATER (L),3019.7293664120166,2946.9946511074504,3089.2753162059385,33091.111639906536,27616.53465259056,38384.54240460331,9.125499920559772,10.671123977645793,8.048227548585949
Med,veg_sta,BLUEWATER (L),4532.160000582953,4317.81313600756,4731.961771741631,33091.111639906536,27616.53465259056,38384.54240460331,13.696004080797794,15.63488392126175,12.32777955736199
Med,dairy_tot,Cancer (cases),4477.11608444943,4067.11865759179,4898.22080274892,54425.416233756565,47362.79821311365,61869.95546640464,8.226149461531476,8.587158721685704,7.916961901497814
Med,fruit_exc_juice,Cancer (cases),7428.24472556207,5817.51026865895,9035.16562693371,54425.416233756565,47362.79821311365,61869.95546640464,13.648484916785645,12.282868597591046,14.603478471614226
Med,gr_whole,Cancer (cases),29263.258955636,26993.0190943881,31424.8473110372,54425.416233756565,47362.79821311365,61869.95546640464,53.76763464692787,56.99202773647433,50.79177296014199
Med,leg_tot,Cancer (cases),2808.07095930982,2477.37540696042,3165.83491441622,54425.416233756565,47362.79821311365,61869.95546640464,5.159484582073174,5.230635647440469,5.1169180429348575
Med,pf_ns,Cancer (cases),80.8919030574992,55.5267255974901,116.087329812567,54425.416233756565,47362.79821311365,61869.95546640464,0.14862891026881517,0.11723700391949403,0.187631183726328
Med,pf_pm,Cancer (cases),3983.37567018598,3104.40407684691,4890.5680409383,54425.416233756565,47362.79821311365,61869.95546640464,7.318962252998536,6.554519990306175,7.90459279317548
Med,pf_redm,Cancer (cases),2239.23645955884,1530.1627781651,3222.40740200465,54425.416233756565,47362.79821311365,61869.95546640464,4.1143212390720985,3.2307271442873353,5.208355780625083
Med,pf_seafood,Cancer (cases),0,0,0,54425.416233756565,47362.79821311365,61869.95546640464,0,0,0
Med,sodium,Cancer (cases),0,0,0,54425.416233756565,47362.79821311365,61869.95546640464,0,0,0
Med,ssb,Cancer (cases),337.809897750778,184.5432635719,535.68691265602,54425.416233756565,47362.79821311365,61869.95546640464,0.6206840868242297,0.3896375858992307,0.8658272155164194
Med,veg_exc_sta,Cancer (cases),3807.41157824615,3133.13794133299,4581.13712585705,54425.416233756565,47362.79821311365,61869.95546640464,6.995649903518163,6.615187572396213,7.404461650767804
Med,added_sugar,CED (mJ),-187.38254318754528,-191.0862157594125,-183.2172516115372,4177.503594429085,3950.030115699119,4399.68822917485,-4.485514828459502,-4.8375888325497485,-4.164323517212017
Med,dairy_cow,CED (mJ),415.36148012286395,398.48373331969964,432.9810482854364,4177.503594429085,3950.030115699119,4399.68822917485,9.94281562502471,10.088118866131015,9.841175686365416
Med,dairy_soy,CED (mJ),-1.0605391111556681,-1.4031251787333747,-0.7127881480976666,4177.503594429085,3950.030115699119,4399.68822917485,-0.0253869107993097,-0.03552188559668828,-0.016200878584329784
Med,dairy_tot,CED (mJ),0,0,0,4177.503594429085,3950.030115699119,4399.68822917485,0,0,0
Med,fruit_exc_juice,CED (mJ),524.9982508313701,513.4862130562234,537.3182019275516,4177.503594429085,3950.030115699119,4399.68822917485,12.567272270728436,12.999551851906352,12.212642667826586
Med,fruit_juice,CED (mJ),288.30518682763926,280.46957824914864,295.7930970504676,4177.503594429085,3950.030115699119,4399.68822917485,6.901374955418567,7.100441516494821,6.723046762473504
Med,gr_refined,CED (mJ),-128.25736494376468,-131.2048269080938,-125.4594923433707,4177.503594429085,3950.030115699119,4399.68822917485,-3.070191611918718,-3.321615862791257,-2.8515541513017686
Med,gr_whole,CED (mJ),160.61209568161402,158.26115764744608,162.9913515725498,4177.503594429085,3950.030115699119,4399.68822917485,3.8446907836488395,4.006581038925454,3.704611397047068
Med,leg_tot,CED (mJ),26.042366678921834,24.409835114488747,27.85721896575954,4177.503594429085,3950.030115699119,4399.68822917485,0.6233954343845608,0.617965797715657,0.6331634769262751
