diet_pattern,outcome,perc_change,perc_change_UB,perc_change_LB,perc_change_UB_new,perc_change_LB_new
Med,BLUEWATER (L),17.102900452438984,13.880652723077125,20.396801884890394,13.880652723077125,20.396801884890394
US,BLUEWATER (L),13.781872062678973,10.600990434698968,17.03500788595116,10.600990434698968,17.03500788595116
Veg,BLUEWATER (L),-1.8091387877219878,-4.469313814606353,1.0542953638688988,1.0542953638688988,-4.469313814606353
Vegan,BLUEWATER (L),-13.65313704251147,-16.0387287291994,-11.17906809106949,-11.17906809106949,-16.0387287291994
Med,Cancer (cases),-5.372410180874522,-6.1072712280297665,-4.675249119307923,-4.675249119307923,-6.1072712280297665
US,Cancer (cases),-5.7529090931390865,-6.473535806306908,-5.0686131167910755,-5.0686131167910755,-6.473535806306908
Veg,Cancer (cases),-8.53943019727401,-9.57309381801094,-7.550728886140276,-7.550728886140276,-9.57309381801094
Vegan,Cancer (cases),-7.477306387648618,-8.436922174168213,-6.568832279662638,-6.568832279662638,-8.436922174168213
Med,CED (mJ),55.23519987708394,50.70256728035201,59.933631580531475,50.70256728035201,59.933631580531475
US,CED (mJ),28.99329926875137,25.192469315014325,32.97523085422739,25.192469315014325,32.97523085422739
Veg,CED (mJ),-29.95140378924332,-31.92478437094774,-27.81569648278408,-27.81569648278408,-31.92478437094774
Vegan,CED (mJ),-54.96415713445544,-56.23933137843121,-53.594611379212424,-53.594611379212424,-56.23933137843121
Med,CVD (deaths),-31.60371809024609,-36.090179787324814,-27.469668808570347,-27.469668808570347,-36.090179787324814
US,CVD (deaths),-28.14981658528442,-32.27327403341922,-24.33636676008156,-24.33636676008156,-32.27327403341922
Veg,CVD (deaths),-46.14635634542726,-51.71292807794789,-40.7218091978349,-40.7218091978349,-51.71292807794789
Vegan,CVD (deaths),-46.14634831999817,-51.71292439902964,-40.72180679309023,-40.72180679309023,-51.71292439902964
Med,FL (mrh-eq),36.34415823048803,32.41530785022434,40.38962367358927,32.41530785022434,40.38962367358927
US,FL (mrh-eq),23.4789337007834,19.861531116381336,27.152248829314622,19.861531116381336,27.152248829314622
Veg,FL (mrh-eq),-10.638727839896859,-13.137720949891133,-7.949438524341276,-7.949438524341276,-13.137720949891133
Vegan,FL (mrh-eq),-5.605941167459422,-8.264161704517846,-2.765632333582036,-2.765632333582036,-8.264161704517846
Med,Food_price ($),26.68065293030251,22.718098510885646,31.026731409917463,22.718098510885646,31.026731409917463
US,Food_price ($),10.84436252433656,7.296917524380005,14.55692405047801,7.296917524380005,14.55692405047801
Veg,Food_price ($),-26.26548545707851,-28.591996581573305,-23.783211340298372,-23.783211340298372,-28.591996581573305
Vegan,Food_price ($),-37.655840449360824,-39.58118544585732,-35.540712646621394,-35.540712646621394,-39.58118544585732
Med,GHG (kgCO2eq),9.478986738158198,6.746029652574917,12.213735646069825,6.746029652574917,12.213735646069825
US,GHG (kgCO2eq),6.376648375993459,3.7251681078389045,9.05445060187293,3.7251681078389045,9.05445060187293
Veg,GHG (kgCO2eq),-44.52679215870646,-45.841818262459974,-43.10413259165757,-43.10413259165757,-45.841818262459974
Vegan,GHG (kgCO2eq),-67.13877284645321,-67.91571602769055,-66.30834958774055,-66.30834958774055,-67.91571602769055
Med,WATER (litereq),33.472577643724016,29.339413032037996,37.682371274925956,29.339413032037996,37.682371274925956
US,WATER (litereq),25.50990254310412,21.56342599028147,29.544450145449137,21.56342599028147,29.544450145449137
Veg,WATER (litereq),12.654793403127776,9.21651606696437,16.384245460749906,9.21651606696437,16.384245460749906
Vegan,WATER (litereq),3.5953041622124546,0.36395968813305185,6.936939518442052,0.36395968813305185,6.936939518442052
