,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,commodity,prop_dga_subgrp,gwp_100g,od_100g,htnc_100g,htc_100g,pm_100g,irh_100g,ire_100g,pof_100g,acid_100g,teu_100g,feu_100g,meu_100g,feco_100g,lu_100g,wd_100g,md_100g,FPED,FPED_CF
267,72125100,"Spinach, raw","Spinach, raw","Spinach, raw",veg,green,spinach,0.146666667,0.015143216,9.57E-10,4.83E-09,4.94E-10,9.86E-06,0.000555729,2.58E-09,4.58E-05,0.000124131,0.000423662,2.80E-06,0.00020272,0.077160429,0.091501198,0.000706686,1.79E-06,1.43,0.699300699
291,72128210,"Turnip greens, cooked, NS as to form, fat not added in cooking",Turnip Greens,"Turnip greens, cooked, boiled, without salt",veg,green,green_o,0.013333333,0.026288177,1.68E-09,8.21E-09,1.08E-09,2.44E-05,0.00261109,9.44E-09,8.03E-05,0.000181986,0.000435834,1.06E-05,0.000135889,0.253317612,0.11800623,0.000722338,1.39E-06,0.63,1.587301587
22,25110140,"Beef liver, fried",Liver,"Beef, liver, pan-fried",protein,meat,beef,0.005178792,3.229841316,1.24E-07,-1.13E-06,1.69E-07,0.001761593,0.311060868,9.07E-07,0.008755466,0.052524164,0.219281178,0.000922695,0.012089709,13.34823392,45.11063856,0.012092129,0.000100913,3.5,0.285714286
23,21102130,"Beef steak, fried, lean only eaten","Beef, ground","Ground beef, 95% lean, patty, pan-broiled",protein,meat,beef,0.2675709,3.30370416,1.26E-07,-1.17E-06,1.73E-07,0.001801646,0.318173922,9.28E-07,0.008952258,0.053750462,0.224401554,0.00094319,0.012330617,13.63538736,46.0206126,0.012372054,0.000103051,3.5,0.285714286
24,21401120,"BEEF, ROAST, ROASTED, LEAN ONLY",Beef,"Beef, round, eye of round, separable lean only, roasted",protein,meat,beef,0.27053021,3.05278992,1.17E-07,-1.08E-06,1.59E-07,0.001664812,0.294008814,8.57E-07,0.00827234,0.049668149,0.207358398,0.000871555,0.011394114,12.59978832,42.5253762,0.011432404,9.52E-05,3.45,0.307255072
119,25210610,"Frankfurter or hot dog, beef, lowfat","Luncheon meats, beef","Frankfurter, beef, low fat",protein,meat,beef,0.106781751,2.92036296,1.12E-07,-1.03E-06,1.52E-07,0.001592594,0.281255007,8.20E-07,0.007913494,0.047513594,0.198363399,0.000833748,0.010899849,12.05322216,40.6806681,0.010936478,9.11E-05,3.12,0.435212821
130,25230230,"Ham, sliced, ex lean,prepkgd/deli, lunch meat","Luncheon meats, pork","Ham, sliced, extra lean",protein,meat,pork,0.12946979,0.841373164,4.59E-08,5.06E-07,3.86E-08,0.000650649,0.091571363,2.74E-07,0.002248416,0.022849398,0.098336037,0.000263641,0.005986968,3.67144673,16.95704565,0.002774845,1.43E-05,3.53,0.283286119
131,22311020,"Ham, smoked or cured, cooked, lean only eaten","Pork, cured","Pork, cured, ham, whole, separable lean only, roasted",protein,meat,pork,0.078668311,0.93121164,5.08E-08,5.60E-07,4.27E-08,0.000719681,0.101296872,3.03E-07,0.002486894,0.025272648,0.10876248,0.000291733,0.006623899,4.061772,18.776016,0.003026398,1.59E-05,3.53,0.283286119
137,23120120,"Lamb, roast, ckd, lean only eaten",Lamb,"Lamb, domestic, leg, separable lean only, choice, roasted",protein,meat,meat_o,0.006905055,3.18057032,1.22E-07,-1.12E-06,1.66E-07,0.001734496,0.306315119,8.93E-07,0.008618594,0.051747105,0.216037783,0.000908036,0.011871037,13.12717672,44.3053577,0.01191093,9.92E-05,3.48,0.295556322
234,22201120,"PORK STEAK OR CUTLET, BROILED OR BAKED, LEAN ONLY","Pork, fresh","Pork, fresh, sirloin chops, boneless, lean, broiled",protein,meat,pork,0.118618989,1.231268724,6.72E-08,7.41E-07,5.65E-08,0.000951578,0.133936975,4.00E-07,0.003288227,0.033416057,0.143808168,0.000385736,0.008758267,5.3705652,24.8260656,0.00400157,2.10E-05,3.42,0.314997661
